"","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-2","Glut-SATB2-1","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-4","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-3","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-8","Glut-DACH2-LMANco","Glut-DACH2-HVCra-Pre"
"Ex_BCL6",0.000591890229789559,0.186209776365758,0.00896728714110968,0.00807974126384171,0.0243406867073761,0.00214019306503411,0.00644779974229119,0.0190457494188195,0.0569794458505746,0.160014276553899,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0.00132090968249969,0.622289994757228,0.0015764200635403,0,0,0,0.0178035643856427,0,0,0.0438695018307171,0.00176064755120058,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0.510861355994745,0.000744923477909297,0.00072253742684669,0.00231030270930966,0.000553112339165366,0.0785057516046689,0,0,0.00965794622766909,0,0.000398427695457966,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0.000837122318599572,0.117312940569967,0,0.0105102984666404,0.0041194878525118,0,0.452097032397564,0,0.00428269681270056,0.0720054257167503,0,0,0.00066185034743363,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0,0.00140574921945399,0.122082940909901,0,0.0644947720117672,0.0652651286665993,0,0.0811843715447091,0,0.00523438166894829,0.0050579991842459,0,0,0.00371140943312884,0.000443269243292349,0.0030814652999827,0.035351894061048,0,0
"Ex_CACNA1H_PROX1",0,0,0.409596605544024,0,0.0644249391642841,0.0232013521023514,0,0.0685095328086721,0,0.00384122809934252,0,0,0,0,0,0.000565642818278265,0.00103896345670878,0,0
"Ex_DACH2_ADAMTS5",0.142116050561637,0.0107703757117377,0,0,0.0242117853298242,0.0585769928289753,0.000534990749152472,0,0.000422093317965203,0.00148822166463302,0,0,0,0,0,0.209039109205553,0.0056965633895903,0,0
"Ex_DACH2_CEMIP",0.000799424288307968,0.49637200343338,0,0,0.0111258724842198,0.000473383178691265,0.00294976728757343,0,0,0.0985018789721767,0,0,0,0,0,0,0.0332477654586602,0.000573667229815919,0
"Ex_DACH2_GRIK4",0.10473518891415,0.00176509580903847,0.000340709271861127,0.00218206402556135,0.30918150058015,0.0688141915071241,0,0.00535956910893331,0,0,0,0,0,0.000692089568000723,0,0.024594287779669,0,0,0.000421240748119514
"Ex_DACH2_ITGA9",0.0394168061563251,0.0269211268496324,0.00219842901676813,0.00153678331994845,0.0864291710601706,0.0123635088633624,0.0349952708475305,0.000533297716131744,0.000737065498975631,0.130202113933845,0.00119313767264068,0,0,0,0,0.00470753165515786,0.130576435134498,0,0
"Ex_DACH2_LHX2",0.00260904709528594,0.000566854137637969,0.00306870131072005,0,0.269121169474483,0.229985618670236,0,0.000409348592868604,0,0.00101080540717962,0,0,0,0,0,0.00336537070596924,0,0,0
"Ex_DACH2_LUZP2",0,0,0.00382392199448906,0,0.303312106608134,0.227012284754115,0,0.0175614659423173,0,0.00699628117927898,0,0,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.065946770633585,0,0,0,0.335059905644246,0.134800466909228,0.000302097990305851,0.000378725211611024,0.00161771606750238,0.000629673041673604,0,0,0,0,0,0.00820330262249492,0.00120476816200437,0,0
"Ex_DACH2_NR4A3",0.107701314321618,0.00028163865161477,0,0.000396436703089128,0.480409173911593,0.00934852255083023,0,0.000930836701516349,0.000296714260785095,0,0,0,0.000671767216079454,0,0,0.0285336748764629,0.000451585613978145,0,0
"Ex_DACH2_RORB",0.000735019147517351,0,0.000345006968120577,0.0148532901719546,0.000755845047989602,0.00216384408333006,0.0012228096419082,0,0,0.663837504441698,0,0,0,0,0,0.00107787522907394,0.00494079550518454,0,0
"Ex_DACH2_SLIT2",0,0.0113851299236565,0,0,0.120890863152514,0.00272397464050176,0.0123601374480897,0.0639270506026845,0.000679472356676593,0.466667167881048,0.000274692298382702,0,0,0,0,0,0.0023706953757463,0,0
