"","Ex_Pre_SATB2","Ex_DACH2_ITGA9","Ex_KIAA1217","Ex_TSHZ2_NR4A2","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_Pre_KCNH7","Ex_CACNA1H_LHX9","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_BCL6","Ex_DACH2_CEMIP","Ex_SATB2_OVOA","Ex_DACH2_SLIT2","Ex_SATB2_FOXP2","Ex_CACNA1H_MCTP2","Ex_SATB2_SOX6","Ex_CACNA1H_PROX1","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_DACH2_GRIK4","Ex_DACH2_TAC1","Ex_DACH2_RORB","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.000393393175587944,0.00173560597212854,0.000809978505902896,0.0221338511985909,0.00036723591117964,0.0409923557876328,0.00664987519113145,0.696083328497726,0.000648099735664354,0.00738052526451925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0474010465613565,0.000297314028967854,0.00134544552927791,0.0130129036515241,0.0774619821458542,0.0463304224728027,0.0199594056299634,0.271606321630148,0.00367118547430168,0.00481276731921174,0.00193541429079405,0.000271189559239993,0.0221468964388428,0.00147324470722202,0.00260876415573046,0.0102186421228517,0.000201887247121691,0.0253786174090697,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00154008856456855,0.000779784283870604,0.00582148540801069,0.00991626130977107,0.00158287542866773,0.079170676419841,0.0699254283609197,0.548292654392586,0,0.00334249817892489,0,0,0.000950390529497323,0,0.00182877148165383,0.000562072968843309,0,0.00101332121163993,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0.00178475703002316,0.0163442070325746,0.00666374422285126,0.00370905763906592,0.620282246412461,0,0,0,0,0,0.0768518369574506,0,0.00262128794789572,0,0.00356921282119749,0.00343800486442697,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.00401411162791983,0,0.0865591537642034,0.0602204676651029,0.00757500559238863,0.000587580917827319,0.00224053705215476,0.361890642610828,0.00250083233623376,0.00406835610266062,0,0.000288784107351693,0,0,0.000500044339250231,0,0,0,0.000786297572284525,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.000950996486960502,0.00696655896626408,0.000347518736242235,0,0,0.0883396478520145,0.00553374980152001,0,0,0,0.000691748763851381,0,0.0201425192408413,0.00910601564451019,0.0021147424541664,0.00287657503277911,0.00117429548404467,0.000806569677823914,0.0298115116192941,0.018648439827663,0.254756745734104,0.00042763056691835,0.0492616808793623,0.0988192343707505,0,0,0
"Glut-DACH2-2",0,0.00850791213303108,0.000394213860477026,0,0,0.0294041506271561,0.000991250150419011,0,0,0,0,0,0.00260626597345353,0,0.0010247781454014,0.000402439255426992,0,0,0.0641771563923311,0.0436132691764407,0.106026003589597,0,0.201467810782846,0.0893542678733879,0,0,0
"Glut-DACH2-3",0,0.0190756998026902,0.000912125736430498,0,0,0.0126901091300556,0,0,0,0,0.0045315515217573,0.0470868571870196,0.000831854205118161,0.531164770585498,0.000971244366241017,0.00107298473441329,0,0,0,0.000577195532439656,0.000424152577503931,0.0818530769794358,0.000761088190857653,0,0.00192260766561982,0,0
"Glut-DACH2-4",0.0015153153251089,0.23075312186412,0.00078607544218946,0,0,0.0474958819322226,0.00799996246597654,0,0,0.00995564480170258,0.00160021455443068,0.00899883515869475,0.0261973486769816,0.0397792796534562,0.00823967722705107,0.0010958125435531,0.0229274959770964,0,0,0,0.0165547894331326,0.0628581195802232,0.00116314359765774,0,0,0,0
"Glut-DACH2-5",0,0.00388196304254018,0.00111735694207041,0,0,0.0244481239162152,0.00179391722712477,0,0,0,0,0,0.00277806570383551,0,0,0,0,0,0,0.212990073231862,0.0541207495033565,0.000369999554115405,0.266283002825066,0.0450812663269156,0,0,0
"Glut-DACH2-6",0,0.0369522542264434,0,0,0,0.00318042254556664,0.000954573755672327,0.000404303525208064,0,0.00163375181080099,0,0.628926029081278,0.000771248286062357,0,0.00316008728630726,0,0.00177351810354657,0.000948917821521581,0,0.00211169513618007,0,0.103279642408874,0,0.000893594039020824,0,0.000639311126803693,0
"Glut-DACH2-7",0,0.0212218447688044,0,0,0,0.0856417985328241,0,0,0,0,0,0.00220569902904278,0.0170132162861061,0.0018734208515603,0.00206157622493888,0,0.00272022373238122,0,0.000535865232727836,0.0735086173996191,0.160861485237921,0.00484733279236685,0.0107175356557594,0.155187403732855,0.000438922480126418,0,0.000498380736752275
"Glut-DACH2-8",0,0.0276656926168099,0.00469164435178216,0,0.000547675310537201,0.00080448894446086,0.00300387666470056,0,0,0,0,0.0811141799669289,0,0.000814542473183623,0.0224799326020758,0,0,0.00374201817114488,0,0.00260061799098065,0,0.552311531105459,0,0.00280348656706485,0.00133212903360745,0.00170855363038015,0
"Glut-DACH2-HVCra",0,0.00102750982477186,0.00128410783166564,0,0,0.00427251549526625,0.0273878615630923,0.00359193569945635,0,0.00928744263266014,0.0962651324566986,0,0.0601485194294673,0,0.00988271592947631,0,0.0610155445600771,0.000548337643532058,0.00409593497235987,0.000235846282347394,0.0142705651318696,0,0.00387896352225047,0.0196101133581605,0,0,0.255762622407876
"Glut-DACH2-HVCra-Int",0.001014953821441,0.00997606584531305,0.00668579241385767,0,0.000554950499722125,0.0246274588063292,0.000465366128167674,0.00104224073248536,0,0.00239300764066688,0.00742612893492795,0,0.0113268837098828,0.000451880736185014,0.0428792324688699,0,0.004219709893509,0.000602412826064482,0.04995571827412,0.00213061487754994,0.14578903634384,0,0.0420648619662116,0.174482897124782,0,0,0.000582344319789391
"Glut-DACH2-HVCx",0,0.0157951949954877,0.050522607161822,0,0,0,0.13320734793204,0,0,0.0372094312780533,0.0380946753186895,0.0347527900551756,0.0085226202153117,0.000802235703542865,0.0100303828759003,0.00304951955382658,0.0260819026787286,0,0,0,0.000539083379605674,0,0,0,0,0,0.0734503036434635
"Glut-DACH2-LMANco",0,0.00419839360683914,0.0360830324946457,0,0,0,0.00504543730491329,0,0,0,0.0303413808070618,0.230907040540315,0,0,0,0.000548771781118144,0.0824405981360715,0.0048933624461128,0,0,0,0.109294848572262,0,0.00170038615319627,0.00459155537512622,0.0179948380242164,0.00267657100428488
