"","Ex_TSHZ2_NR4A2","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_CACNA1H_PROX1","Ex_DACH2_SLIT2","Ex_CACNA1H_KIT","Ex_KIAA1217_BCL6","Ex_Pre_SATB2","Ex_CACNA1H_CPA6","Ex_SATB2_OVOA","Ex_KIAA1217","Ex_DACH2_ITGA9","Ex_SATB2_FOXP2","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.0031935674437349,0.00410898938025433,0.0353468723413707,0.797373999153387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00434217316833048,0.00895234015460269,0.0487963260826829,0.398268864159604,0.00746118535207395,0.00341490420555514,0.0371627494997304,0.000984456032927839,0.0397574881289742,0.00279613665369776,0.00452315871592518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00575663099480593,0.0285081509374835,0.0613974865903985,0.631345489844342,0,0,0.00132446551287395,0,0,0,0.00187500868698176,0.0019644605727244,0.00206921071628046,0.00181536511267463,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00181067843818395,0,0.00165344944588835,0.652712850235766,0,0.170777317301822,0,0,0,0,0,0,0,0,0.00163693053353552,0.000985515566783019,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.194481653682802,0.00181974846996387,0,0.424894714797364,0,0,0,0.000722497046624433,0,0,0,0.00158477719579493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00236728235220592,0.0923941418518782,0,0,0.00987996951387586,0,0,0.000980546343689733,0,0.00692663763185403,0,0.00580063980500148,0.000770018621374142,0.00234563110958959,0.332851822991951,0.0869465586074946,0.0119104254764302,0.000466156544895885,0.0345661262956924,0.0182816753919008,0,0,0,0,0,0
"Glut-DACH2-2",0,0.000358527548622381,0.0233305224349158,0,0,0,0,0,0,0,0.000285267070166455,0.000478747780542389,0.00508049203957118,0,0,0.104827023295332,0.0755652507598506,0.0542455392550579,0,0.19705962037695,0.0407129148866926,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0.00796630615850059,0,0,0.573414854897445,0,0,0,0,0,0.000489982609636019,0.00644592489636176,0,0,0.00283560190012772,0,0,0.0819292317140663,0,0.00059706002948234,0.0382487666752829,0.00097716055046057,0,0,0,0
"Glut-DACH2-4",0,0.00337089520237349,0.0432779907796504,0,0,0.0247158768078717,0,0.00447490616120961,0.00142060808805679,0,0.0227666503313049,0,0.271230791525197,0.00454112739753389,0,0.0204545231660185,0.00146979222598473,0.000994666967955915,0.0381505142202976,0,0.00435601383067719,0.0114611592582813,0,0.0131912199650925,0,0,0
"Glut-DACH2-5",0,0,0.0183951646968111,0,0,0,0,0,0,0,0,0.000985095571513039,0.00381157896528264,0,0,0.037672042735956,0.0298904072256232,0,0,0.249957027554115,0.233205573449596,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0.000456231000147221,0,0.000465605647158547,0,0,0.000988504072715625,0,0,0,0,0.0390231284473631,0.000318822395059277,0,0,0.000466223744305898,0,0.0861032565843547,0,0.00143154872300413,0.640099392491145,0,0,0,0,0
"Glut-DACH2-7",0,0,0.0777295345441531,0,0,0.0010987506908166,0,0,0.00124991657396835,0,0.00217155547365451,0,0.0128484657368451,0.000565439378490774,0,0.218619514065537,0.126585517958639,0,0.010235302239737,0.0121402422397946,0.0469000703890388,0.000811428843251775,0,0.00175509653776426,0,0,0
"Glut-DACH2-8",0,0.000532557486377929,0,0,0.000465342703164058,0.000572577540730287,0,0,0,0,0,0.00267033689971242,0.00843535023599833,0.011213568275564,0,0,0.00266588138939314,0,0.614060061816542,0.000458638253649502,0.00121294209603643,0.0598221029452698,0,0,0,0,0
"Glut-DACH2-HVCra",0,0.0905291045094238,0.00364403603319062,0.00149378037733692,0,0,0,0.00169328591193757,0,0,0.0301956666545899,0.00102783704027394,0,0.00206073189929785,0,0.038782281655493,0.0172363817211713,0.0012138196505311,0,0.000633284901437385,0,0,0,0.144696847121461,0.0342089416024792,0.0416230518096801,0
"Glut-DACH2-HVCra-Int",0,0.00124677575761276,0.0174349791558739,0,0,0,0,0,0.00150627854680135,0,0.00675513906250203,0.00163869348317695,0.0079396403744921,0.0144492875037483,0,0.172396734065233,0.148522027455422,0.0561684683988789,0.00178267134290071,0.0289357018620291,0.0024002188021487,0,0,0.00577474733310494,0.00183149578863861,0.000370145364510524,0
"Glut-DACH2-HVCx",0,0.274539450528872,0,0,0,0,0,0.0136197342018867,0.000824328895593076,0,0.0066973542720327,0.00489681101274463,0.0178987738155144,0.00795345966713547,0,0.00155147594939477,0,0,0.000896809000256967,0,0,0.0476276961887418,0,0.0122598121942914,0.0149815288015383,0.00151757029996343,0
"Glut-DACH2-LMANco",0,0.000775378365019031,0,0,0,0,0,0,0,0,0,0.00459672621226235,0.00171107100681804,0.000918264879553847,0,0,0,0,0.11728798211403,0,0,0.247506789590434,0,0.0508423630054367,0.0556902876612729,0,0.000603221522887691
"Glut-DACH2-LMANsh",0,0.000167656317492147,0.0106725996796655,0,0,0,0,0,0,0,0,0,0.115947050277708,0,0,0.0199063457440578,0.0333317493295992,0,0.0305664517141231,0.154352404339096,0.0729598177895606,0.000660621762923645,0,0,0,0,0.0106927191619953
"Glut-SATB2-1",0,0,0,0,0,0,0,0,0,0,0.0169625673126967,0,0,0.215484702439094,0,0,0.00121933694452673,0,0,0,0,0,0,0.466132651241749,0,0.11125235125866,0
