"","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_ZMAT4","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_SATB2_FOXP2","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_DACH2_LHX2","Ex_SATB2_OVOA","Ex_SATB2_SOX6","Ex_KIAA1217","Ex_BCL6","Ex_Pre_KCNH7","Ex_SATB2_ZNF385B","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.000471100726755787,0.678377198137414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00162430804550434,0.564007265296806,0.000225286186807093,0.000213989647041565,0.000260487923588824,0.00294206202989032,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0.636618065775938,0,0,0,0,0.00042857757783519,0.000531203878677717,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.507867037548873,0,0,0,0.0753009237745366,0.00111278917197958,0,0.0018430110728317,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.67755404326132,0,0,0,0,0,0.000260752726097705,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.0812291128847531,0,0.000797361929625319,0.0513642448928867,0,0.00216871140877509,0.0014733465951684,0.000232500173804937,0.200555071787935,0.0396325709516713,0.000304924373363605,0.00280641185154536,0.00028733004754854,0,0,0,0,0,0
"Glut-DACH2-2",0.0218507184151138,0,0,0.0968160989287221,0,0,0,0,0.121996567460959,0.0869749685831813,0,0.000303801715245597,0,0,0,0,0,0,0
"Glut-DACH2-3",0.0115396997907294,0,0.130705420621623,0.00232638510564823,0.0160587431154752,0.331922433848027,0.00658576233974801,0,0.00232535084540213,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-4",0.0364436076208836,0.0031193945227058,0.08551236224575,0.0187788167678766,0.0919327874104423,0,0.0222441248192842,0.00912512312497758,0.00881369625612351,0.00245080667407713,0,0,0.00845172093307143,0.0165036036631177,0,0,0,0,0
"Glut-DACH2-5",0.0120490771833332,0,0,0.278555231105397,0,0,0,0,0.0153293554323146,0.106118081990957,0,0,0,0,0.000439587364787546,0,0,0,0
"Glut-DACH2-6",0.000426651524938244,0,0.0530949480882951,0.000721074030070259,0.526531815696087,0,0.000214253522263489,0.000282207210918371,0,0.00025110467987685,0,0,0,0.00115329136538228,0,0,0,0,0
"Glut-DACH2-7",0.0477049216614097,0,0.0121071897477161,0.243233699772372,0.00359190130583186,0.000500262446564977,0.000267007731866412,0.000631572020113593,0.0247057909869302,0.0434029291864338,0,0.000245640853204665,0.00054472612924959,0.000693937692645642,0,0,0,0,0
"Glut-DACH2-8",0,0,0.50351898350757,0.00057946112090101,0.0378150156610122,0,0,0.00136869386493017,0,0.000447492208280155,0,0,0,0,0,0,0,0,0
"Glut-DACH2-HVCra",0.00481903066103842,0,0.000508089272676435,0.00614405083336096,0.00869741552669846,0,0,0.0198728782130376,0.0286653621718579,0.016194561973742,0,0,0.0241763458613846,0.146933961000879,0,0.00069825986571674,0.00360755054710475,0.002397294740473,0
"Glut-DACH2-HVCra-Pre",0.0183030539518063,0,0.000379887602380241,0.0159620943931404,0.000595827350352282,0,0,0.0111943872920576,0.163722449732564,0.0785895346260587,0,0,0.0031339579067016,0.00378320893250479,0.000453259243050923,0,0,0,0
"Glut-DACH2-HVCx",0,0.0248785273891321,0,0,0.225428194104342,0,0,0.0123219289962981,0,0,0,0,0.0233133055911176,0.0173459172942794,0,0,0.00987073377895632,0,0
"Glut-DACH2-LMANco",0,0.00093110120071059,0.154222866726197,0,0.235842779021008,0,0,0.0251302377541779,0,0,0,0,0,0.00679290375878184,0,0,0,0,0
"Glut-DACH2-LMANsh",0.00724268468013725,0,0.0197267951193905,0.114337892696,0.000459781721617827,0,0,0,0.00662177205989111,0.167619023335382,0,0,0,0,0,0,0,0,0.000370779472048002
"Glut-SATB2-1",0,0,0,0,0,0,0,0.108919281576875,0.000587593935669522,0.00090393950763413,0,0,0.00686517702634144,0.433904239856045,0,0,0,0.0835662105973576,0
