"","Ex_KIAA1217","Ex_KIAA1217_BCL6","Ex_Pre_KCNH7","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_BCL6","Ex_CACNA1H_MCTP2","Ex_CACNA1H_CPA6","Ex_Pre_SATB2","Ex_CACNA1H_PROX1","Ex_SATB2_OVOA","Ex_CACNA1H_KIT","Ex_SATB2_FOXP2","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_DACH2_RORB","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.000648308926734622,0.000297807930092423,0.00498211696271847,0.00679298998598639,0.791324624842092,0.0364471213660677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0,0.00119218658030491,0.0118316969699844,0.00766160996629105,0.376657829447547,0.0488741000801973,0.000435398267216108,0.00195653701277186,0.00158394235336801,0.0419468593699357,0.0111394732671974,0.0056022701843444,0.0553038984173364,0.000360338661384338,0.00216770991475487,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00334553214028523,0,0.0400356387435309,0.00841117432613167,0.628879762061884,0.0665736648584155,0,0,0,0,0,0.00225217516927869,0.00199471297125318,0.00139041738549858,0,0.00188687880120947,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0.00187243122321026,0.650831425305831,0.00299235789117536,0,0.00176098020390924,0,0,0,0,0.00431579137756293,0,0.155806775234616,0,0.0012698691053399,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0178792452130709,0.000938173180790435,0.00127116033958528,0.17288417960912,0.38796416775239,0,0,0,0,0,0,0.000538889961670877,0,0,0,0,0.000364886163739296,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.000462849073504703,0.00255147948583175,0,0,0.094763069416426,0.000374167512504824,0.00189342642450735,0,0.00103132064889535,0,0.00978446597604986,0,0.00145102673539096,0.0111526616686795,0.00675059281507346,0.0167943666980586,0.000416667995265745,0.323142893547111,0.0933386394149125,0.0171752341534206,0.0379163513758269,0,0,0,0,0
"Glut-DACH2-2",0.000436401655822819,0,0.000419277481051134,0,0,0.0271998160088047,0,0,0,0,0,0.000399074417539558,0,0,0,0.00610707015019061,0.063186127205839,0,0.0958301426075312,0.0668832224165142,0.0388240874632625,0.227076083649733,0,0,0,0,0
"Glut-DACH2-3",0.000534822648107381,0,0,0,0,0.00935302291498755,0.000976972047708404,0.00134702275068453,0,0,0,0.000340439563956661,0,0,0.573301497098715,0.00677295944459466,0.000519507866739853,0.0813190986810482,0.00289971275106359,0,0.000467719383277708,0,0.0440026571307069,0.00101970487134573,0,0,0
"Glut-DACH2-4",0,0.00637270204470454,0.00454143414844205,0,0,0.0478527106109742,0,0,0,0.00254256715746293,0,0.0227351066728837,0,0.00602684601606011,0.0317600913427141,0.272173045368635,0,0.0337523689981127,0.0166102010233687,0.00146879510959933,0.00290713714213736,0,0.0165692694360095,0,0.018780263860415,0,0
"Glut-DACH2-5",0.00100989067335842,0,0,0,0,0.0211070541379077,0,0,0,0,0,0,0,0,0,0.00450728362325042,0,0,0.0394033195878427,0.0358328896788158,0.229613724470514,0.264819831792096,0,0,0,0,0
