"","Ex_CACNA1H_LHX9","Ex_KIAA1217_BCL6","Ex_DACH2_ITGA9","Ex_KIAA1217","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_Pre_KCNH7","Ex_TSHZ2_NR4A2","Ex_BCL6","Ex_DACH2_LHX2","Ex_SATB2_FOXP2","Ex_DACH2_CEMIP","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_DACH2_SLIT2","Ex_Pre_SATB2","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_SATB2_SOX6","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_DACH2_RORB","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.738345096947304,0.00441714562389998,0.00038579510634974,0.00115446450021627,0.000422485627174598,0.039979313611265,0.00669780340309981,0.015424567892627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.306598542265595,0.00305077472682121,0.000297814303963082,0.000451874348316876,0.0757614849780783,0.0429242116942641,0.017442270494614,0.00793454025216913,0.00133888439910807,0.000277862398941721,0.00254655728572244,0.000183310756187489,0.00161048232211832,0.0218778436928733,0.0011581239442513,0.0481188561530426,0.00753693639892731,0.0191538095054687,0.000225844866706566,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.569427999085434,0.0023582478657552,0,0.00529717462094882,0.00155087337958361,0.0760918710451631,0.0678075415101426,0.0121533780415502,0,0,0.00178533462527166,0,0,0.000625925573950915,0,0.000971351168219432,0.000611085229038501,0.00104549380252254,0,0.000701977728043832,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.628782794405678,0,0,0,0.00977743414433648,0.00594936564993217,0.00376392583761036,0,0,0,0,0,0,0.0024386846946448,0.106918540418529,0,0.00281124488587506,0,0,0,0.00501837424302482,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.404167127395966,0.00158122520899838,0,0.0684279578941427,0.00103482206669698,0,0.0023357943116843,0.0798122308351696,0,0,0.000437703041167827,0.000262680270385579,0.00221273421281288,0,0,0.000443198010519206,0,0,0,0,0.000869648054504316,0,0,0,0,0,0
"Glut-DACH2-1",0,0.000430540468020146,0.00635249171240424,0.000354359722355145,0,0.0910124558486895,0.00469650324701771,0,0.000593775861867019,0.0486359581368512,0.00198869623411317,0,0,0.000663196296545254,0.00995631152582139,0.000969841953177064,0.00341784842331184,0.0179986654387082,0.00075191529846248,0.0963746580014561,0.0210023321370347,0.000295389213403705,0.0160292290349001,0.282364630232363,0,0,0
"Glut-DACH2-2",0,0,0.00620308494299658,0.000306837140355002,0,0.0267939244367118,0.00083678347576968,0,0,0.210354499149556,0.000575865219188836,0,0,0,0,0,0,0.00226128942806931,0,0.0846165866807408,0.0625284520487883,0,0.043196714943891,0.107271878348865,0,0,0
"Glut-DACH2-3",0,0,0.0181458465851875,0.000821208746431712,0,0.0126282709311299,0,0,0.00452603436318572,0.000387896554478485,0.000625140778855049,0.0480754350791023,0,0,0.541727693906027,0,0.000998653609207153,0.000907975001799933,0,0,0,0.0836133049698947,0.000609070391915451,0.000719878941295048,0.0018797228114804,0,0
"Glut-DACH2-4",0,0.00944992194544036,0.244457227791329,0.00083241549080332,0,0.049087010614693,0.00591396072619774,0,0.00153189924777424,0.000891982993512069,0.00900387180439928,0.0117261794123415,0,0,0.0361764061199029,0.00168931949508495,0.00100071189586869,0.0278019200823165,0.0211050647831758,0.000868718090230182,0,0.0553278336172161,0,0.0136224576317309,0,0,0
"Glut-DACH2-5",0,0,0.00321358014273967,0.0011277040450148,0,0.0245386863550163,0.0015137137966416,0,0,0.279156379653438,0,0,0,0,0,0,0,0.00209475463112658,0,0.0418506063363805,0,0,0.217007247020214,0.0494187824447286,0,0,0
"Glut-DACH2-6",0,0.00106481923759716,0.0365379887775422,0,0,0.00152590356121369,0.000780413816254232,0,0,0.000331332222938994,0.00267562645143669,0.641473888282206,0,0.00095276990967475,0.000342260838311577,0,0,0.000887723194467713,0.00155398240013705,0.000363976450738123,0,0.10014241016514,0.00175956093765726,0,0,0,0
"Glut-DACH2-7",0,0,0.0142536458045682,0,0,0.0855509979552072,0,0,0,0.00950472857522518,0.00122521699014791,0.00143471903338552,0,0,0.00178955164343469,0.000802645122872568,0,0.0121248672605319,0.00216621791115607,0.155870417224182,0.000382146768439902,0.00728712809435745,0.074788183501752,0.1731231201742,0,0,0
"Glut-DACH2-8",0,0,0.0262179299514649,0.00431789907165807,0.000475585680980395,0.000753205804218188,0.00102626858747235,0,0,0,0.0220608269514852,0.079915384179335,0,0.00373452911476835,0.00126086431483864,0,0,0,0,0.00266943866226602,0,0.564465904140887,0.00104350335136715,0,0.00120538971052001,0.00103104208044142,0
"Glut-DACH2-HVCra",0.00242225109393215,0.00741305077467358,0.000452386580959699,0.00151849699290137,0,0.00369965717340604,0.0322101330694578,0,0.1231986449998,0.00375060034258164,0.00846247530275467,0,0,0,0,0,0,0.0487822977877763,0.0723024828021189,0.0209930857250126,0.00400494533561165,0,0,0.0166151665790238,0,0,0.211149083892262
"Glut-DACH2-HVCra-Pre",0.000985587347540523,0.00175541108660056,0.00883347186225889,0.00634275012674373,0,0.0233331874496781,0,0,0.00914673277930391,0.0435995475234369,0.0357455836590692,0,0,0.000532562212679823,0.000361458029005259,0.00106146169806715,0,0.00847693725950063,0.00570228590731026,0.16800292120501,0.0586097813120562,0.000534143774243941,0.00145841786282692,0.154845849962105,0,0,0.000455627599177416
"Glut-DACH2-HVCx",0,0.0340831913482889,0.0152767303840094,0.0444327086414349,0,0.000864834765136377,0.138908786093398,0,0.037509057994952,0,0.0106527030462169,0.0461377696411103,0,0,0.00077630089242435,0,0.00270992371812204,0.00955084515845243,0.0189193531261701,0,0,0.000958521198741028,0,0,0.000816048041246693,0,0.061271422069454
"Glut-DACH2-LMANco",0,0,0.00434449647329715,0.04187576163656,0,0,0.00472836805907983,0,0.0291863329493653,0,0.00043333780035307,0.254045179872195,0,0.00318800857727543,0,0,0,0,0.0861471133662618,0.00115309627998457,0,0.11042540075748,0,0,0.00140305226784985,0.0129506268508916,0.00132346776007586
"Glut-DACH2-LMANsh",0,0,0.0895113582205123,0,0,0.00950942854543802,0.012161080581203,0,0.0010208963895638,0.201686130062003,0,0.000487945562848968,0,0,0,0,0,0,0.0002449772948956,0.0770395932648847,0,0.0176819517591787,0.0893907829956177,0.0087906227455019,0,0.0134474549356433,0
"Glut-SATB2-1",0,0,0,0,0,0,0,0,0,0,0.210804961368852,0,0,0,0,0.00573434541568475,0,0.021810838031034,0.462916574714233,0.00129805376523155,0,0,0,0,0,0,0.112508244031169
