"","Glut-CACNA1H-1","Glut-DACH2-3","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-DACH2-7","Glut-CACNA1H-2","Glut-SATB2-1","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-2","Glut-CACNA1H-RA","Glut-DACH2-HVCra","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-4","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-CACNA1H-3"
"Ex_BCL6",0.000552767088677789,0.227483759646267,0.000363320403785425,0.0325519745255933,0.00169006938307305,0.0139894407692391,0.0112310004347207,0.0128078659878567,0.0023145029386785,0.00286500353902461,0.000933393333046372,0.119060129917424,0.10991839853502,0.0237587593061098,0.00758394015084729,0,0,0,0
"Ex_CACNA1H_CPA6",0.012804746517512,0,0,0.022009700825263,0,0.788989776308049,0,0,0,0,0.00264732938350174,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0021434671304977,0,0,0.0811268728378507,0,0.689746525674887,0,0.000931204445637749,0,0.0042422112256951,0,0,0,0.00168268937683413,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0814430705977507,0.00587470080343406,0,0.534125501915102,0,0.148171682123137,0.00218907141639582,0.00226839710528011,0,0.00370843806959715,0,0,0,0.00302569116340115,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00399215864321218,0.0291868695644308,0.000549155539116028,0.0818347387362176,0.00736349226078632,0.188040500595337,0,0.0264066776758666,0.00679675523966286,0.0681089171620127,0,0,0,0.00904764483000268,0.00164063379248504,0.0390962114779684,0.00250501335167587,0,0
"Ex_CACNA1H_PROX1",0.00062314907288477,0.00296927062011583,0,0.107139902760562,0.000550634178435256,0.506765259622583,0.00113929194541245,0.0100879945037246,0,0.0526702486202123,0,0,0.00329155765089718,0,0,0.00131451066828414,0.000322372581937899,0.000437081077408043,0
"Ex_DACH2_ADAMTS5",0,0.00242212904360099,0.000299807009586053,0,0.158705135360316,0,0,0.0226151747027745,0.00855069365171636,0.0442495391562676,0,0.000747208975468474,0.0142471717170959,0,0,0,0.317113966445947,0,0
"Ex_DACH2_CEMIP",0,0.117743291515559,0,0,0.0015143371237422,0.000516080981258424,0,0.0057879060406839,0.0398955237569266,0,0,0,0.606163366338839,0.00180889568866791,0.00359986991956745,0,0,0.000853216198803608,0
"Ex_DACH2_GRIK4",0.000832901473570784,0,0.00134591833192238,0.00762661580499545,0.131523309912341,0.00143258317443065,0.00373503691341383,0.283457841435224,0,0.1272070034218,0,0.000858679826561614,0.000316291606395401,0.00298335659624185,0.000606669223243925,0.00186771352967867,0.0191821486653124,0.000229160970054435,0
"Ex_DACH2_ITGA9",0.00428802989560986,0.0939195371094827,0.00100232671600446,0.000372946694159075,0.0512263051900413,0.00148663290654608,0,0.0590644431359294,0.162642968662467,0.0206704267722787,0,0.00049755476478699,0.0315390356577691,0.000963257577919214,0.0718004055056505,0.0243520511387523,0.00193266200209022,0.000438728365520358,0.00031079496256061
"Ex_DACH2_LHX2",0.000337992028162813,0.00804459947111406,0.000634620322672597,0.000726527572104689,0.00644607159634632,0.00298208591825738,0,0.171596652170387,0,0.380549819630404,0.00060083711157311,0,0.000402802494262672,0.000387693295829815,0.000317352289372829,0.00032153811494506,0.0138369358893703,0,0.000188193802983835
"Ex_DACH2_LUZP2",0.000488295793901097,0.0125697896689209,0.000788141244122343,0.0337314630617802,0.000922475972774094,0.00475742039843557,0.00076729644502309,0.267337691747628,0,0.277520707124429,0,0.000624935909356629,0.000839180325324185,0.000520382925786587,0,0,0.000676774800533522,0,0
"Ex_DACH2_MGAT4C",0.001182798410921,0.000977605489914788,0.00917162451484004,0.00142757145020982,0.0958893751102606,0.000525277311014697,0,0.290004893687287,0,0.142245225280823,0,0.00250793952559942,0.000272416308145415,0,0.00103342154675634,0.000248361941096872,0.0475485930133525,0,0
"Ex_DACH2_NR4A3",0.00447130108697593,0,0,0.0016727342075907,0.199469863058526,0,0.000367885842753052,0.342339729175433,0.000573226213905472,0.0107061793741502,0,0.000626312226609297,0.00129206635165109,0,0,0.000653085577596365,0.0416730173473918,0,0
"Ex_DACH2_RORB",0,0.689551029920478,0,0,0.000920658402697101,0.000762824105750817,0.0148016289343855,0.00247401474979122,0.0047950131186945,0,0,0.00208303921696943,0.000669580565084519,0.000912417934159615,0.000395013732366294,0,0.0037417303715986,0,0.00135768620305859
"Ex_DACH2_SLIT2",0.000927707641451941,0.565538434541477,0,0.0898616965886461,0,0,0.000575339795151814,0.0836402440901229,0.000922643709399561,0.00756139958027448,0,0.000778289717140331,0.00483518671310508,0.000562814798481098,0.0211985021886726,0,0,0,0
"Ex_DACH2_TAC1",0.000343456214269664,0.208136698199465,0,0,0.0121861359497143,0.000695426309436434,0.00381196326546043,0.000638359741387215,0.388701329223181,0.00109922887183046,0,0.00123472249007927,0.000903184024087835,0,0.000704084742603852,0.00251584427336298,0,0,0
"Ex_DACH2_ZMAT4",0.000699882135361182,0.277815253081789,0,0.000604971127177603,0.00545194697028376,0,0.000660370670584044,0.00112344332225411,0.341078529665517,0,0,0.000483552167526106,0.050468257442825,0,0.0184832513188461,0.00341442987122095,0.00174431176881363,0,0
"Ex_KIAA1217",0.000244468827096183,0,0.0308990313874772,0.00174673267554754,0,0.00131770120927159,0.141222595907279,0.000218251466448928,0.0485499742519471,0,0.0718286258522691,0.0135241274010957,0.000389522336379909,0.0916967082053214,0.00027881590571944,0,0.00128905410026221,0.00722442505808101,0.000937702546236857
"Ex_KIAA1217_BCL6",0.0128467836881202,0,0,0.00621995334748288,0,0.037890669999864,0.113273045308273,0.006961835713041,0.0223196363093628,0,0.00540770314629274,0.151674583637529,0.00245945970004749,0.0511482275192017,0.0216971964158843,0,0,0,0
"Ex_Pre_KCNH7",0,0.00871924336776599,0.000284118824255905,0.0158742928913632,0,0.0673219910038641,0.0428153044397588,0.0824779596173849,0.00178029298669239,0.00422183440511997,0.00186664064460933,0.0314364564930015,0.0730052272153484,0.0808048734595163,0.00294218114402213,0.00070350712734903,0.00144559532123349,0.000453413147947503,0.0128402382937768
