"","Glut-CACNA1H-1","Glut-DACH2-8","Glut-CACNA1H-2","Glut-CACNA1H-3","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCra-Int","Glut-SATB2-1","Glut-DACH2-3","Glut-DACH2-2","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-LMANco"
"Ex_BCL6",0.000424808694198717,0.00273473270510641,0.017753892464895,0.0011927204174218,0.00635724130122909,0.0951696743759278,0.0157227736807784,0.158749374689997,0.00987302417346291,0.0327228743183238,0.00187663964203534,0.00122487408187784,0.00869501736764691,0.258776193343495,0.00270510425345977,0,0,0,0
"Ex_CACNA1H_CPA6",0.0077810711702547,0,0.842980554960691,0,0,0.00177192375564706,0,0,0,0.00911413199946177,0,0,0,0,0,0.00265188133352437,0,0,0
"Ex_CACNA1H_KIT",0.00614475989134754,0,0.687366703980482,0,0,0,0.00190437270939238,0,0,0.0882365353120892,0,0.000764753512954428,0,0,0.00481461688779688,0,0,0,0
"Ex_CACNA1H_LHX9",0.0843243058648601,0,0.158129077315681,0,0,0,0.00364409702871515,0,0.00145796412070581,0.527392591521764,0,0,0.00141982672035707,0.0079536779425506,0.00323948944079936,0,0.000638754103344143,0,0
"Ex_CACNA1H_MCTP2",0.0010527169102077,0.00606572183079989,0.204819689994061,0,0.00214322438449105,0,0.00738541746615293,0,0.0275130496979441,0.070323807557673,0.00259643677785835,0.0132375805423329,0,0.032464125471929,0.0841045286933775,0,0.00534306096101605,0.0296151811896011,0
"Ex_CACNA1H_PROX1",0.000554362079583764,0.00116281349346049,0.573174752098477,0,0,0.00344699321997199,0,0,0.00655342950391626,0.070607662494373,0.000543238063018844,0.000331648341412959,0.000844100602293897,0.00834520888856935,0.0493754395191264,0,0.00228017748109693,0.00146007300224744,0
"Ex_DACH2_ADAMTS5",0,0.00975827599128188,0,0,0.000886529525095205,0.0147038061283274,0,0.000784779449616134,0.0218071286975697,0,0.192405411846203,0,0,0.00316441293845451,0.0574478065693626,0,0.279923964359124,0,0
"Ex_DACH2_CEMIP",0.000567242449801158,0.0361881635447329,0,0,0.00640612018255205,0.63306504333172,0.0019402266982491,0,0.00410622157598134,0,0.00176751514640359,0,0,0.112370824003597,0,0,0,0,0.00133546937985351
"Ex_DACH2_GRIK4",0.00108514132584966,0.00202818775801942,0.0013837113807112,0,0,0,0.0026914378087939,0.00121813370277628,0.272874657910937,0.00769270206392837,0.141245551262357,0.00358644558851088,0.00378578668992269,0,0.134686705145024,0,0.0238463927482104,0.00451555094555509,0.000211722699215115
"Ex_DACH2_ITGA9",0.00450690422897795,0.177354977240354,0.00186090760601687,0.00036749108528745,0.0789672786164967,0.0330203578115892,0.001661989521638,0.000498256158212876,0.0634879892975066,0,0.0491996674497447,0.00348027879996964,0.000364114993962337,0.0952172335180111,0.0249617859015951,0,0.00202603430835322,0.0275440789614341,0.000422351139570939
"Ex_DACH2_LHX2",0.000430326778712596,0.000311212161174049,0.0041028877659078,0,0,0,0.000538668117443775,0.000791390073686205,0.179521866672225,0.00073672158299606,0.0068348231453835,0.000492452622737951,0,0.00971802572673103,0.358482730452064,0.000561452787841754,0.024997092495023,0.000746916038047174,0
"Ex_DACH2_LUZP2",0.000393970078978576,0,0.00581237420692388,0,0,0.000510565982476256,0,0.000653914992735282,0.261989919549844,0.03588062894664,0.00071377091700826,0.00194389677580781,0.000744760117339927,0.017587033447105,0.290564106562491,0,0.00079524973161476,0,0.000254297921300795
"Ex_DACH2_MGAT4C",0.000387429900287178,0,0.000599078096748965,0,0.00111606872526735,0.00212785206088089,0,0.00373494851605726,0.290660829874486,0.00151369491699083,0.106470200190196,0.0115911818465158,0,0.00110225065349424,0.152155360619497,0,0.042653655704486,0.000345457429736191,0
"Ex_DACH2_NR4A3",0.00548389247952017,0.00061607319428054,0.000763413036332189,0.000354452604262001,0,0.00178752101219961,0,0.000454786739346596,0.331188425007193,0.00173854806101192,0.198309248872907,0.000736514448879473,0,0,0.0102281568550907,0.000485452560082045,0.0421201973570491,0.000831237623452384,0
"Ex_DACH2_RORB",0,0.00261053632956233,0.00180138118169382,0.00158448015137968,0,0.00168415157473537,0.00116481045637368,0.00196835833143091,0.00213104305151908,0,0.000830419824860635,0,0.00936869836569968,0.598393905675954,0.000803680598346605,0,0.00358453092142883,0.00856373910895369,0.00647373025433285
"Ex_DACH2_SLIT2",0.000593056467938342,0.0016286598669082,0.000592113204054659,0,0.025801923444496,0.00709157500093772,0.000693873773458869,0.000779687900751877,0.0896058642878128,0.093991365342493,0,0,0,0.57252496192667,0.00796566771921928,0,0,0,0
"Ex_DACH2_TAC1",0,0.431360547056258,0.000721942528384174,0,0.000448853363696592,0.000224619372268155,0,0.0011988273842838,0,0,0.0110615142743549,0,0.00449046436179697,0.201869304937229,0.000927253808652173,0,0,0.00191491970088569,0.00222046698964215
"Ex_DACH2_ZMAT4",0.000699800722876167,0.348453512993264,0.000467325292646702,0,0.0219265098070729,0.0564243317265515,0,0,0.000952935120764619,0.000827639194198472,0.00825092497263635,0,0.000593584976895343,0.270425899606408,0,0,0.00212542908640278,0.00446709217293292,0.000911333061219644
"Ex_KIAA1217",0.00104662971858028,0.0375169571265997,0.000520907776131681,0.0017949088008522,0.000642530860639054,0,0.121832977463649,0.00985037193434928,0,0.000679931136383949,0,0.0195433633542007,0.0829809892568348,0.000533121785131084,0,0.145376430374912,0,0,0.0282410547079421
"Ex_KIAA1217_BCL6",0.0159475864333388,0.0228947672499068,0.0376388464121207,0,0.0331227716936294,0.00282362903541152,0.0513989026193432,0.154811748180801,0.00482660343360041,0.00657464581255434,0,0,0.074432446436949,0,0,0.0241328317287892,0,0,0
"Ex_Pre_KCNH7",0.000438872877168217,0.00164470435678443,0.0704251795670057,0.0153392899822219,0.00320166066095665,0.0674753465752942,0.0839391600435744,0.0376336385272589,0.0785816443732722,0.0169676184794209,0,0.000969789780805541,0.0488121552452867,0.0100788686646779,0.00314474405367615,0.000651022501943865,0.00135727707506341,0.00484559862218834,0.0029640940200023
"Ex_Pre_SATB2",0,0.000884003009484418,0.166371171205434,0.0102332559362422,0,0.00549569481841351,0.00494482557877956,0.00133705482193777,0.0499401874159737,0.00949467939785508,0,0.00125792305274692,0.277285989281747,0.00185888304854212,0.02007997818679,0,0,0.00118240754290688,0
"Ex_SATB2_FOXP2",0,0.000516232585412259,0.00182034695105971,0,0.000945492089049185,0,0,0.0033321857353983,0.000510225497224031,0,0,0.00053662066226091,0.909168038106386,0,0,0,0,0,0
"Ex_SATB2_OVOA",0,0.000605167299454437,0.0182649893909306,0.00389826243583214,0.00674864899479766,0.000245681446151522,0.000948366943089173,0.029482124930421,0.114329887804568,0,0.115241824120292,0.00140182147465537,0.189327582745631,0.000699521369464146,0.020916514678984,0,0.0190083377733394,0.000285139295791965,0.000339747930833689
"Ex_SATB2_SOX6",0,0,0.000601621785430099,0.000252074598447279,0.00801566415718611,0,0.00103861802538409,0.0171198805479774,0.000624735091815391,0,0,0,0.897043119189475,0.000820751971674774,0.000804913799436008,0,0,0,0.00230160495103397
"Ex_SATB2_ZNF385B",0,0,0,0,0.000364460020308425,0,0,0.00490439996613849,0,0,0,0,0.973234307352102,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.419321678620584,0,0.114426110177653,0.00322514246032002,0,0,0.00492112305862604,0,0,0.00509195928191347,0,0,0.0127741180216797,0.00837186979929995,0.00853067724416838,0.00741029987119328,0,0.00250531657768844,0
