"","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-DACH2-5","Glut-CACNA1H-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCra","Glut-SATB2-1","Glut-CACNA1H-2","Glut-DACH2-6","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-3","Glut-DACH2-4","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-CACNA1H-3","Glut-DACH2-LMANsh","Glut-DACH2-8"
"Ex_BCL6",0.00124825515459153,0.0130315094637682,0.000475263923056682,0.0157533396506711,0.000404865856465467,0.0285456239641303,0.0176949351683463,0.00530219036045684,0.27778436192596,0.0275369157389393,0.00263987417225051,0.126009846848903,0.00713785678717507,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0.0256019283914867,0,0,0.00229381157158928,0.602806577917729,0.00156876827226035,0,0,0,0,0.0358682340744953,0.00176083220344811,0,0,0
"Ex_CACNA1H_KIT",0,0.00112868582950423,0,0.182209489233437,0,0,0.00320916882445647,0.374749434903033,0,0,0.00434819572382326,0,0,0.0103829368043628,0,0.000592458244469822,0,0
"Ex_CACNA1H_LHX9",0,0.00138005936978874,0,0.470197620025216,0,0,0,0.0987939411014982,0.00333352603441023,0.0107381028697735,0.00100226858649006,0.00491516739663194,0,0.0646209230949736,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0019020805718476,0.00743933615969707,0.00131446327531003,0.123351402421454,0,0,0.000816727642787962,0.0917251703373483,0.0032289185230532,0.0275411148668438,0.122497709956359,0.00628763852061005,0.00430234855449519,0.00251906305307294,0,0.000448853586580373,0.0193997844411136,0.00133158976223565
"Ex_CACNA1H_PROX1",0,0,0,0.15067590172613,0,0,0,0.313702369328163,0.00107474614483134,0.0267296152941391,0.0516518553831459,0.00118904138018938,0,0,0,0,0,0.00110729107809363
"Ex_DACH2_ADAMTS5",0.110408681094511,0.000436804275101635,0.242521666124153,0,0,0.000528505719731009,0,0,0.0117014960989036,0.026456916164269,0.0583667415278788,0.000739549692080532,0,0,0,0,0,0.00700070354999649
"Ex_DACH2_CEMIP",0.000774523729823092,0.000793441037666275,0,0,0,0,0,0,0.555190896837219,0.00916138787262779,0.000402529968476052,0.0861772802421901,0.000421520631314728,0,0,0,0,0.0372083281109652
"Ex_DACH2_GRIK4",0.102405423228095,0.00230047984842427,0.0120111565984313,0.00518290160508603,0,0.00108709272490915,0.00237293149303603,0.000310160216830044,0.000732863692581001,0.24990468598403,0.13668336173529,0,0,0,0,0,0,0
"Ex_DACH2_ITGA9",0.0480837317315181,0.00155250247359062,0.000893636750741934,0,0,0.0015611947006705,0.00212662405105499,0.0009330688231559,0.021929023158229,0.0845756488696135,0.032259733667615,0.0950168285607799,0.0310411173350059,0.00156450938142587,0,0,0.0192021987402304,0.0996605884786819
