"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-DACH2-LMANco","Glut-SATB2-1","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-1","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-4","Glut-DACH2-HVCra","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_BCL6",0.00070819845112016,0.0584004781788868,0.00132266756257638,0.00943775122689874,0.00120473647131577,0.00117184900948941,0.00737472714256928,0.0428438292212996,0.00322398624874653,0.0618621783475553,0.248156490103865,0.000999265714590841,0.00212618236530891,0.0275412104609259,0.00235621430403318,0.00409959904614684,0.169499881959813,0,0
"Ex_CACNA1H_CPA6",0.0102183148143896,0,0,0,0.00161142221219745,0,0,0.815272674182731,0,0,0,0,0,0.00877726730279804,0,0,0,0.013403351206209,0
"Ex_CACNA1H_KIT",0.0122075334023636,0,0,0,0,0,0,0.672466534746442,0,0.0020840360604486,0,0,0.0061461907196223,0.120916594534109,0.00293662647932829,0,0,0,0
"Ex_CACNA1H_LHX9",0.0752514229625941,0,0,0,0,0,0.0021239066956224,0.181844317448886,0,0.0038878730976839,0.0045624112258386,0,0.0044655813213571,0.511244418769777,0.00262462768598327,0,0,0.0029617062378835,0
"Ex_CACNA1H_MCTP2",0.0055445556375894,0,0,0,0.000585923419586247,0.00911149711701771,0.027789235075424,0.23457534861871,0.00615361391102417,0.0148379697963977,0.0239416666131438,0.00813439385785997,0.00641589166752101,0.0897696945018502,0.0680161046221355,0,0,0,0.0455837713619781
"Ex_CACNA1H_PROX1",0,0.001366484754116,0.00466292781021479,0,0,0,0.00888760912838737,0.597931282368988,0.00237589693745955,0,0.00609179281935295,0.00738234480544696,0.00159157973489525,0.0564318213766334,0.0309703730172608,0,0,0,0.00206570798936716
"Ex_DACH2_ADAMTS5",0.000957703292614703,0.0159299887319969,0.000433514802522518,0,0,0.214263214880627,0.0176587902405795,0,0.0137251499411131,0,0.00300221886786197,0.263263781634368,0,0,0.0732294467001192,0.000987325448787399,0.00132750696329773,0,0.00404273365308409
"Ex_DACH2_CEMIP",0.000514022707322807,0.630320682403792,0.0031185764059629,0,0,0.00212887407032293,0.00209495037643292,0.00176363407332049,0.0331148996532274,0.00752858199203049,0.116525110476284,0,0.000389525784454309,0,0.00108654522090719,0.011517192280784,0,0.000442628177833072,0
"Ex_DACH2_GRIK4",0.00162490109326752,0,0.000455173177672667,0.00432582054805255,0,0.176272154328663,0.245958516724524,0.00296733507713949,0,0.00209975387303658,0,0.0262103305603409,0.00911470167029438,0.00723011073554443,0.126812869976711,0,0.00204635258662091,0,0.00686914275006607
"Ex_DACH2_ITGA9",0.0105726446553483,0.0331799226488752,0,0,0.000892354698923682,0.0585050151033894,0.057361588068094,0.00344840883130531,0.153217635925847,0.00392969424673173,0.105396382955824,0.000639552009807575,0.00396350534362514,0.000402104917438514,0.0254268922270763,0.093773755878238,0,0.000898584088341584,0.0371621481686724
"Ex_DACH2_LHX2",0.0011232656164907,0.000850748378811939,0,0,0,0.0110556010106894,0.173278935263036,0.00510238788952363,0,0.00156358076271114,0.00855680626407091,0.0560128015458838,0.0012538815910961,0.0033620106722738,0.324322495198713,0,0.000828110140367731,0.000303122673933955,0.00378962606770791
