"","Ex_DACH2_NR4A3","Ex_KIAA1217","Ex_DACH2_ITGA9","Ex_KIAA1217_BCL6","Ex_CACNA1H_MCTP2","Ex_SATB2_ZNF385B","Ex_TSHZ2_NR4A2","Ex_CACNA1H_CPA6","Ex_Pre_SATB2","Ex_CACNA1H_KIT","Ex_Pre_KCNH7","Ex_CACNA1H_LHX9","Ex_SATB2_OVOA","Ex_BCL6","Ex_DACH2_CEMIP","Ex_DACH2_SLIT2","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_CACNA1H_PROX1","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_TAC1","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.041202836846478,0.00104483243343395,0.00118474183799026,0.00706627303959557,0.000327185127602868,0.000390351521330101,0.0210470433188712,0.000728210559766076,0.000290340119726821,0.00298943449601776,0.00671308056925732,0.681180963472316,0.000456568797798845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0439107381849459,0.00223639146761978,0.000856684766154155,0.00534683755321517,0.00709312232251057,0,0.0204490328474195,0.00436089629468724,0.0590605350062425,0.0793614370469106,0.0119010134058929,0.24543974300253,0.0248336723670156,0.00265835424686406,0.000387402017216848,0.00163056845027142,0.000773029305103066,0.00423071247027847,0.0218191983210684,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0744029299765326,0.00613207656436716,0,0.00388208386485349,0,0,0.0196041543817284,0.00111435727396848,0.00209907966470291,0.00254114441621357,0.045773557535743,0.504604475559934,0.00711902249605148,0.000595531631711384,0,0,0,0.00344861270694264,0.000766559788075729,0.000612396629310772,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00758189630920656,0,0,0,0.00253769395220527,0,0,0,0,0.0177035692702366,0.00247818403132919,0.617372512833262,0.00119997227416373,0,0,0.073450773555207,0,0,0.0029393403725536,0,0.00462039678238414,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0011090963911309,0.0980119734913827,0.00034582285076434,0.00264508868786943,0,0.00504504116996761,0.022402680155179,0.000816739242740791,0.0221237684439862,0.0363659088111861,0.0029361760218481,0.295170947948416,0,0.000712838009119982,0,0,0,0.00208131882721713,0,0,0.000772615251514814,0,0,0,0,0,0
"Glut-DACH2-1",0.0980631017538447,0.00125144984856817,0.00675025560029711,0,0.00497992181464776,0,0,0,0.00137548523972858,0,0.0039614816095557,0,0.0211760121560316,0,0,0.0112662260447072,0.00471100861558565,0.00229557956188635,0,0.0966976594428897,0.021323271637938,0.000976825485017574,0.0413780357382878,0.000402931535263199,0.0230090486445261,0.257110867201205,0
"Glut-DACH2-2",0.0333633940982986,0.000768759629125431,0.00619975310461332,0,0.000440366801141256,0,0,0,0,0,0.00179358143126346,0,0.00217451420140419,0,0,0,0.00044437835864584,0.000744793873724462,0,0.0942404995238068,0.0562251291273905,0,0.19837153486634,0.000380187960740397,0.0372754600195883,0.120626078851145,0
"Glut-DACH2-3",0.0122244792766513,0.000935893957503461,0.0199263869812532,0,0.00279408484486361,0,0,0,0,0,0,0,0.00162168571656078,0.00578710864483022,0.0442901415958982,0.524423939881931,0.000446617018036076,0.00090390161649623,0,0,0,0.00199976562095756,0.000906353359049268,0.0786086852738044,0.000409133496796472,0.000768198006074521,0
"Glut-DACH2-4",0.0434942507094986,0,0.217010677803153,0.00701317463294134,0.00106022700242101,0,0,0,0.00149424257633225,0,0.00916123660111115,0,0.0359543800944315,0.00154061882572723,0.00861006710816748,0.0169332289767808,0.0685766554105572,0.0146958795061781,0,0,0.000911540947534685,0,0.0011065906771658,0.0567297163892982,0.000852155238266144,0.00755798254804765,0
"Glut-DACH2-5",0.0255581860893454,0.00108376537940051,0.00787302425368892,0,0,0,0,0.000410959605192576,0,0,0.00131993663719076,0,0.00327808595778224,0,0,0,0,0,0,0.0629736994337238,0.000434056959033971,0,0.217087119945142,0,0.224125695870851,0.0559108499129762,0
"Glut-DACH2-6",0.00239359805961188,0,0.0333162665438199,0.000491913962849108,0,0,0,0,0,0.000387801990467055,0.00100404067071393,0,0.000844158050018235,0,0.618414397044336,0,0.0209482811981309,0.00568091496775594,0.000473407127321842,0.000776446519142276,0,0.00136664114968803,0,0.0870360810987003,0.00197433919078773,0,0.000606154121230886
"Glut-DACH2-7",0.0868567803338986,0.000358348813209933,0.0184126244301019,0,0.000552279536014724,0,0,0,0,0,0,0,0.0177610670064075,0,0.00044707844568484,0.00179530271686033,0.010566424876071,0.00530198056709796,0,0.149467641935124,0,0.000270777512831602,0.00747269522676038,0.00502846933453776,0.0696716172609776,0.157994065494465,0
"Glut-DACH2-8",0.000810458366226927,0.00474694180146776,0.025387577704371,0,0,0.000471518761667293,0,0,0,0.000413219629203665,0.00106453883873853,0,0,0,0.0777048028384272,0.00108741861682021,0,0.0342998759855605,0.00324433591751323,0.00231393660063389,0,0.000638837324680681,0,0.563347815335661,0.00126273853236616,0,0.00231081693193459
"Glut-DACH2-HVCra",0.000840911511263906,0.00118592898083771,0.000380417009488233,0.00645051844413808,0.000818606103058218,0.320265891547692,0,0,0,0.000282249847573738,0.0245727774089747,0,0.035555992565093,0.0514790652290345,0,0,0.163591814837223,0.021272016034196,0,0.0185698719969135,0.00089955052803518,0,0.00233598236422431,0,0.000524797980916792,0.00476947704111845,0
"Glut-DACH2-HVCra-Pre",0.01854902372512,0.0067667292925538,0.0084649858745626,0.00262312952889865,0,0.00372792582449895,0,0,0.00103224935908426,0.00116667277036183,0.000384614328944726,0,0.00974960021034429,0.00800730068355275,0,0,0.0638313677395635,0.0584274715595945,0.000377165716649794,0.1610001941629,0.0492084437957294,0,0.0350951802223866,0,0.000709253564959726,0.111409610825225,0
