"","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_SATB2_OVOA","Ex_DACH2_ADAMTS5","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_KIAA1217_BCL6","Ex_DACH2_RORB","Ex_SATB2_SOX6","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_BCL6","Ex_DACH2_CEMIP","Ex_Pre_SATB2","Ex_CACNA1H_CPA6","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_Pre_KCNH7","Ex_DACH2_LHX2","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_SATB2_FOXP2","Ex_SATB2_ZNF385B","Ex_KIAA1217"
"Glut-CACNA1H-1",0.0117733076118507,0.760279797042936,0.000344583398926025,0.000252617607487681,0.000446388197777964,0.0226276663248063,0.000325075533696682,0.000247813303459632,0.000713736550851182,0.00161792780009865,0.000897162925434309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0470876666398319,0.506158695955404,0.00219570137615827,0,0.0244668959997739,0.0308162786684985,0.00196240611033854,0,0.000612631474111947,0,0.00354185842787005,0.000342129330952202,0.000677044742778585,0.000868286021674021,0.000854790496155322,0.000346014829133559,0.00731645041123209,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00388483884636895,0.697752780330885,0,0,0.000920382306092436,0.049175798459185,0.000446830193214371,0,0.00190719805938491,0,0.00661712175131378,0,0,0.000421053526230947,0,0,0,0.00178234435720014,0.000798439031172958,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.775797214376482,0.0127407490921956,0,0,0.00204665305243587,0,0,0,0.0075347724843567,0.00105888145266498,0,0,0,0,0,0,0,0,0.00104005900336508,0,0,0,0,0
"Glut-CACNA1H-RA",0.0102985460534339,0.674223560065188,0.000346166379100365,0,0.00153208795782231,0.00026044894450762,0,0,0,0.00674467898323557,0,0,0,0,0,0,0,0,0.000991590623963195,0,0.00051702565151622,0,0,0,0
"Glut-DACH2-1",0,0,0.0452481699929046,0.108610956930816,0,0.0659078961116596,0,0,0.00823218702649928,0.00689638095860307,0.0164319684508755,0,0.000806073996232688,0,0,0.0427744319124996,0,0.137852775233867,0.0030395461115499,0.0253552339846456,0.0050840791448548,0.00660307220240727,0,0,0
"Glut-DACH2-2",0.00123579183757276,0,0.000732535113870145,0.120522131287676,0,0.0140331262656098,0,0,0.013100921143936,0,0.0168190755473142,0,0,0,0,0.0649108462158735,0,0.121115884664563,0.00292599214670118,0.127387539059403,0.01439851125415,0,0,0,0
"Glut-DACH2-3",0,0,0.000785732069576743,0.000634842740870289,0,0.0102258171551835,0,0.000378569277149236,0,0.318414478922436,0.0122244537456877,0,0.0298498522377755,0,0,0,0.000965553491740727,0,0.00175499413714732,0,0,0.289105808378897,0,0,0
"Glut-DACH2-4",0,0.00150701143951688,0.00245112505754598,0.0373149522161394,0,0.0389035079850071,0,0.0331455402065026,0.0156489370757326,0.00236306331213798,0.0153552938674525,0.00231420783204393,0.0326665236331479,0,0,0,0.00227282767080944,0.00396625759216358,0.0125985909366815,0.00182784316556867,0,0.21418518058653,0.00475020696658599,0,0
"Glut-DACH2-5",0,0,0,0.304480277090706,0,0.00708365193902476,0,0,0.000770028755934259,0,0.0256513169900757,0,0,0,0,0.027863923547031,0,0.025751432826941,0,0.157713642099303,0,0,0,0,0
"Glut-DACH2-6",0,0,0,0.00839543034482476,0,0.000827736541521516,0,0,0.00802320854893837,0,0.000477856402121694,0,0.622321494522462,0,0,0,0,0,0,0,0,0.13381508921264,0,0,0
"Glut-DACH2-7",0,0,0.00138099088758938,0.21653210319441,0,0.0365466066863531,0,0,0.0273470566161959,0.00153348310125696,0.0442387595657718,0.00266757333262428,0.00444557230158256,0,0,0.04031450916477,0,0.0928766498651102,0,0.0054885348504801,0,0.0262219562419173,0,0,0
"Glut-DACH2-8",0,0,0,0.0335535984125509,0,0,0,0.00154270086318293,0.019550901314882,0,0,0,0.113672872150158,0,0,0.000909449233875612,0,0,0.000846307016439652,0,0,0.454904991862732,0,0,0
"Glut-DACH2-HVCra",0.00114540133743856,0,0.000926658002456656,0.0728092097073957,0,0.00123890589684812,0,0,0.286827086481022,0,0.00142684766637696,0.0829734791250765,0.000791101521614727,0,0,0.0146378275554037,0,0.00255084289231273,0.126590755990756,0.000722538196677311,0,0.000576459523503627,0.000573905782135048,0.0220238320514469,0
"Glut-DACH2-HVCra-Pre",0.0206169871581331,0.000725864974981225,0.00180254842389782,0.0285730566063232,0.00243472933279909,0.00940467772230403,0,0,0.149948091835102,0,0.0155693351104323,0.0103981704479172,0.000737491894833089,0,0,0.112394031565339,0,0.0685379756757826,0.0260457328192134,0.0365324693630108,0.0136909734442766,0.00313490342743424,0.000424525627919164,0,0
"Glut-DACH2-HVCx",0.00912207890626963,0.00124818509653619,0.000604064783730606,0.00799578698596916,0,0.00116874656991866,0,0,0.0382288000968681,0,0.338147737032368,0.00838667610482783,0.0835094677981357,0,0,0,0.00135532384880396,0,0.00882824896957153,0,0,0.00463388385938945,0.000611988469358452,0,0
"Glut-DACH2-LMANco",0,0,0,0.00417899767397139,0,0,0.000437370147622349,0,0.674251759124189,0,0,0.0250312990141399,0.0111108752092277,0,0,0,0,0,0.000856507188396158,0,0,0.0469102866011415,0,0,0.0196630773902479
"Glut-DACH2-LMANsh",0,0,0,0.0459492397029718,0,0.00145823599129322,0,0.00107127881900319,0.00900619407155167,0,0.0597349587332803,0.00287695178955778,0,0,0,0.0520182502037532,0,0.00526733732659781,0.000778203705824725,0.275387972419465,0,0.0844529276888242,0,0,0
