"","Ex_CACNA1H_LHX9","Ex_SATB2_OVOA","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_DACH2_ITGA9","Ex_Pre_SATB2","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_KIAA1217_BCL6","Ex_CACNA1H_PROX1","Ex_DACH2_SLIT2","Ex_Pre_KCNH7","Ex_CACNA1H_MCTP2","Ex_KIAA1217","Ex_DACH2_LUZP2","Ex_SATB2_FOXP2","Ex_SATB2_SOX6","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_BCL6","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_SATB2_ZNF385B","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.764361200742378,0.00230840226814479,0.0250326500042658,0.00358333625099151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.394393918293309,0.00553309742106533,0.035695383432587,0.0145000476610451,0.000385354709556317,0.0329691507030706,0.000686899898100307,0.0190115194887853,0.00117735830812965,0.000418007480741283,0.00560915195222493,0.000233731300454508,0.000330103590448653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.595891590900084,0.00839368118666662,0.0442473816432536,0.0127483857702898,0.000953864555335538,0,0,0.00231384706670794,0,0,0,0.00365871656867865,0,0.00163071061310026,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.63622308848334,0,0.00139282648241055,0,0,0,0,0,0,0,0.179144819645399,0,0.00143711063108847,0,0.00131857124898343,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.412312428919208,0.00270685271915381,0,0.147852245800625,0,0,0,0,0,0,0,0,0,0,0,0.00043549240674832,0.00037956049805435,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00318818930429935,0.103772549876446,0,0.00780147223022249,0.000679624238405501,0,0,0,0,0.00591286427478495,0.000529587182449866,0.000915222730005122,0,0.00378774161820517,0.00038208827972859,0.000366831767822262,0.0272869181943826,0.0738478555303509,0.369855401425077,0.0177193134474736,0.00135970112265529,0,0,0,0,0
"Glut-DACH2-2",0,0,0.026548607987929,0,0.00045970303400044,0,0,0,0,0,0,0,0,0,0.0558640068772049,0,0,0.0605705859442432,0.0917021174223014,0.114013390239733,0.105284366707239,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0.00780518221187185,0,0.00807538990038549,0,0,0,0,0,0.521102647841646,0,0.000627465136283538,0,0,0.000688497861679504,0,0.000652482015248317,0.000944568176036692,0.00509061424149798,0,0.0808141640005076,0.000657105822057961,0.0268478246117507,0.000842011082000107,0,0
"Glut-DACH2-4",0.00108873603181783,0.0215106919821147,0.0539461664019983,0,0.194995571165757,0,0,0,0.00131705720317014,0,0.0166054417167044,0,0,0,0,0.00851493470199831,0.0439383490198368,0.00601199686438464,0.00297737461938388,0.0171933743115811,0,0.0459974469370332,0,0.00956219876644507,0,0,0
"Glut-DACH2-5",0,0,0.0221711176902563,0,0.00163049414145569,0,0,0,0,0,0,0,0,0.000874209467442443,0,0,0,0.301532616284087,0.0883948905137174,0.0270556208436463,0.0804556453582381,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0.000659436553503165,0,0.0137352741271728,0,0,0,0,0,0,0,0,0,0,0.00262984739490523,0.0097682580947713,0.00211765783931792,0,0.000728203716596522,0,0.0736353171385281,0,0.624719961385209,0,0,0
"Glut-DACH2-7",0,0.00259741023084229,0.0803962856643121,0,0.00722892606087645,0,0,0,0,0,0,0,0,0,0,0.000966320651715892,0.00346063558003727,0.074344078394262,0.119714549102577,0.192514348662837,0.00112288788618299,0.00339399357119651,0,0.00204322320836753,0,0,0
"Glut-DACH2-8",0,0,0,0,0.00298036852508576,0,0,0,0,0,0.000560303831392991,0,0,0.00214352876868876,0,0.018532337688619,0.000945385020652503,0.00127904137719314,0.00227119355819606,0,0,0.596705995533687,0,0.0618733534305615,0,0,0
"Glut-DACH2-HVCra",0,0.00114172986421664,0.00045497259987656,0,0,0,0,0,0,0,0,0.00532249404082308,0,0,0.0012970012463859,0.0104177118377069,0.255905674838235,0,0.00545078188016114,0.00166051095950118,0.000631896032303381,0,0.0171105863654977,0,0,0.218253274342258,0
"Glut-DACH2-HVCra-Int",0,0.00450691598193126,0.0207844531651927,0,0.00283552421629134,0.000613303353410271,0,0,0.000341614351018106,0,0,0,0,0,0.0940876848089578,0.0360378788568262,0.0344697714869714,0.00155558024554782,0.10162335669479,0.0938683069996979,0.0201455516670566,0,0.0046525302469965,0,0,0.000402165860927494,0
"Glut-DACH2-HVCx",0,0.00335108731134547,0,0,0.00260207187820247,0,0,0,0.0019324685162786,0,0,0.238830497044065,0,0.00178321092380932,0,0.00525498784127732,0.101237107774994,0,0,0,0,0.00118595609340121,0,0.00376235110188712,0,0.0266564754216403,0
"Glut-DACH2-LMANco",0,0,0,0,0.000455208229425556,0,0,0,0,0,0,0,0,0,0,0.00186799426471351,0.593462368537805,0,0,0,0,0.0720978804492063,0,0.0320588228747921,0,0,0
"Glut-DACH2-LMANsh",0,0,0.0115014276749555,0,0.0742651441042417,0,0,0,0,0,0,0.000321236594672291,0,0,0,0.000765480616227627,0.000454886462139848,0.118536499843484,0.0333879432423047,0.00814020292425909,0.0983196306138967,0.014489235589844,0,0.00127099769886118,0,0,0.0136243251806692
