"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_SLIT2","Ex_SATB2_FOXP2","Ex_DACH2_ADAMTS5","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_DACH2_CEMIP","Ex_DACH2_GRIK4","Ex_DACH2_ITGA9","Ex_DACH2_LHX2","Ex_KIAA1217_BCL6","Ex_SATB2_SOX6","Ex_KIAA1217","Ex_SATB2_OVOA"
"Glut-CACNA1H-1",0.715830027805238,0.00341622261026283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.590977930920993,0.00525492642562652,0.000607966711591059,0.000204494968776767,0.000238100164995181,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.673334132079353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.610512662395808,0,0.0150422949339773,0,0,0.000917999910957382,0.00339426902005306,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.700188057850803,0,0,0,0,0,0,0.000276778532573082,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0678613465536696,0.000411555095911676,0.000360176298528624,0.0660490191025421,0.000356145192092282,0.267021007540419,0,0.00087803562389253,0.00143589291327319,0.035053284605086,0.000819385345447274,0,0,0,0,0
"Glut-DACH2-2",0,0.0118634343626779,0,0,0.183524791328628,0,0.0568091255412025,0,0,0,0.0965490418240933,0,0.000574254154259149,0,0,0,0
"Glut-DACH2-3",0,0.010278909690446,0.432180870936005,0,0.000848782550918604,0.000458915639708511,0.0128955257818727,0.000197693939577328,0.0481244977947423,0.0267352592168965,0,0.00634776715562194,0,0,0,0,0
"Glut-DACH2-4",0.00354870963627712,0.0353021476333545,0.00193329586704438,0.0562728126343744,0.00990263168191573,0,0.0527996292723673,0,0.0132833402195774,0.12453377202691,0,0.0120501850675531,0,0.0009389328178744,0.00195910358429361,0,0
"Glut-DACH2-5",0,0.00710667103950008,0,0,0.333818316638131,0,0.00253153115740765,0,0,0,0.0871064404121587,0,0,0,0,0.000398080209826351,0
"Glut-DACH2-6",0,0,0,0.00248032350685164,0.000846627839357363,0,0.000436795418572495,0,0.0300752502895956,0.573014035302315,0,0,0,0,0,0,0
"Glut-DACH2-7",0,0.0282155925660159,0,0.00347074571963457,0.249831310263972,0,0.031737685392298,0,0.00561062086160606,0.00710618363458001,0.0402280839456562,0.000246678854600972,0,0,0,0,0
"Glut-DACH2-8",0,0,0,0.00359006429732768,0.000863031175674966,0,0,0,0.452273599405044,0.0626356750999932,0.000360181186736823,0,0,0,0,0,0
"Glut-DACH2-HVCra",0,0.000259101895504733,0,0.0246134334698054,0.00958058032077708,0,0.00520153180202344,0.311661308769511,0,0.00120588458883336,0.0125438998622169,0,0,0,0.000628107691554799,0,0
"Glut-DACH2-HVCra-Pre",0.000260777987191581,0.0104932917226923,0,0.0294039668672574,0.0680847423531684,0,0.0781353238236245,0.00120159644608886,0,0,0.106828527076227,0,0,0,0.000299127226156406,0,0.000278682617099553
"Glut-DACH2-HVCx",0.0368108154466719,0,0,0.0576134848533685,0,0,0,0.0248046689294852,0,0.194970710201633,0,0,0,0,0,0,0
"Glut-DACH2-LMANco",0.00126088156818395,0,0,0.00260024655641348,0,0,0,0.0295453323505992,0.0939101561308125,0.288420881991915,0,0,0,0,0,0,0
"Glut-DACH2-LMANsh",0,0.00333097543080638,0,0.000287147576912857,0.204653814218049,0,0,0,0.0134196198118332,0.00122123689939486,0.143713804144985,0,0.000518036554117626,0,0,0,0
