"","Ex_CACNA1H_LHX9","Ex_DACH2_CEMIP","Ex_DACH2_NR4A3","Ex_DACH2_ADAMTS5","Ex_DACH2_ZMAT4","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_SATB2_SOX6"
"Glut-CACNA1H-1",0.598658593693971,0.00254751523441213,0.000771142139639974,0,0,0,0,0,0
"Glut-CACNA1H-2",0.59149451777375,0.0119139191628497,0.00200965346594496,0.000320338476932442,0.00060769691769173,0.000318513610020818,0,0,0
"Glut-CACNA1H-3",0.536374769980284,0.00463875903174465,0.000611907987510171,0,0,0.000421365135178813,0.00104385502552278,0,0
"Glut-CACNA1H-4",0.503392740208769,0,0,0.0234602203852846,0,0,0.015027853761086,0,0
"Glut-CACNA1H-RA",0.643649016214453,0.000247536269827543,0,0.000376310357491016,0,0,0,0,0
"Glut-DACH2-1",0.00051549071419176,0.000262489538458829,0.0337680403477196,0.206648238715369,0.00213981020911188,0.0155747810012134,0.0700829222374027,0.000597708687633389,0.000738060835739757
"Glut-DACH2-2",0,0,0.00451434621197628,0.11542961017562,0,0.11356079790041,0.0546980591089368,0.000279856704265301,0
"Glut-DACH2-3",0,0.0152124736473908,0.0097221157865965,0.057154518162162,0.257377230591234,0,0.000350286804058571,0,0
"Glut-DACH2-4",0,0.0654154037553295,0.0291304076874202,0.0746992599823914,0.142739157033711,0,0.00707075223933001,0,0
"Glut-DACH2-5",0,0,0.00177526316798976,0.223773559179657,0,0.0684998524047435,0.0142823726773413,0.000338980293967982,0
"Glut-DACH2-6",0,0.32375681363092,0.000332571772115858,0.000329627407762075,0.113200657575106,0,0,0,0
"Glut-DACH2-7",0,0.00554616274280185,0.0286493260268526,0.187315207665982,0.00952779649014273,0.0358382650743575,0.0356254050192366,0,0.00168261588775514
"Glut-DACH2-8",0,0.0661077254714606,0.0004055712797748,0,0.38966819023388,0.000403123602063426,0,0,0.00343067563974155
"Glut-DACH2-HVCra",0,0.00985730384288883,0.0024065335135168,0.0697018053691911,0.0381961326698485,0.0354521402966206,0.00486253090257072,0,0.144740595682453
"Glut-DACH2-HVCra-Pre",0,0.00152142268022551,0.00969046377948909,0.0549181587322002,0.000975832599577654,0.16896753380327,0.0251895455981378,0.00100733342661265,0.022008771700015
"Glut-DACH2-HVCx",0.0109517900535546,0.26997287187568,0,0.000630591119811894,0.0557986963994251,0,0.000461350729513803,0,0.0104434163828049
"Glut-DACH2-LMANco",0.00465529772332989,0.10700074943897,0,0,0.0731122048240739,0,0,0,0.163733476114673
"Glut-DACH2-LMANsh",0,0,0.000598781900786709,0.101711468529624,0.0188440087573144,0.142724973208408,0,0.0233415386685743,0.000647992845919615
