"","Ex_Pre_KCNH7","Ex_KIAA1217","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_SATB2_OVOA","Ex_CACNA1H_KIT","Ex_KIAA1217_BCL6","Ex_BCL6","Ex_DACH2_SLIT2","Ex_CACNA1H_CPA6","Ex_SATB2_SOX6","Ex_CACNA1H_MCTP2","Ex_CACNA1H_PROX1","Ex_Pre_SATB2","Ex_DACH2_ITGA9","Ex_DACH2_LHX2","Ex_SATB2_FOXP2","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_TAC1","Ex_DACH2_MGAT4C","Ex_DACH2_CEMIP","Ex_DACH2_RORB","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.00339136040271911,0.00133541851445749,0.0185378321179107,0.0368013992230447,0.746741891563349,0.00199703125789165,0.00107620411513199,0.00296920455191225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00773759609925348,0.00100996697409761,0.016349464310383,0.0424084393735306,0.307763904425745,0.015162172098202,0.0695805488911468,0.0037004028629337,0.00079760854839093,0.00154260937792295,0.00105625489469461,0.00137331688206701,0.00466013253661238,0.0176837296920848,0.0627109967676144,0.000341212219898325,0.000302904582586615,0.00248384967268291,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0293460265871172,0.00454003618225209,0.0134159520524813,0.0679349849704126,0.573922566461353,0.0202520676966226,0.00620874486315609,0.00178076752628874,0,0,0,0,0,0,0,0,0,0.0026980061146175,0.000398473030518003,0.000557458208813455,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00148186141259407,0,0.00204323190924152,0.0015589985608843,0.642043457367046,0,0.00812776858738514,0,0,0.121536577801224,0,0,0.00127311154607742,0.00146501471357133,0,0,0,0,0,0,0.00425771245313889,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.000545350843413747,0.0979498008692028,0.0695430591259456,0,0.338187590461072,0.00139224015275208,0.00270414100545624,0.00197435318245612,0.000636863032402281,0,0.000635370849788246,0,0,0,0.00453947705275446,0,0,0.00132902627595459,0,0,0.000342447141483148,0,0,0,0,0,0
"Glut-DACH2-1",0.00230182415427241,0.000614318813377502,0,0.103448700666814,0,0.0136768071958176,0,0.000452235273679183,0,0.0123207311018058,0,0.00380786294628323,0.00441428227139909,0,0.0010220459264957,0.0061580487087339,0.0442307350991323,0.000820529676014575,0.0904090606407873,0.000612758877544249,0.0179259328147841,0.0199107738192274,0.000655592080452192,0.288384468662637,0,0,0
"Glut-DACH2-2",0.000582360138159237,0,0,0.0344102728020892,0,0.000932691482241197,0,0,0,0,0,0,0,0,0,0.00565542714624596,0.213156879946815,0.000917442870432153,0.069829572468371,0,0.0625067648279135,0.0376173398393231,0,0.118318411993434,0,0,0
"Glut-DACH2-3",0,0.000554808410316006,0,0.012078892879579,0,0,0,0,0.00284879690523895,0.547162434055244,0,0,0.00319245278616117,0,0,0.0151902725813222,0.00120496591152036,0.00109553868635641,0.000449361796729604,0.0808604073192684,0.000442655822599762,0.000426744121400735,0.00115195119570853,0.000827572200110338,0.0424271189288032,0,0
"Glut-DACH2-4",0.00493412583177833,0,0,0.051291038529514,0,0.0274335622047238,0,0.00541384061509284,0,0.0125044922629386,0,0.0626162065149344,0,0,0.00170171525777427,0.246858745864225,0,0.00582379338513763,0.00200331270587379,0.0484888490022678,0,0.00178045677652564,0,0.00940235606504648,0.0120057825617045,0,0
"Glut-DACH2-5",0.000582570832505103,0.00108514703566147,0,0.0204180816713356,0,0.00107768717624293,0,0,0,0,0,0,0,0,0,0.00598160300862039,0.225300926778221,0,0.0559132401224886,0,0.000788788205272919,0.220429346029951,0,0.0573904958397058,0,0,0
"Glut-DACH2-6",0,0,0,0.00167259891125615,0,0.000280430324527048,0,0.00098027431024681,0,0,0,0.0178289562704365,0,0.000295462593576158,0,0.0305264023171945,0,0.00525274615446402,0.000412876937418981,0.0846711443519173,0,0.00219149367944772,0.000296763855745543,0,0.638412952545516,0,0
"Glut-DACH2-7",0,0,0,0.0857819041575484,0,0.0129395170244508,0,0,0,0.00113534610070918,0,0.00877464792825097,0,0,0,0.0112000029838279,0.00782406117976404,0.00436285108283032,0.134315860905522,0.0077275207764476,0,0.0626053765800537,0,0.190033988237011,0.00169116349486327,0,0
"Glut-DACH2-8",0.0016371796596721,0.00286032315510648,0,0,0,0,0,0,0,0.000643369806093468,0,0.000418959673627883,0,0.00116435112998781,0,0.0244530589297495,0.00052197417468539,0.032191651677714,0.00313410773174261,0.567551862950036,0,0.00209828853193103,0,0,0.0746199183510389,0.000796443177675717,0
