"","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_DACH2_GRIK4","Ex_DACH2_ITGA9","Ex_CACNA1H_MCTP2","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_DACH2_ZMAT4","Ex_Pre_SATB2","Ex_DACH2_MGAT4C","Ex_Pre_KCNH7","Ex_SATB2_SOX6","Ex_DACH2_LHX2","Ex_DACH2_SLIT2","Ex_DACH2_LUZP2","Ex_BCL6","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_SATB2_ZNF385B","Ex_KIAA1217"
"Glut-CACNA1H-1",0.00025991983608723,0.0108793975597615,0.805827262209889,0.026054021853962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0,0.00323088564009064,0.658400739662271,0.0349322488088662,0.00259853254529874,0.000229372702503826,0.000749396437467919,0.00247945164073085,0.000517299584194833,0.00100698677502201,0.000575638535775438,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0.00141251789538839,0.739672358838266,0.0562771204306726,0,0,0.000631098896677307,0,0,0,0,0.000627519382592088,0.000883223773626364,0.000841930712363609,0.00135627535540842,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.843624231739441,0.0016449279946675,0,0,0,0,0,0,0,0,0,0,0,0.00157967075799666,0.00424881153655138,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0.871421154919297,0.000796222047389055,0,0,0,0,0,0,0,0,0,0.000299717626846401,0,0,0,0.000449428590769128,0,0,0,0,0,0
"Glut-DACH2-1",0.0278300773627461,0,0,0.0683134359039223,0,0.038916850736205,0.014347133008962,0,0,0,0.00878439745398431,0,0.157067522974699,0.00166231243757024,0.00621369406128312,0.0225920395428932,0.00550959483313791,0.00358563392523033,0.000430364480389993,0.118815522598909,0,0,0,0
"Glut-DACH2-2",0,0.000398725112635822,0.000341411558758106,0.011105853079619,0,0.0611683873796052,0.0125164701233134,0,0,0,0,0,0.136897420133469,0.00206944371684435,0.0132967679739374,0.120953492723991,0,0.00956864093519296,0,0.123620784891386,0,0,0,0
"Glut-DACH2-3",0.000785527651608483,0,0,0.0129933983351641,0,0,0,0,0,0,0.299112314357755,0,0,0.000391822067855225,0,0,0.332297123406622,0,0,0.000793903537521907,0.0261778872262419,0,0,0
"Glut-DACH2-4",0.0021109531297468,0,0.00390241028135337,0.032865514969073,0,0,0.0195193147705829,0,0,0,0.311087448859262,0,0.00213312264632552,0.0194287019228672,0.011719914825627,0,0.00915233969863475,0,0.00129562876155767,0.0403488572117921,0.0202203654549243,0.00285416178361417,0,0
"Glut-DACH2-5",0,0,0,0.00410702547760953,0,0.0274141242830946,0.0194150667525932,0,0,0,0.000245851388325944,0,0.0360049904638307,0,0,0.148344867160334,0,0,0,0.309100520438975,0,0,0,0
"Glut-DACH2-6",0,0,0,0.000472406759224405,0,0,0.000840637585468454,0,0,0,0.139651889388306,0,0,0,0.00285836799101498,0,0,0,0,0.010274307423186,0.635296497741449,0,0,0
"Glut-DACH2-7",0.000373907069798518,0,0,0.0370313381866983,0,0.0331490383955346,0.045956288601476,0,0,0,0.0327107498088663,0,0.110694621531045,0,0.0210874468889809,0.00404870134814698,0.00143710671788635,0,0.00352659469745202,0.209319345013261,0.00456792616483746,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0.000749537401629017,0,0,0,0.466303993534549,0,0,0,0.0191480022789481,0,0,0,0,0.00573937331430723,0.124276748280768,0,0,0
"Glut-DACH2-HVCra",0.000351773988480572,0.00086540731242522,0,0.000824562617776861,0,0.013733181855934,0.000275651155155403,0,0,0,0.00141676043510292,0,0.00337442527410288,0.110058034958482,0.304249719044989,0.00109038878426202,0,0,0.0825667809581946,0.0540813149044715,0.000413014384503999,0,0.0120481742700225,0
"Glut-DACH2-HVCra-Int",0.000525470658245436,0.0180841006296248,0.000668915753636301,0.00933746194802656,0.000649520694253992,0.124387459010524,0.0100322626897955,0,0,0,0.00272286333272102,0,0.0820128473013657,0.0254503209452589,0.135861962928183,0.0216935556896141,0,0.002558682644567,0.0108576241115627,0.0466315070341977,0.00106030938056102,0,0,0
"Glut-DACH2-HVCx",0,0.00324159582157017,0.00823863447564277,0,0,0,0.356542649220151,0,0,0,0.0089162118557038,0,0,0.013130832866475,0.0318243108863456,0,0,0,0.00408956814040615,0.00452409148581425,0.113176234966316,0,0,0
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0.0548422899228027,0,0,0,0.69536786528446,0,0,0,0.0350176079982605,0.0009295786279156,0.0134486116763846,0,0,0.00148227506038272
"Glut-DACH2-LMANsh",0,0,0,0,0,0.0541841333876406,0.0711406264102692,0,0,0,0.0926254417124052,0,0.00425996381131345,0.000465420869163317,0.00627019612561595,0.246635699661444,0,0,0.00260002898597448,0.0390652459876942,0,0,0,0
