"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_CACNA1H_PROX1","Ex_CACNA1H_KIT","Ex_Pre_SATB2","Ex_DACH2_ADAMTS5","Ex_DACH2_ITGA9","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_SATB2_SOX6","Ex_DACH2_MGAT4C","Ex_DACH2_LUZP2","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_KIAA1217","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_Pre_KCNH7","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.76487801661167,0.00529306951891198,0.000840211284450988,0.00103777167641154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.493021836852333,0.0115347963473433,0.000738515433028034,0.0072175932515062,0.000716038118404216,0.000394827998295128,0.00152148272335648,0.000225475179726401,0.000443838134562266,0.00352867361830748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.641661054785678,0.00637298263755336,0.00135259513433052,0.00589285102950085,0,0,0,0,0.00113824347885745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.61067808784284,0,0,0,0,0,0,0,0,0.156974573643346,0.00101280926542254,0.00140934243045833,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.663499826127904,0,0.00131767321693482,0.00084657243625825,0,0,0,0,0,0,0,0,0.000297370492209687,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0848110791290065,0.00218832384193318,0,0,0,0,0.032742473147515,0.00412614807248704,0.0062168130928326,0.0572452672592985,0.000565367556684909,0,0.412944063239714,0.000861064348190723,0.000513991447179215,0.00051399933143263,0.00244200371592357,0.000502089459333915,0,0,0,0,0,0
"Glut-DACH2-2",0,0.0165001727151647,0,0,0,0,0,0.0788966126632476,0,0,0.128689880681827,0,0,0.18948969102821,0.000630691232202657,0,0,0.0358421427655291,0,0,0,0,0,0,0
"Glut-DACH2-3",0,0.0131286097191111,0,0,0,0,0,0.000972953119388493,0.00934671223205858,0.478603318484023,0,0,0,0.0095336145434751,0,0.0263715131267702,0,0,0.0805539900099565,0.000529048664906713,0,0,0,0,0
"Glut-DACH2-4",0.00117120122631358,0.0538594654039804,0.012922797475165,0,0,0,0,0.0044351536464681,0.148579116701062,0.0209528089218232,0.00177086798721428,0,0.0355744749172,0.0295901240087883,0,0.0153649499579107,0.00961177995155281,0,0.0215572201696472,0,0,0,0,0,0
"Glut-DACH2-5",0,0.0144907088740675,0,0,0,0,0,0.314759619041242,0,0,0.126222481632395,0,0,0.0342543022876134,0,0,0,0.0137718458238304,0,0,0.000713303654131692,0,0,0,0
"Glut-DACH2-6",0,0.000765870090579145,0,0,0,0,0,0.00191781169250646,0.00972598780351273,0,0,0,0.00114570698150534,0.000744956017731367,0,0.610220740630089,0.00376192683194971,0,0.0522718000231149,0,0,0,0,0,0
"Glut-DACH2-7",0,0.0636558819855982,0.00154400358509591,0,0,0,0,0.0645010955128535,0.00678232845781653,0.000772546574804956,0.0941303520623647,0,0.00219020525305527,0.205216515468955,0,0.0041383700850535,0.00173334932663378,0.00127365220714742,0.00273907260609217,0,0,0,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0.000591009839981829,0.000857829566273294,0,0.00100316694005796,0,0,0,0,0.0243160924240497,0.01269022287665,0,0.63098470581847,0,0.00132125613192503,0,0,0,0
"Glut-DACH2-HVCra",0,0,0.000279987368581399,0,0,0,0,0.000240281328981288,0,0,0.0113521339038225,0,0.204639641045448,0.0043126160047268,0,0,0.0110521129729577,0,0,0,0,0.00128770610350223,0.223311796729893,0,0
"Glut-DACH2-HVCra-Int",0,0.0192577606030766,0.00329019185901334,0,0,0,0.000546906482567141,0.00823054211815869,0.00161923363560188,0,0.140008892433715,0,0.0325922134095531,0.146785730616958,0,0,0.0439060177552142,0.00887961544396872,0,0,0,0.000392481159504086,0.000441344003543491,0,0
"Glut-DACH2-HVCx",0.00122367629358527,0,0,0,0,0,0,0,0.00326150887900605,0,0,0,0.117683971565344,0,0,0.0224646233108409,0.00717136488288559,0,0.00136861229567949,0,0.00130678712410389,0,0.0282277708098562,0.136302532320154,0
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0.000354626070287042,0,0.000339557126207779,0,0.314434494847196,0,0,0.0348145209928129,0.00195082822983031,0,0.141441944974704,0,0,0,0,0,0
"Glut-DACH2-LMANsh",0,0.010312725609748,0,0,0,0,0,0.151697439568526,0.00449568701028721,0,0.195142849043507,0,0.000302364981593797,0.0023626460105621,0,0.000571747961278403,0.000695545033457338,0.00760716739322806,0.017867775510998,0,0,0,0,0,0.00940218559376199
