"","Glut-CACNA1H-1","Glut-DACH2-LMANco","Glut-DACH2-2","Glut-CACNA1H-3","Glut-DACH2-4","Glut-CACNA1H-RA","Glut-DACH2-7","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh"
"Ex_BCL6",0.000514089300850145,0.00254259746597378,0.00389568116139892,0.0027217959372215,0.00607071616268697,0.00156125710211557,0.000594827478924347,0.000893740894247294,0.0527217919645718,0.251524407285065,0.046167629913128,0.0885306818927495,0.0306187845235989,0.158184268759321,0.00421505069943829,0.000576566815991731,0.00268499571953244,0
"Ex_CACNA1H_CPA6",0.015949206959611,0,0,0.00165625238457436,0,0.0047872608979873,0,0,0.80058886100515,0,0,0,0.00230963817600246,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00827356824853771,0,0.00471195568368281,0,0,0,0,0,0.63077754137627,0,0,0.00315079531697878,0.146436169842724,0,0,0,0.003772488496531,0.000722357923828835
"Ex_CACNA1H_LHX9",0.0548516718414832,0.000589188234594313,0.00360648021196429,0,0,0.00252728197881806,0,0,0.19635313115754,0,0,0.00207115975917502,0.527250180851456,0,0.000832892704855656,0,0.00195085430037831,0
"Ex_CACNA1H_MCTP2",0.00272840445669816,0.00141055317274279,0.0951261085198467,0.000720864825564429,0.000673087383993928,0,0.0135753241505189,0.00121197194956586,0.200817684916524,0.0273195676224493,0,0.0223670409369324,0.107018559561948,0.00104456059801716,0.0369472829774415,0.00827270542907696,0.00255332371303767,0.0299969726393752
"Ex_CACNA1H_PROX1",0,0.0173632728038373,0.0441530618887857,0.000343910142651253,0,0.000747594322463097,0,0.00442253316922156,0.580881802581747,0.00367650378730184,0,0,0.0701891945403183,0.00168639266697628,0.00564021523960317,0.00445076881710539,0.00104710083054876,0.00243039136713794
"Ex_DACH2_ADAMTS5",0.000870511304546147,0.00068111410297546,0.0699202338843874,0,0.000759348051805263,0,0.181322931288958,0.288376535120391,0,0.00316793632602272,0.0195665166135298,0.00053625276369049,0,0.00156143349385901,0.0168572453882849,0.0122362242833185,0,0.00319863579174677
"Ex_DACH2_CEMIP",0.00107881998354634,0.00297400633748201,0.00134399893397789,0,0.00544875845370353,0,0.00288362908078302,0,0.00329685997363773,0.119928820175272,0.619337423484032,0.00465428359926729,0,0,0.000602449361994011,0.0382376292780645,0,0
"Ex_DACH2_GRIK4",0.0016223607680385,0.00062793332087272,0.13154215968558,0.00109734781494766,0,0,0.162487483670501,0.0303015306905964,0.00268210401657789,0,0.000475385672659116,0.00169158341713864,0.00785206638720427,0.00249436400448872,0.257229387189331,0,0.00773464656791598,0.00463715013315213
"Ex_DACH2_ITGA9",0.0181310952738042,0.000969681956895802,0.0367040395719142,0.000418996961279555,0.0734280623316502,0.00163876712330147,0.0525671440010294,0.00247742482986739,0.00448391116279527,0.111375001078387,0.034902130001947,0.00689750501497174,0.000311026510014389,0.000708172714130357,0.0566758391266246,0.14902827306387,0.00268446114680829,0.0241868263390557
"Ex_DACH2_LHX2",0.000568604731340341,0.000345916209602594,0.336562493099762,0,0,0,0.00814572526929882,0.0757421702661204,0.00957804977849246,0.00793970130232313,0.00106854026484973,0.00247872862116914,0.00345176037219583,0.00060752274926539,0.137826532826038,0,0.000660879701954345,0.00410359023785363
"Ex_DACH2_LUZP2",0.000782324942719963,0.000297258944856318,0.230708445361969,0,0.000526549786202268,0,0.000696074245576895,0.0010455731772863,0.00664470822789042,0.0170979470114772,0,0.0019857504484431,0.041097297557789,0.000412897881404257,0.21074842382878,0.000691927530301124,0.0815782446655447,0
"Ex_DACH2_MGAT4C",0.000682615783276347,0,0.176248009250116,0,0.000730138484173347,0,0.094428654315962,0.0584828157164053,0.000776351662012021,0.000820306641980139,0.00344529236017085,0.000872527843772567,0.00301872411483144,0.0048587634920003,0.265815353811036,0,0.0239709057143344,0
