"","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-1","Glut-DACH2-4","Glut-CACNA1H-2","Glut-DACH2-2","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-7","Glut-DACH2-HVCra-Pre","Glut-DACH2-5","Glut-DACH2-HVCra","Glut-CACNA1H-3","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-RA"
"Ex_BCL6",0.00763157179085188,0.0129068595290722,0.0372551207636836,0.029249561410615,0.0059336452773531,0.0608983133365732,0.00186946045814217,0.466043323014036,0.00231558565543894,0.00118592997991115,0.000842668981254239,0.00107296863923635,0.0728488435223288,0.000754410610706402,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0.957909057682352,0,0,0,0,0,0,0.00206433893073231,0,0.00180572568019637,0,0,0
"Ex_CACNA1H_KIT",0,0.000640766410155664,0.0298976771613794,0,0.000709558892329179,0.826506613770088,0.0113072151878496,0.00113823423049583,0,0,0.000934066981685698,0,0.000954447903428826,0,0.00897578723485941,0,0,0
"Ex_CACNA1H_LHX9",0,0,0.412846167766121,0,0,0.290894783922578,0,0,0,0,0.00286963536225951,0,0.00212921753040051,0,0.0749764511632721,0,0,0
"Ex_CACNA1H_MCTP2",0.00183574835900021,0,0.0612574492431408,0.0799074061463718,0.000680915061376553,0.306925558160419,0.151157901341796,0.00740581742401254,0.000722345847884521,0,0,0,0.0383477036671277,0,0.00180613060758825,0.0158753755083444,0,0
"Ex_CACNA1H_PROX1",0,0,0.0276252009407551,0.00540110055568942,0.000468274505683892,0.791969340673265,0.0170714004412165,0,0,0.000963457992996579,0.00179446406553609,0.000399994305687509,0.0233331530597603,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.00994747430108446,0,0,0.0672150437532674,0.00297570332359961,0.0192038385620719,0.0975578449336772,0.0414181521705264,0.00846908581006747,0.0610127084565582,0.000254082405925646,0.175565097476403,0.0379510098593905,0.000569583565012135,0.00038585539708362,0,0.000307061920893027,0
"Ex_DACH2_CEMIP",0.155547415735543,0.000434729227973808,0.00345372889055787,0.00926635932570868,0.0067180595945409,0.00145315251490507,0,0.447789408266958,0.0264948365475984,0.00051681402891475,0,0,0,0,0,0,0.0134372238447228,0
"Ex_DACH2_GRIK4",0.000684317859939521,0,0.00547778255548218,0.394214463779462,0.000575499591348523,0.00440925595528264,0.152156003174374,0.00092051767250132,0.000488519066787966,0.0863197646409388,0,0.00929856860283851,0.00219681773235208,0,0,0.000512974646548399,0.000295985566802277,0
"Ex_DACH2_ITGA9",0.0245447392365745,0,0.00212171652223054,0.128075984371801,0.0748576147976586,0.002992163839923,0.0588411158192629,0.188150544604556,0.111180209234022,0.0165068672895621,0.000709558429243014,0.00198550958599138,0.00209564002807146,0.000481492187404891,0.00266140000497949,0.00159014262092243,0.000359152086425737,0
"Ex_DACH2_LHX2",0,0,0.00479418190663398,0.264636452529627,0,0.102469354743992,0.192835961331375,0.016017594800992,0,0.00312684868335607,0.0111554416897271,0.00737154612128189,0.015882969938922,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0,0.0334998857509234,0.361368110351456,0,0.236884877395481,0.024150201995288,0.0313775751093301,0,0.000595118332084128,0.00534325643033838,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.00301196278051859,0,0.00165917848179889,0.445702231594716,0.00169674338109045,0.0390837369382986,0.108665026975918,0.00418597039488026,0.000831430757881233,0.0364456236619395,0.000279263511666544,0.00539382378645857,0.0178192551102638,0,0,0,0,0
