"","Glut-DACH2-6","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-7","Glut-CACNA1H-RA","Glut-DACH2-3","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCra","Glut-DACH2-8","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-LMANsh"
"Ex_BCL6",0.196659734977897,0.0137606471984872,0.00206713211150098,0.000603866866799946,0.000420983757996404,0.00243090503914414,0.170066025985625,0.000422169585037246,0.0124334536714129,0.00949439525531652,0.0140663493079289,0.0437329896455225,0.000962438327009711,0.0788909750195761,0.0008566364701624,0,0,0
"Ex_CACNA1H_CPA6",0.00250251263548248,0,0,0,0,0,0,0,0.763946588868253,0,0,0.0362197983702065,0,0.0013059379663347,0,0.00591100336523862,0,0
"Ex_CACNA1H_KIT",0,0.000729112854610097,0.00588675024855096,0,0,0,0,0,0.60622791019313,0,0.00103918719291919,0.0889506499270781,0,0,0,0.00280614438005214,0.0020025073358199,0
"Ex_CACNA1H_LHX9",0.000884363430804081,0,0.00376365388674238,0,0,0,0.00332828350764482,0,0.13607814538464,0.00291296356367359,0.00181273776758107,0.565222127376481,0,0,0,0.0667216985826155,0,0
"Ex_CACNA1H_MCTP2",0.000734401362053423,0.00302479726514246,0.140700869174504,0,0.00111801342274284,0,0.0469794048103078,0.000466915653056343,0.130831311787464,0.0165180696707903,0.00300677864703158,0.105533378888637,0,0,0.00377846007015894,0.00227716759732429,0,0.0365460712236899
"Ex_CACNA1H_PROX1",0,0,0.0701696129807294,0,0.000449148760121992,0,0.00308054122505409,0,0.40906199899908,0.00805479043947896,0,0.174219098970406,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.0129808507243956,0,0.0328143113906756,0,0.14350664754811,0,0.00154250397569664,0.279246423216265,0,0.0392016162733134,0,0,0.00028898289735093,0.000855372872839428,0.0079264177765239,0,0,0.000382206426317177
"Ex_DACH2_CEMIP",0.585405018741631,0.00168958424405188,0,0,0.000938487508588071,0,0.114092399748219,0,0,0.00622026617926351,0.00021795208620331,0,0,0,0.0337888511357125,0,0,0
"Ex_DACH2_GRIK4",0.00104664248766271,0,0.146781224758807,0,0.130448903411021,0,0,0.0125529577146445,0.000931888754893694,0.26481275713182,0.00219166817128904,0.00674512120119562,0.000612504065112205,0.000913135295336886,0,0,0.000425666246469133,0
"Ex_DACH2_ITGA9",0.0213791205738497,0.0502494051669705,0.0307161780169284,0.000494615993547295,0.0417467289147039,0.000245169583557023,0.102913018884515,0.000426894362322386,0.00209936430997348,0.0752257091693068,0.00325840899538152,0.000476467409117656,0.000716834397584664,0.0031154906266068,0.139279126504184,0.000991375184787923,0,0.0271968461019397
"Ex_DACH2_LHX2",0.00037828779467552,0,0.373994604423778,0,0.00326938806710242,0.000297416607404624,0.00484638518507863,0.0134828071472796,0.00136751227651485,0.182251213736587,0.000407192813796977,0.00157309642600528,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0,0.22832246891601,0,0,0,0.0103177326429707,0,0.00238445254428805,0.255072971112846,0.00107100144520136,0.0573940845352141,0.00156770592665347,0.000691646415127656,0,0,0,0
"Ex_DACH2_MGAT4C",0.000512138210981617,0.00101456549492005,0.127988618914942,0,0.0597494812574319,0,0.000328133129485921,0.0171592968276356,0,0.377050516377989,0.000288701710016308,0.0021260081527971,0.00086913083988402,0.00350156274648376,0.000414917894773579,0,0,0.000273646640152719
"Ex_DACH2_NR4A3",0.00144267315447733,0.000719917642393243,0.013133747907915,0,0.145849346479759,0,0,0.0326111071837977,0,0.381974715823667,0,0.00169582502109966,0.000868914048342288,0.00173387480285185,0.000392135279202579,0,0,0
"Ex_DACH2_RORB",0.00179337205661719,0,0.00079388068376001,0,0.000817108554661144,0,0.624554743199933,0.00254694573656754,0.00245136112357613,0.00118313850848369,0.000401264691916481,0,0,0.0047068467783226,0.00641104197193496,0,0.00150639975010795,0.0038961454158086
"Ex_DACH2_SLIT2",0.0128030775955306,0.0110807163724242,0.00961736635278474,0,0,0,0.522622964204867,0,0,0.088854368532277,0,0.0960393717258825,0,0.000927015768360745,0.00118412268250266,0,0,0
"Ex_DACH2_TAC1",0.0229412777039603,0.00163160482307427,0.000712568168666056,0.000485424296314438,0.00650592894667541,0,0.228734362599025,0,0.0013356652280038,0.00199372935909787,0.000262213932408976,0,0,0.0023716535082721,0.286291906524298,0,0,0.00200480689685722
