"","Glut-CACNA1H-4","Glut-CACNA1H-3","Glut-DACH2-3","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-6","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-CACNA1H-RA","Glut-DACH2-LMANco"
"Ex_BCL6",0.0368131313479248,0.000317321533890904,0.464652704498544,0.053365784806858,0.00053200472002346,0.0437303520155473,0.0084943150090384,0.000531253885806026,0.0426040501564817,0.00228752170678242,0.00288582475841613,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00117572238252765,0,0,0.937912910030376,0,0,0,0,0.0014254248682947,0,0,0.00307558988546639,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0280180940111183,0,0,0.783071801403732,0,0,0.000430328265994884,0.000602971984330055,0.00226102018143632,0.025131585696472,0,0.00893853412931603,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.267662806234057,0,0.00112888034278898,0.381638480227665,0,0,0,0,0.000636432152246735,0,0,0.0623302575353352,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.057835641768574,0,0.00286655009409243,0.299342245519486,0.000699885497146951,0,0,0.000618727905288598,0.0705011044171386,0.211979518698638,0,0,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.0110795388489355,0,0.00362978044251466,0.82151917585934,0,0,0,0.00038977531387493,0.00736135431798573,0.0274577107642355,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0.0349234572997218,0.0137990869571257,0.0113736465618065,0.00391094934524309,0.000581487453297602,0,0.259103468533143,0.0082579972152584,0.000973730864937195,0,0.104188687014508,0.00939242426464413,0,0,0
"Ex_DACH2_CEMIP",0.00132461612676843,0,0.566968539263482,0.0011973552199091,0.0448532788000977,0.000979764655015922,0.000323415144649143,0,0.028034923495926,0,0.00791879451895715,0,0,0,0,0,0
"Ex_DACH2_GRIK4",0.0062873042310915,0,0.00107491784286715,0.00416718437241835,0.000549000609546819,0,0,0,0.499363901265797,0.125309695726267,0,0,0.00514513567495451,0.0259147171495834,0,0,0
"Ex_DACH2_ITGA9",0.00129702213398024,0,0.217548057951912,0,0.0874008094133004,0.001519025233859,0.0296438888976664,0.000278517798161677,0.161737156362939,0.074421847471408,0.00204090602696359,0.0015484301177667,0,0.000276772507892948,0,0,0
