"","Glut-DACH2-HVCra","Glut-DACH2-4","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-2","Glut-CACNA1H-4","Glut-DACH2-1","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-5","Glut-DACH2-8","Glut-DACH2-7","Glut-DACH2-LMANsh","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCx"
"Ex_BCL6",0.0158328925698411,0.000808007929767844,0.163465127199633,0.000378589414920996,0.248662780139665,0.000363817809042901,0.00229262359269384,0.0377669565961494,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0.00167653111406297,0.518481195438002,0,0,0,0,0.0292918745439209,0.000673854772588018,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0.00302719682666774,0.203233353442645,0,0.00103532151706486,0.193075070723778,0.00552632778342995,0.0104956027902692,0.00208426323660179,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0,0.00807383229631905,0.0781281508401145,0.0136318104628474,0,0.276468289184679,0.0291995353201054,0.0626821558063554,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0,0,0.0110683615927674,0.0422956669521612,0.0488371844295628,0.0693551407579949,0.0776055785985683,0.0450798304609323,0.000600049346461973,0,0.0133889026027825,0.00427603597951018,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.00390150460249699,0.220268945618116,0.0214910719371676,0.0118277525444141,0.0835761727775066,0.0747659017714454,0,0,0.00130138989118002,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.000388374990922025,0,0.00462505265494874,0,0.00108896997709401,0.00781512872798103,0,0.280915308725221,0,0,0.0413942379766664,0.0151184514348559,0.0199799938290263,0,0,0
"Ex_DACH2_CEMIP",0,0,0.292467129197267,0,0.146397770987466,0,0,0.00886959867283713,0,0,0,0.0451882395813052,0.000557174736282775,0,0,0
"Ex_DACH2_GRIK4",0,0,0.00305424430914733,0,0.000473714863790035,0.0700013759007228,0.0018683940747358,0.448449205391344,0,0,0.00383920652121597,0,0.00555630637239612,0,0,0
"Ex_DACH2_ITGA9",0,0.000852831536141645,0.0150930084765584,0,0.13841844929053,0.0181014353598356,0,0.165744573579569,0.00100046754625422,0,0.00382772321787021,0.0820808759649948,0.00944467244819526,0.000508768091504395,0,0
