"","Glut-DACH2-HVCra","Glut-DACH2-3","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-1","Glut-CACNA1H-1","Glut-DACH2-6"
"Ex_BCL6",0.0186547282616981,0.394869956157487,0.000395381401343344,0.00144938152534131,0.00316366863906351,0.0240502595566304,0.0175400645080626,0.0118909212334232,0,0
"Ex_CACNA1H_CPA6",0.000989308150154691,0,0,0,0.00264219844182552,0.595589822306494,0,0,0,0
"Ex_CACNA1H_KIT",0,0.000540783834753365,0,0.0270816356500872,0.000882316496959359,0.502615510715635,0.0226188286967075,0.000662279665633101,0,0
"Ex_CACNA1H_LHX9",0,0.0189553687442462,0,0.00208548325223773,0.000497456244810631,0.352737786214698,0.0409435787525993,0.00372220947999684,0.0239583173785137,0
"Ex_CACNA1H_MCTP2",0,0.0174382928697717,0,0.191933577420616,0.00185850794208399,0.182104457264289,0.0305561319154848,0.011357531453809,0,0
"Ex_CACNA1H_PROX1",0,0.00360193449904533,0,0.029454066840749,0,0.535842396853004,0.00385797660423021,0.00312634621951486,0,0
"Ex_DACH2_ADAMTS5",0.00106956101711595,0.232710203213796,0,0.00448072802674178,0,0.0301734106554724,0,0.055990154716587,0,0
"Ex_DACH2_CEMIP",0,0.608355713039381,0,0,0,0.000699611180922826,0,0.00190307701357743,0,0
"Ex_DACH2_GRIK4",0,0.0471807730549334,0,0.155399131262254,0,0.00460152873749194,0.00167218651981962,0.162210429497454,0,0
"Ex_DACH2_ITGA9",0.00182844545217378,0.34861126592535,0.000508953721091001,0.0631890759209748,0.000464916476849872,0.000701563084076571,0,0.0412972134444021,0,0
"Ex_DACH2_LHX2",0.000843573514065256,0.0334307690064094,0,0.169627213888739,0,0.0574218644517785,0.00035266911883255,0.120259326700728,0,0
"Ex_DACH2_LUZP2",0,0.0687004599278566,0,0.00597744559905317,0.00130846313848423,0.135120514263971,0.00278145930630589,0.164966241992534,0,0
"Ex_DACH2_MGAT4C",0.00541066204394814,0.0486993294632851,0,0.0252969279948322,0.000214833636430281,0.0370571202009905,0,0.217143170000727,0,0.000232732745676899
"Ex_DACH2_NR4A3",0.00478115587797666,0.0734917038016024,0,0.0147790389504978,0,0.0129188688700796,0,0.280800748903981,0,0.000793843620903821
"Ex_DACH2_RORB",0.00204596127875247,0.588543320364997,0,0,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0,0.520595947933969,0,0.00586865115075594,0,0.00903154733561907,0.0218516206072235,0.0532690249205887,0,0
"Ex_DACH2_TAC1",0.00325278416931964,0.599074753516807,0,0,0,0.00218081127125812,0,0,0,0
"Ex_DACH2_ZMAT4",0.000539165858891153,0.598309809598715,0,0.00101003931200968,0,0,0,0.00108478134825359,0,0
"Ex_KIAA1217",0.130939221199504,0.156794470930437,0,0,0.0127435071861413,0.00518041715931126,0.0168927419993473,0,0,0
"Ex_KIAA1217_BCL6",0.270521123392637,0.0369056364823224,0,0.00118350706983258,0.0114991552612464,0.0219673738910727,0.0221065209471326,0,0,0
"Ex_Pre_KCNH7",0.00245846627428966,0.292904277842578,0,0.000469526892742455,0.01235607361517,0.00481032986226262,0.00112605249814812,0.0113275705697248,0,0
"Ex_Pre_SATB2",0.0101016876186535,0.224369486676595,0,0.0245264312883385,0.0169944898255131,0.0245103563116791,0.00288544854757567,0.00506369071847764,0,0
"Ex_SATB2_FOXP2",0.19625765376272,0.0876386514255904,0,0,0.015544700720839,0.0137151223919514,0.000619462732402879,0.00127368640676104,0,0
"Ex_SATB2_OVOA",0.0454218652293542,0.0669989090458379,0.000185035540754932,0,0.000426653471357926,0.1389570505328,0.00068763517619657,0.0680177773847175,0,0
"Ex_SATB2_SOX6",0.228822502590588,0.0814873833210342,0.000339299221656689,0,0.00391064898527271,0.0276267673000105,0.000785189813236797,0.00505088923998443,0,0
"Ex_SATB2_ZNF385B",0.338300155860984,0.0210706872346832,0,0,0.00228488929912769,0.0350289241751697,0,0.000747096420984485,0,0
"Ex_TSHZ2_NR4A2",0,0.00553835726278145,0,0.253135182623655,0.0223976325658102,0.0384622023672367,0,0,0.0202524856621618,0
