"","Glut-CACNA1H-1","Glut-DACH2-3","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-8","Glut-DACH2-1","Glut-DACH2-6","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-DACH2-LMANco","Glut-DACH2-2","Glut-DACH2-4","Glut-CACNA1H-RA","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-7"
"Ex_BCL6",0.0006688365941598,0.265802531602118,0.00208334777910225,0.0526975434015184,0.00143143136292266,0.00396242453708931,0.0949881015625316,0.121344642559535,0.0374736084568328,0.0025829332869235,0.0427172241004536,0.00145226953928893,0.00200167704438344,0.00516295223866868,0,0,0,0
"Ex_CACNA1H_CPA6",0.0077360805022161,0,0,0,0,0,0.002658843456072,0,0.852426504284651,0,0.00866689531238809,0,0,0,0.00505326462452436,0,0,0
"Ex_CACNA1H_KIT",0.0124409935773041,0,0,0.00151927618826673,0,0,0,0,0.650630663000685,0,0.113073869906777,0,0.00996935854248502,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0574564185987786,0.00539752728951969,0,0.00475840429411068,0,0,0,0,0.195611582392039,0.000771869124513591,0.531822805918468,0,0.00421289718434083,0,0.000958354781715831,0,0,0
"Ex_CACNA1H_MCTP2",0.00275791971680999,0.0335775045771242,0.000722883874208518,0.0129044691320856,0.00481869028658364,0.0291766550664193,0,0,0.186327699876201,0,0.087690133185024,0.00051419478556919,0.122303316404279,0.000726972501886762,0,0.023882305769043,0.00479217346100862,0.00434742342005857
"Ex_CACNA1H_PROX1",0,0.00543094094353455,0,0,0.00117748873975914,0.00992873805104822,0.0022697299334287,0,0.599151119900126,0,0.0696930671544883,0.00227793676836307,0.0535687569276456,0,0.000625821180637256,0,0.00290913547371632,0
"Ex_DACH2_ADAMTS5",0,0.00300518764004518,0,0,0.0117175635062257,0.023048303980328,0.0168177724190301,0.000885443306624343,0.00026738119434906,0,0,0,0.0604798123306459,0.000442748333290896,0,0.0015189127514135,0.319606748614275,0.164703265652712
"Ex_DACH2_CEMIP",0.00100005906646548,0.11431499652433,0,0.00293317557991699,0.0324818949464876,0.00146760757865295,0.634720969443326,0,0.00118910703296771,0,0,0.00215270437085865,0.000796126088806542,0.00434972731016648,0,0,0,0.00212474778592391
"Ex_DACH2_GRIK4",0.000826119441331135,0,0.000388648014973887,0.00216787933963407,0.00159920213447002,0.282288795106979,0.00122758840990152,0.000776358409700093,0.00226966926434435,0.00501806708209407,0.00638347483056289,0.000518900807926148,0.128699856019925,0,0,0.00148969786713739,0.0328338491790784,0.139444494883233
"Ex_DACH2_ITGA9",0.00641819352232378,0.115928466290745,0.000842802216936979,0.00612281153976796,0.161622790873137,0.0600422499373869,0.0352583132891601,0.000987616155563528,0.00333311456925336,0.00145778750295968,0,0,0.0342165809896424,0.0700719005465056,0.000817998113526286,0.0257900069374398,0.00269565043265769,0.0457747419908914
"Ex_DACH2_LHX2",0.000283572762717726,0.00845486283256536,0.000280531497867445,0.00215188922155202,0.000413079484760398,0.158731118215374,0.000677030700314959,0,0.00543990688708592,0.000431646242594394,0.00187408263972476,0.000398910872088162,0.349221287021725,0,0,0.000579884798124345,0.0528993615584864,0.00565651796530676
"Ex_DACH2_LUZP2",0.000680318406744024,0.0155027669482804,0.000329656311989957,0.000662613153063439,0.000628541831416509,0.256967526700384,0,0.000715926491133782,0.00590671330489249,0.0306528043190365,0.0476654497548404,0,0.222350159358916,0.000514448563237226,0,0,0,0.000803580208030727
"Ex_DACH2_MGAT4C",0.000363276738843419,0.00159519939484696,0,0.000650369823562458,0,0.283061443393461,0.00350583094093242,0.0040526654614376,0.000568293915979305,0.0198966054244555,0.00212236887660869,0,0.165825848684216,0.00125027603950651,0,0.000944785479226351,0.0565467304411473,0.082944715831558
"Ex_DACH2_NR4A3",0.00657588931127974,0,0.000749746776384658,0,0.000362251066510173,0.321389304311871,0.00236774052521332,0.00144322327981304,0.00305442943341662,0.0011659387541979,0.00172477766394488,0,0.0174895465996509,0.00175765848035179,0.000794984025106971,0.0035084809779688,0.0474227603462956,0.136843434619931
"Ex_DACH2_RORB",0,0.412229197716823,0.00268660691621012,0.000778063839749404,0.0161762142303828,0.000729573717236382,0.00177756792318512,0.00299207195861013,0.00363859649953961,0.000550722332502457,0,0.00331866271103763,0.000489913509066367,0.000659054359266208,0,0.114890928298102,0.00241944945208781,0.00225154005451754
"Ex_DACH2_SLIT2",0,0.582414388420541,0,0.000712811415136935,0.00274084464229462,0.09271240709323,0.00678931899088521,0.000629855269216852,0.00105661427541293,0,0.102431977362021,0,0.00734197080926676,0.0230108318238551,0,0,0,0
"Ex_DACH2_TAC1",0.000594026276800468,0.249881834009562,0,0,0.370300934658762,0.00318028010561701,0.0152969354083329,0.00306560716809273,0,0.000456568325872922,0.000531124454917923,0.00787226234527165,0.000684152176675896,0.00140367855408258,0,0.00163245433793146,0,0.00467879975262173
"Ex_DACH2_ZMAT4",0.00046186152077341,0.273654456289167,0,0,0.335799658202663,0.00133098372732972,0.0761340061481952,0,0.000943458724130278,0,0,0.00185951690795954,0.000599839011214757,0.024017961204039,0,0.00483189946355048,0.000558580995959138,0.00583927537705826
"Ex_KIAA1217",0,0.000260870760499696,0.00221318568996196,0.144265072548775,0.0549667437857069,0.000269180466983922,0.000337842234712524,0.0179618280426588,0.00201825253762159,0.0290783844867925,0.00107932597431879,0.0262138810985145,0,0.00041110017432988,0.176031847561802,0,0.000530065842693734,0
"Ex_KIAA1217_BCL6",0.0237986792992168,0,0.00237058176547423,0.0966721941435409,0.0254595786080795,0.0021226428869961,0.00541976208085169,0.189729917216115,0.0444800613317485,0.000827202327693695,0.01703493072967,0.00114117848706577,0,0.0671984704718479,0.00390195219318988,0,0,0
