"","Glut-CACNA1H-4","Glut-DACH2-5","Glut-DACH2-4","Glut-CACNA1H-3","Glut-CACNA1H-2","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCra","Glut-DACH2-8","Glut-DACH2-2","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-6","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-CACNA1H-RA"
"Ex_BCL6",0.0366200635151018,0.00101444439488942,0.0102543372303956,0.00103942713168172,0.0523480568919207,0.00150519206709854,0.0723652204967502,0.000704903251231726,0.0017226109121499,0.00496098217142394,0.490245986178724,0.0311029062010355,0.00356160964217742,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0027758337793143,0,0,0,0.961563416148001,0,0.00182280479803784,0,0,0,0,0,0,0.003710980482849,0,0,0,0
"Ex_CACNA1H_KIT",0.0328475691181707,0,0,0,0.820986768872997,0.00141092039019792,0.000798774737494099,0,0.00506095945809385,0,0,0.00277379946854061,0,0.0217369366485385,0,0,0,0
"Ex_CACNA1H_LHX9",0.357637011946001,0,0,0,0.326251408038687,0.000973529362180338,0.00161940119031367,0,0,0,0,0,0,0.0718022426073558,0,0,0,0
"Ex_CACNA1H_MCTP2",0.075691102075579,0.0034668761555914,0,0,0.279269960599744,0,0.0332278284276429,0.0017645386127344,0.167924135716584,0,0.00174436579939198,0.097762888745384,0,0.00362013148127829,0.00255112801971133,0,0,0
"Ex_CACNA1H_PROX1",0.0261820382309275,0.00184244176344589,0,0,0.802940587608456,0.00225887415568304,0.010629210442642,0,0.0175606192148983,0,0.00137820105932122,0.00429776560408513,0,0,0,0.000875034696235258,0,0
"Ex_DACH2_ADAMTS5",0.000189036963393402,0.149314144361469,0.00225231550577656,0.000363627906685256,0.0178797837751055,0,0.0292020668430923,0.0104725514305015,0.0939602644479928,0,0.044938365600755,0.0929235410521084,0.00963746332952372,0,0,0.0444571117236623,0,0
"Ex_DACH2_CEMIP",0.00282430303329556,0,0.00618541157894891,0,0.00141891277558035,0,0,0.0292044862406806,0.000375278990545596,0,0.483479962527665,0.0110969670231638,0.116386932779946,0,0,0,0.00847772244828448,0
"Ex_DACH2_GRIK4",0.0061552228054732,0.00885831312801289,0.000358808163780492,0,0.00265015721195813,0.000776575013896962,0.00109113066683862,0.000550202804083036,0.152017156838597,0,0,0.421903660219794,0.000606253940782573,0,0,0.062181168152655,0,0
"Ex_DACH2_ITGA9",0.00162392564279367,0.000413279159001013,0.0748766888307842,0,0.0018907427198754,0.000953668232508114,0.00110525195282645,0.127212716792022,0.0624931324701847,0,0.187269715640359,0.12277381666456,0.0177307766997859,0.00214552184645688,0.000233116510566092,0.0101066784434995,0,0
"Ex_DACH2_LHX2",0.00380882658759932,0.00144415169576539,0,0,0.0880192802648284,0.00456642928456364,0.00489602548384026,0,0.215061189108958,0,0.0140038960828671,0.290175378089596,0,0,0,0.00141806653095959,0,0
"Ex_DACH2_LUZP2",0.0300061001800742,0,0.000546940913540213,0,0.251689151618776,0.0030923746312089,0.000537879293285342,0,0.0078560708410053,0,0.0251807051551795,0.411596835549963,0,0,0,0.000401836034724895,0,0
"Ex_DACH2_MGAT4C",0.000637749646786744,0.00318249296624654,0.00203493827971696,0,0.0425123666907663,0,0.0108234870007808,0.00105793477487148,0.0944882548059706,0,0.00279313367683447,0.480327899843538,0.00198344130567595,0,0,0.0263318501566775,0,0
"Ex_DACH2_NR4A3",0.00242691261741197,0.0198529614865578,0.00300004979143192,0,0.0253517227791231,0.00169445700338447,0.0112860138275171,0.000462312966185256,0.0415879591784547,0,0.0251845991292304,0.405496080645798,0.00179061303216689,0,0,0.0476375607474474,0,0
"Ex_DACH2_RORB",0,0.000516279544528183,0.00438347630633718,0,0.000441389553960961,0.000605174982170259,0.00316430998852461,0.0280436628501252,0,0,0.455256744556318,0.00828955764418524,0.0018509563087231,0,0.114783784959816,0.00100756110498623,0.00165507580950627,0
"Ex_DACH2_SLIT2",0.108653749701626,0,0.00493848263510857,0,0.0102489649443172,0,0,0.00127144111000001,0.0036116130804094,0,0.60696500863842,0.121855341297191,0.00163408522777615,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0,0,0.0507322015245782,0,0.00524570898434917,0.289243727465571,0,0,0.274816169003209,0.000622632773341729,0.0121283225794841,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.00107625793310972,0.000661993581368886,0.0104169226581073,0,0.000861376865771898,0,0.000558366314857636,0.266999334207454,0.000785355752770128,0,0.468468198903988,0.00512546996785376,0.0112883419218242,0,0,0.00128205376779077,0.000383522978553216,0
"Ex_KIAA1217",0.0187227872734928,0.00653459719451909,0.00566791616685428,0,0.0106534744207852,0.0111800352395587,0.0263334042140651,0.0234998416969604,0,0.0355836403650431,0.000736914151146965,0.112312022560321,0.00151116507836426,0,0,0,0.0215840884201384,0.0841102274621188
"Ex_KIAA1217_BCL6",0.0818860062472356,0,0.124848880749477,0.0024469222266728,0.0319106886545987,0.00250204472375875,0.165159234773213,0.0139120529342866,0,0.0166260996257974,0.00418179194014395,0,0.018067992507488,0.0116750816573341,0,0,0.00104230988934922,0.0082732235808494
"Ex_Pre_KCNH7",0.0203776817961053,0.000461956878995849,0.00456857461937105,0.00856345016629413,0.0240969266504065,0.0314233540205119,0.00813866596977537,0.00357591503829467,0.00155648625833158,0.000476767571219096,0.0568703664353925,0.233007108847536,0.0017802874271501,0,0.000286185893626163,0.0195540185325641,0.0212427710784874,0
"Ex_Pre_SATB2",0.01489914848208,0,0.00481237940048023,0,0.0886671312297642,0.0388402676463811,0.0145307781906708,0.0159497232805512,0.0313221994385873,0,0.0201110615718524,0.198748033193445,0.0147658663800453,0,0,0.0146513486086233,0.00463212205110454,0
"Ex_SATB2_FOXP2",0.000242479720971965,0,0.0287547907344757,0.000534973916182153,0.0489392282651949,0.0100005080678241,0.160789378772636,0.163433367757447,0,0.00123831740880122,0.0042600225447668,0.0200853138731923,0.0359162616548899,0,0,0.0263661831195837,0.000490619648837049,0
"Ex_SATB2_OVOA",0.00346021978441531,0.00255323577585157,0.019728738097669,0.00100485611587568,0.183837550674725,0,0.115036719045342,0.00392979165324323,0.00915120413895496,0.000442252652373569,0.0109209499323109,0.184850816092233,0.00174477435541538,0,0,0.0303617583114514,0,0
"Ex_SATB2_SOX6",0.00213298951041287,0,0.0547965018245001,0,0.0560527766111364,0.00566780912129396,0.416717208405413,0.00128117358597894,0,0.00413864159027128,0.00726580817511329,0.00911220751432816,0.0509694116632619,0,0,0.000327734482556163,0,0
"Ex_SATB2_ZNF385B",0,0,0.00619734641954985,0,0.0712321986940017,0.00127104149706047,0.718292435197626,0.00583101708994959,0,0,0.000750156286616247,0.00178763913983533,0.0030980210529561,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00386226806526914,0,0,0,0.042795377306754,0.0700274441100467,0,0,0.0351378488773425,0,0.00730545806901048,0.00266378931937569,0,0.44359559147509,0,0,0,0
