"","Glut-DACH2-1","Glut-DACH2-HVCra","Glut-DACH2-3","Glut-DACH2-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-2","Glut-CACNA1H-4","Glut-CACNA1H-2","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-7","Glut-DACH2-8","Glut-CACNA1H-3","Glut-DACH2-6","Glut-CACNA1H-RA","Glut-DACH2-HVCx"
"Ex_BCL6",0.047584657009097,0.0290270411812421,0.447312427858825,0.00202469110925727,0.00192040808884759,0.00142628232565592,0.0211826419728197,0.0533639657403384,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0.00131852395373404,0,0,0.916310945816944,0.00632339380881887,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00250459807927347,0,0.000524282286627669,0,0.000580987502999795,0.0186931067631938,0.0163182015425059,0.760911910539919,0.0108162180482908,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.000822582286817729,0,0.00463066326357086,0,0,0,0.126364513297239,0.461307353737985,0.0662089334817318,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0613730761843001,0,0.00134950079502223,0,0.000578916717467524,0.204557051892326,0.0630600405967038,0.288875789570012,0,0,0,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.00655464183560248,0,0.00412865192682959,0,0,0.0249515827895619,0.00611516919436386,0.807752122728501,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.269239798259352,0.001188396008593,0.0591845512993894,0,0,0.00235939975958963,0,0.0220594898017054,0,0.074870180059807,0.000472805722160541,0.00821075598670936,0,0,0,0
"Ex_DACH2_CEMIP",0.0284498959594964,0,0.606194582368026,0.000414231650877943,0,0,0.000999228132750625,0.00167129683477448,0,0,0,0.020502558849989,0,0,0,0
"Ex_DACH2_GRIK4",0.509936544711542,0,0.00132291265427094,0,0,0.122426206069239,0.00558288074728574,0.00329369427916535,0,0.00153445684994007,0.00198176817448291,0.000613066620282526,0,0,0,0
"Ex_DACH2_ITGA9",0.182211024344308,0.00211557283509988,0.227427963125518,0.00359944415726709,0.000214375422954624,0.0697078221421703,0.000431853263423676,0.000911383438696641,0.00085463179579002,0,0,0.0637190291835531,0.000265234244672123,0,0,0
"Ex_DACH2_LHX2",0.332592544587779,0.000666678469363028,0.00623519468894311,0,0,0.160853332190221,0.0010101181971382,0.0831880922844238,0,0.000404418856080083,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0.365447754081648,0,0.0297090543539905,0,0,0.00228829931876876,0.0109013766072357,0.251894383629479,0,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.57611638293038,0.00559852648028344,0.0026299661688595,0,0,0.022202668224054,0,0.0486431845662975,0,0.000926432007428998,0,0.000835065269114245,0,0.000382632760561268,0,0
"Ex_DACH2_NR4A3",0.541657462040003,0.00606485140648361,0.0139685316551785,0.000505495430440618,0,0.0118487564585527,0.0011657540474908,0.0211638494981625,0,0.0127855635163897,0.000426991345252498,0.00034302836872771,0,0,0,0
"Ex_DACH2_RORB",0.00668929050193739,0.00366214293630087,0.694362837849442,0,0.00155615263110544,0,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.115526660197051,0.000618296269331991,0.573706278906814,0,0,0.00559953555014615,0.0752800737801953,0.00739779697021008,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.00153685346678499,0.011149103038072,0.374422122576929,0,0,0.000595767511615982,0,0.0162554608355787,0,0,0,0.155921608992443,0,0.00034586244202144,0,0
"Ex_DACH2_ZMAT4",0.00651020964192952,0.000795710485548524,0.456242175620697,0,0,0.000397741216106817,0.000585388918237661,0.000332031482606372,0,0,0,0.190637785172713,0,0.000337297216453978,0,0
"Ex_KIAA1217",0.00177427240231046,0.139131617252203,0.0144452899878438,0.0496681674141804,0.0450508667521877,0,0.0240801799747039,0.00947128220075938,0,0.000275119863792876,0,0.00117164977539698,0,0,0.00119851460207533,0.016468495368792
"Ex_KIAA1217_BCL6",0.008926871696974,0.300300512691031,0.0101243585408425,0.0152162156067116,0.00990094271116619,0.00123054866205604,0.0215833661740027,0.0728313622526749,0.000998386751736448,0,0,0.0125985340041374,0,0,0,0
"Ex_Pre_KCNH7",0.194997909103729,0.00283793835159021,0.0774072146487782,0.000196131472680272,0.0328507344963721,0.000676431560746909,0.00946297297779586,0.0101670279305027,0,0,0,0,0.000285117744699284,0,0,0
"Ex_Pre_SATB2",0.178918897863272,0.0109166020716972,0.034537534876996,0,0.0318171865344137,0.0320403061538573,0.00807332863913157,0.0517192020155518,0,0,0,0.00167178634754866,0,0,0,0
"Ex_SATB2_FOXP2",0.0523852940757674,0.213603201131481,0.00817582356498758,0.00324976797361256,0.0250246519646925,0,0.00123848167752488,0.0590436921789332,0,0,0.000544206491436556,0.011335166559009,0.0001995427580909,0.00105127447340157,0,0
"Ex_SATB2_OVOA",0.271583399547675,0.044991668118273,0.00397700415655499,0,0,0,0.000473968114251354,0.222417000797905,0,0.000490782117100816,0,0.00249304635163885,0,0,0,0
"Ex_SATB2_SOX6",0.0358197928153061,0.318375308051636,0.0128868660358209,0.0030338279531049,0.0163575673786809,0,0.00117088978820193,0.0905761417922162,0,0,0,0.00209653660165967,0,0.000208606340108388,0,0
"Ex_SATB2_ZNF385B",0.00321888749467686,0.510184937175515,0.00106484264544573,0,0.00610012650638734,0,0,0.0880621609665285,0,0,0,0.00196656867375155,0,0,0,0
"Ex_TSHZ2_NR4A2",0.011114207276405,0,0.00717606521826674,0,0,0.187334930788735,0,0.0530266647628541,0.205914667110562,0,0,0,0,0,0,0
