"","Ex_TSHZ2_NR4A2","Ex_KIAA1217_BCL6","Ex_SATB2_SOX6","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_DACH2_ZMAT4","Ex_CACNA1H_MCTP2","Ex_CACNA1H_PROX1","Ex_DACH2_LUZP2","Ex_SATB2_OVOA","Ex_CACNA1H_CPA6","Ex_DACH2_ITGA9","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_ADAMTS5","Ex_Pre_KCNH7","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_SATB2_FOXP2","Ex_DACH2_RORB","Ex_BCL6","Ex_DACH2_TAC1"
"Glut-CACNA1H-1",0.0384109676038012,0.000841785720313489,0.00021125449447346,0.711743954935811,0.000863301355806383,0.000704161902271723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0662204474467215,0.000911089624233935,0,0.371816301675005,0.00267142182153504,0.116206303154179,0.000463958975125441,0.00134152265424253,0.00711588030709829,0.000273457316074793,0.00320644735067327,0.000359407286926804,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.112870882040979,0,0.000489130663459892,0.515574113075178,0.00226667753568354,0.00908457950955138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00494546749537338,0,0,0.660284661903409,0.00135323531152433,0,0,0.00141817232619226,0.00251880736865786,0.00101444833924247,0,0,0.00167997026906158,0.0581289906666837,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0862550839920127,0,0,0.619499623098647,0,0.000324197552501683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.00138995563254492,0,0.129270573619066,0,0.000754439011542133,0.00296247946719618,0.000541754845701502,0.00749978250566058,0.000840711890023888,0,0.00493784928931344,0.00477069406964251,0.198378711042773,0.162402814927765,0.0165396359713391,0.00510007759045827,0.00201684255993743,0,0,0,0,0,0
"Glut-DACH2-2",0,0,0.000322509255796067,0,0.0776021398526206,0,0,0,0,0.03032086716072,0,0,0,0.000383736318661118,0.119870167965075,0.0669465443882923,0.0930954685366475,0.0164826035190813,0.000650178719807766,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0,0,0.00943218320107766,0,0.0903197412147331,0.00872762869438412,0.00112684303758532,0,0.000750395504387244,0,0.00755583975305178,0.574362314182161,0.00219556163221643,0.00045518156305091,0.00489973391776013,0,0,0.0192562339955531,0,0,0,0,0
"Glut-DACH2-4",0,0.0210308969998833,0.0592073932676808,0,0.0592244038990181,0,0.0429613233085653,0,0,0.000599686683331031,0,0,0.220014224656241,0.0529420319285782,0.0280426370131456,0.00208590488178975,0,0.000763374947007201,0,0,0.000663183151737337,0.0162223183775231,0,0,0
"Glut-DACH2-5",0,0,0,0,0.0301366736131039,0,0,0,0,0.000349658910813266,0.000688433309050461,0,0,0,0.103506422208647,0.0511099982911355,0.097484452857374,0.100351949914837,0.000398558236830286,0,0,0,0.000323106802631734,0,0
"Glut-DACH2-6",0,0.00127202356830569,0.0164952963297219,0,0.00170026977008861,0,0.182286963426274,0.000249348511502509,0,0,0,0,0.00820148632433997,0.00142187700351973,0.00267027671287724,0,0,0.000233804459586996,0,0.497048424003057,0,0.00253956456059342,0,0,0
"Glut-DACH2-7",0,0,0.0190749200035766,0,0.052638473747355,0,0.00961594468292776,0,0,0.000311139092906761,0.00449714826979267,0,0.0101751193601702,0.000666519013297763,0.199156910228102,0.122562008066521,0.000930074953299653,0.0104676559312453,0,0.00116715428168821,0,0,0.000972134324097879,0.000635474414265942,0
"Glut-DACH2-8",0,0,0.000665062940122277,0,0.000272954887335289,0,0.657157835103493,0,0,0,0,0,0,0.000572041121277299,0.00207347761555528,0,0,0,0.00173550984971251,0.059479754097994,0.00118202578004238,0.000367056350681524,0.00096861047247493,0.000391252823991922,0
"Glut-DACH2-HVCra",0,0.00929980615824355,0.151042131484843,0,0.0155287540683327,0,0.0106954197038699,0,0,0.00209004196674389,0,0,0,0.000295936354985235,0.0927196357175123,0.0504801547435539,0.000208228932942553,0.00300241866075646,0.0115544668262837,0,0.00123292447148891,0.00119736911830528,0.0171889172134856,0,0
"Glut-DACH2-HVCra-Int",0,0,0.0281803228736306,0,0.051044123958372,0,0,0,0,0.0354359884974154,0,0,0.00568439235909828,0.000572905552541344,0.197221316809047,0.0895371535214213,0.0133045066194871,0.000349597066552179,0,0,0,0.000306267531194724,0,0,0
"Glut-DACH2-HVCx",0,0.335901909625257,0.028090135978336,0,0,0,0,0,0,0,0.00227601729741143,0,0.00586206741010304,0,0.00297372986605683,0,0,0,0,0.00138385787103588,0.0614884368022195,0.109845734381011,0,0,0
"Glut-DACH2-LMANco",0,0.000497598524470104,0,0,0,0,0.515997103841827,0,0,0,0,0,0,0,0,0,0,0,0,0.115703013008839,0.0260686617864081,0,0.00384249850659712,0,0
"Glut-DACH2-LMANsh",0,0,0.00135915639213029,0,0.0212116338555953,0,0.0164274871883999,0,0,0.000236043868541739,0.00100451583393559,0,0.000310612527934272,0,0.0792628934784543,0.0111888493163456,0.0732042239475005,0.163589929016264,0,0,0,0.000484483992995282,0.0275266856837585,0,0.000141699268289379
