"","Ex_CACNA1H_LHX9","Ex_SATB2_OVOA","Ex_SATB2_SOX6","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_BCL6","Ex_CACNA1H_MCTP2","Ex_CACNA1H_KIT","Ex_DACH2_ITGA9","Ex_DACH2_RORB","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_DACH2_SLIT2","Ex_DACH2_LUZP2","Ex_Pre_SATB2","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_KIAA1217","Ex_DACH2_CEMIP","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2"
"Glut-CACNA1H-1",0.809856339969773,0.000294011442984992,0.000244193475757905,0.00108009487560372,0.000349572441526495,0.0217065090228092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.537802487502659,0.00303247859997191,0.000271745989956939,0.00593941554075057,0,0.042259325366008,0.00079209278603081,0.000838201739801084,0.0165422267024612,0.000307129533256019,0.000245609544510479,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.535782807664785,0.000781028691689207,0,0.00865344973136087,0.000824354499985974,0.102391402364851,0.000409932732759366,0,0,0,0.000834327650600578,0.000745798775144946,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.749411025878582,0,0,0,0.0015675600399737,0.0032789622504455,0,0,0,0,0,0,0.000940126196230044,0.0173771856745668,0.00232478449070567,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.900844471522072,0,0,0.00212598789406319,0,0.00407247434835672,0,0,0,0,0,0.00039257386784692,0,0,0,0.000260065619467976,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00241708027832044,0.00249789056616798,0.0010143290080357,0.105752472266942,0,0,0.000618099328402586,0,0.00894786887226423,0,0.0067351773985973,0.111676882206837,0.00408297076914196,0.00121007318812181,0,0.283222749948772,0.0021440857153822,0.00313608993720786,0,0,0,0
"Glut-DACH2-2",0,0.00166866752240039,0.000479607669805714,0,0.0649071909797977,0,0,0,0,0.0016563024545928,0,0.00759227434777599,0.0311909326138637,0,0.0106754491546858,0,0.261220129535228,0,0.0130288781484698,0.000275433605249433,0,0,0
"Glut-DACH2-3",0,0,0,0,0.00636660344339774,0,0,0.00144225333186824,0,0.00324368676322822,0,0,0.00134129807644012,0.603853715257027,0,0,0.000383288033864281,0.0720058180164372,0,0,0.024531480270577,0,0
"Glut-DACH2-4",0,0.00116469785414409,0.0381530469397138,0,0.0195831790346194,0,0,0,0,0.107455835207101,0,0,0.0015762568220631,0.0756610984897925,0,0,0.00477817490691607,0.123306712994249,0,0,0,0.0136032104140815,0.0021053599744589
"Glut-DACH2-5",0,0.00131037593529348,0.000539457080724957,0.000238074506267491,0.0373212811570313,0,0,0,0,0.000274003697106748,0,0.0683120993966092,0.0134254566404575,0,0.000754801721428708,0,0.245578328861669,0,0.0191169240889724,0,0,0,0
"Glut-DACH2-6",0,0,0.00114876236996603,0,0.001114219004889,0,0,0,0,0.00437398115088938,0,0,0.000328724105793171,0.00102592329118453,0,0,0,0.163528558208256,0,0,0.503763962641856,0.00106154611173348,0
"Glut-DACH2-7",0,0.00125904199474246,0.00640909477933188,0,0.0393323065717587,0,0,0,0,0.0102541826455644,0,0.00440270224304653,0.0539610770573646,0.000849420810781853,0.000259027356400623,0,0.271022046023937,0.0186830583551695,0.00379193978317514,0,0.00296552040690741,0,0
"Glut-DACH2-8",0,0,0,0.00043845305119627,0,0,0,0,0,0,0,0,0,0.000573854850617705,0,0,0,0.624336482386243,0,0,0.0401185800347364,0,0
"Glut-DACH2-HVCra",0,0.000645362635802693,0.283404528742891,0.00279267642043525,0.00170278285349708,0,0,0,0,0,0,0.000239084847524763,0.0890985643132088,0,0.000332627048926318,0,0.0163150847720579,0,0,0,0.000256766983058779,0,0
"Glut-DACH2-HVCra-Int",0,0.00282203653994818,0.0500306958511942,0.00076965089238329,0.021906881408739,0,0,0,0,0.00443469681937784,0,0.000712877918476078,0.105287661071349,0.000456875592260329,0.0120754190060451,0,0.181983223791946,0.000371170842366752,0.00252450290860382,0,0.000319977658531011,0,0.000331711461847108
"Glut-DACH2-HVCx",0.000697574000463186,0,0.0735757025797263,0.00158157128514876,0,0,0.000693569639171929,0,0,0.00614815003155063,0,0,0.000656360457524146,0,0,0,0,0.00629710330197569,0,0.0295860340150402,0.00428732994321475,0.182418691385107,0.0028222606102031
"Glut-DACH2-LMANco",0,0,0,0.012294230804109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466933118715275,0,0,0.0892340638489725,0,0
"Glut-DACH2-LMANsh",0,0.00131605183180902,0.00265178848156901,0,0.0125068814798305,0,0,0,0,0,0,0.0982285101746565,0.0133914370851114,0.00030221085539857,0,0,0.136777794627177,0.0468500127164922,0.0172835884689496,0,0.000634246547590805,0,0.00066173589308636
