"","Ex_TSHZ2_NR4A2","Ex_DACH2_ADAMTS5","Ex_DACH2_RORB","Ex_CACNA1H_LHX9","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_CACNA1H_PROX1","Ex_DACH2_SLIT2","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_DACH2_LUZP2","Ex_Pre_SATB2","Ex_DACH2_LHX2","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_ITGA9","Ex_DACH2_ZMAT4","Ex_SATB2_SOX6","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_DACH2_TAC1","Ex_SATB2_ZNF385B","Ex_KIAA1217"
"Glut-CACNA1H-1",0.0405989897984936,0.00160901959095375,0.000347023563496404,0.768413774071428,0.000481206878281121,0.0017347936328563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0745469128093235,0.00127438532720539,0.000632814706940267,0.446349902592613,0.00900271416214831,0.00271090374986721,0.00254002349200275,0.00188579504615495,0.0284270721888589,0.00191886980376317,0.000344270278749255,0.00336728714090668,0.00422827520717483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.125229849924018,0.0052354868701581,0.000896541324585714,0.497649784036632,0.00708209671747489,0.00569280582183982,0,0,0.000631842622444828,0,0,0,0.000843269357078366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00386122503714226,0,0,0.697813212189531,0,0,0,0,0,0,0.0348318294482463,0,0,0.00259486745044503,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0138523879643931,0.000991809799139892,0,0.825684796477804,0.00169158232542609,0,0,0,0,0,0,0,0,0,0.000363668534516631,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0142686316174031,0,0,0.000964573613740349,0.109356571864079,0,0,0,0,0.00480813246767072,0.00075912921577196,0.00441290300890399,0.00321231135835914,0.000425968960772354,0.00667454586454655,0.11435224265061,0.295374901881093,0.00742600358296621,0.00127784203841524,0.00344911485731461,0,0,0,0,0,0
"Glut-DACH2-2",0,0.0153511520649102,0.000380865998689738,0,0.000535751737016095,0.0754979422421887,0,0,0,0,0,0,0.0036190232656806,0.0135421840702039,0,0.02309723409039,0.0338111079198746,0.246888192367206,0.0016253580685781,0,0.00150659314881692,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0,0,0,0.00803831222387784,0,0,0,0,0.576744325733616,0.00376142238542971,0,0.000353179436529079,0,0,0.00140858139002451,0,0.0040748840386431,0.0952277590690558,0,0.0307435970823642,0,0,0,0,0
"Glut-DACH2-4",0,0,0,0,0,0.03867053385732,0,0,0,0,0.107192064370137,0,0.00127617077130746,0,0,0,0.00270262427888369,0.00181637720794071,0.180944993289546,0.0527594566685167,0.0217045122038663,0,0.0122024998225563,0.0236957400237545,0,0,0
"Glut-DACH2-5",0,0.142602537481358,0.000346943812710535,0,0.000336191986873069,0.032619019513643,0,0,0,0,0,0,0.00142342106615001,0.000292230338896731,0,0.0349746763429414,0.0151414998008838,0.183214509272307,0.00127943228743136,0,0.000587903073948062,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0,0,0,0.00144251431601444,0,0,0,0,0.00207507007157491,0,0,0,0,0,0.000455026518383181,0,0.0159376413328117,0.134928818769086,0.0017424199676341,0.565772537045615,0.00216125475462764,0.00126057140999614,0.00034712363399799,0,0
"Glut-DACH2-7",0,0.0250805969163873,0,0,0,0.0441018622879707,0.00183506923079144,0,0,0,0.00106546597718297,0,0.00390813668243947,0,0,0.000752477788470294,0.0652149139230276,0.253198596162284,0.0184174469082039,0.0133621321989344,0.0115439039875818,0.00275204284220532,0,0,0.000279022449389558,0,0
"Glut-DACH2-8",0,0,0,0,0.000603126001511866,0,0,0,0,0,0,0,0,0,0,0,0.000471600136447082,0,0.000691995130915584,0.579014465584216,0,0.0954006183010935,0.000319145650891774,0,0,0,0
"Glut-DACH2-HVCra",0,0,0,0,0.00508134573826555,0.00119192206905926,0,0,0,0,0,0,0.00496137732090303,0.00082659422825422,0,0,0.117962525332158,0.00775426825347309,0,0,0.33652539017377,0,0.000469301669986929,0,0,0.000668403526842163,0
"Glut-DACH2-HVCra-Pre",0,0.00233449684190498,0,0,0.00169081386971135,0.0254082428917221,0,0,0,0,0,0,0.00472914929225368,0.0215631389476067,0,0.000935392819151605,0.110323527011439,0.172457760019424,0.00411055042806814,0,0.0705454763344621,0,0.000485737146185852,0,0,0,0
"Glut-DACH2-HVCx",0,0,0,0,0.0030898378946623,0,0,0,0,0,0.00159527463993536,0,0,0,0,0.000792206641641158,0,0,0.00748789976370897,0,0.0358027594289832,0.00131738518757202,0.0513156475557272,0.335263379984148,0,0,0.0198102715503519
"Glut-DACH2-LMANco",0,0,0.000607665367786836,0,0.0166135093221334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318691915777451,0,0.223081919872786,0,0,0,0,0
"Glut-DACH2-LMANsh",0,0.255743189592094,0.000935433497014033,0,0,0.0156325132484814,0,0,0,0,0.000357069472487108,0,0.00228858167811237,0,0,0.00815164473824675,0.0176166766468052,0.0452614934897332,0.00138983770090051,0.0273185809092813,0.00276853438210521,0.00171958034675356,0.000286663499816786,0,0,0.00057768472713535,0
