"","Ex_CACNA1H_LHX9","Ex_DACH2_ITGA9","Ex_SATB2_SOX6","Ex_DACH2_NR4A3","Ex_DACH2_GRIK4","Ex_DACH2_SLIT2","Ex_Pre_KCNH7","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_DACH2_LHX2","Ex_SATB2_OVOA","Ex_DACH2_CEMIP","Ex_DACH2_ADAMTS5"
"Glut-CACNA1H-1",0.774097823515805,0.000228066867205933,0.000809059067966216,0.000388972214352647,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.7142189066964,0,0.000166929922853183,0.00034620087877116,0.000286156537183221,0.000657848951087733,0.000549753551777768,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.709395318689484,0.00102142959054287,0.00084958379879804,0.000722128655125783,0,0,0.00167837367227064,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.710861965709756,0.00122838878357433,0,0.000994068570093035,0,0.00340503985355934,0,0.000557461093744685,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.78048070315876,0,0,0,0,0,0.000286787695379632,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0219861020600763,0.00103933311619587,0.220092802662245,0.0491094486464028,0.00615485860156417,0.00036097567295385,0.0216809667393313,0.000648915419781071,0.000330394262494335,0,0,0,0
"Glut-DACH2-2",0,0.00149108261672805,0.00173898719710719,0.191420973637819,0.046866143470173,0.000246350542304528,0,0.0244002484996482,0,0.000650744719428155,0.000209788353981432,0.000188486686902599,0,0
"Glut-DACH2-3",0,0.016516082007954,0,0.00675837954813115,0.000305767937293957,0.328246277042883,0,0,0.0366834021750808,0,0,0,0.00880108129887641,0
"Glut-DACH2-4",0.00805378278938894,0.246259629051801,0,0.0186376598217042,0,0.0409408522900046,0,0,0.00514021904999205,0,0,0,0,0
"Glut-DACH2-5",0,0.000479055551404918,0.000667827502263832,0.214498451306957,0.0134248243813178,0,0,0.0294958594283543,0,0.000949835678022664,0.00157846854224682,0,0,0.000593491071852574
"Glut-DACH2-6",0,0.0520404766215627,0.000451952187007969,0,0,0.0181332396838497,0,0,0.109161395761103,0,0,0,0.117706089558405,0
"Glut-DACH2-7",0,0.0329277949836029,0.0134169422208157,0.117450579668422,0.0559714198105843,0.000577713347491268,0,0.0276345960529463,0.004842185647662,0.000827487755509392,0,0,0,0
"Glut-DACH2-8",0,0.00760609088970672,0,0,0.00129919327481807,0.00766911765718426,0,0,0.286620015821038,0,0,0,0.00397454381646684,0
"Glut-DACH2-HVCra",0.000277461506303886,0.0620959694049613,0.0424057462875034,0.0195974140932744,0.0921946595502525,0,0.00287022300835836,0.000182729081879142,0.00335963306601035,0,0,0,0,0
"Glut-DACH2-HVCra-Pre",0,0.0309053556847247,0.0341517554088027,0.065832429931365,0.112595768159507,0,0,0.00781796488328369,0,0.000623486753958606,0,0.000185433623574778,0,0
"Glut-DACH2-HVCx",0.112099679275533,0.143563636815112,0.000605930065027339,0,0.00065104417688739,0,0,0,0.00270057100988107,0,0,0,0,0
"Glut-DACH2-LMANco",0.00401706449386433,0.000375620788633267,0,0,0,0.00165866764062345,0.000586675124787132,0,0.262335923092115,0,0,0,0.000299489050961653,0
"Glut-DACH2-LMANsh",0,0.00335714834525811,0.0127538121318224,0.108861007895058,0.0448652821508847,0,0,0.0115150396607908,0.0229005926001216,0.00507303539126275,0.00284702783823802,0.000454978026532035,0,0.000195638332976503
