"","Ex_DACH2_NR4A3","Ex_DACH2_GRIK4","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_CACNA1H_MCTP2","Ex_DACH2_LUZP2","Ex_DACH2_LHX2","Ex_Pre_KCNH7","Ex_DACH2_ADAMTS5","Ex_SATB2_OVOA","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_RORB","Ex_DACH2_CEMIP","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_KIAA1217"
"Glut-CACNA1H-1",0.000823617176453196,0.000175927941210062,0.0215389299542712,0.781025246088486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.000928738395434937,0.000632295393701128,0.0414501417266116,0.49777977275986,0.000321564506814919,0.0437173018734534,0.000480649134610781,0.000349774284299647,0.000912732511094929,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00226931263292667,0.0020731250936109,0.0900476028230859,0.571679368318425,0,0.000899084364691078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00162570988403179,0,0.00218549848860761,0.706688826125395,0,0,0.0467532826505635,0,0,0.00136447874023632,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0.0314006424612168,0.759559156466415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.127529087755473,0.132284148037739,0,0,0,0,0.00479150221187859,0.00906924938655633,0.00124188144066265,0.00105625674265296,0.0120603735827043,0.00049758662355947,0.00457441318036294,0.000871256798985303,0.207712609711035,0.00130060755356353,0.000998125351951707,0,0,0,0,0
"Glut-DACH2-2",0.0814865334124808,0.0507394298171981,0,0,0,0,0.000216481995552633,0,0,0.00032009667795137,0.0839882050242215,0,0.00762564816676363,0,0.129529626020743,0,0,0,0,0,0,0
"Glut-DACH2-3",0.00763632510656838,0.00131322330451598,0,0,0,0,0.566799579160636,0.00711836244413421,0.00147688508969101,0,0.00339549424852058,0,0,0,0,0.107525754297298,0,0.00490642804036082,0,0,0,0
"Glut-DACH2-4",0.0488643440257564,0.0132104360047955,0,0,0,0,0.0709128952545429,0.203540049985486,0,0,0,0,0,0.00153334826695125,0,0.0498263021930956,0,0,0.0242823485531587,0.0153388824903205,0.0185418922396995,0
"Glut-DACH2-5",0.0533394939787693,0.0520861635389905,0,0,0,0,0,0,0,0,0.0726562950639584,0,0.0822452614425935,0.000352793760317475,0.0575448006859708,0.000155666219155566,0.000234127436359081,0,0,0,0,0
"Glut-DACH2-6",0.00167605324099101,0.00138748579821732,0,0,0,0,0.00321965734446122,0.00523953021679449,0,0,0,0,0.000339407915021,0,0,0.247425621666302,0,0.408009372684264,0.00384839522299405,0.00170390613610924,0.00139037326285529,0
"Glut-DACH2-7",0.0976609421381547,0.147877735292917,0,0,0,0,0,0.0013018404114685,0,0,0.000888016482224532,0,0.00459431330024952,0.000732484412369069,0.114235223105933,0.0182579670304128,0.000757776798515282,0,0.0010985704572159,0,0.000313976440225181,0
"Glut-DACH2-8",0,0.00122727194585939,0,0,0,0,0.000490765387847897,0,0,0,0,0.00193666887491022,0,0,0,0.714578346625885,0,0.0277631738458916,0,0,0,0
"Glut-DACH2-HVCra",0.0313791414589029,0.0738814702057019,0,0,0,0,0.000236869041146391,0.0014872599368125,0,0,0,0.00128681827909937,0.000431299341275089,0.000422640108828117,0.15127074887085,0.00311371907255708,0.0176541676830989,0,0.0325721074356627,0.0012453760390759,0.0105355485018485,0.00124374321320309
"Glut-DACH2-HVCra-Int",0.0669126428701445,0.102815792999704,0,0,0,0,0.000412215364581625,0.00400423497042446,0,0.000459353553620616,0.00399275006396123,0,0.000285968272290891,0,0.213136375572257,0.00106690391893902,0,0,0.000520094319493286,0,0.00036406965724413,0
"Glut-DACH2-HVCx",0,0.00318466108656274,0,0,0,0,0,0.00354592291056987,0,0,0,0,0,0.00054261219083771,0.000740579129336214,0.00304761121179201,0,0.00112782639001562,0.0144379901083139,0.0990639927564702,0.277482756755083,0.0261533682065474
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543534852874215,0.000619045311242597,0.0666492669943775,0,0,0,0.0101330125147815
"Glut-DACH2-LMANsh",0.0558943465466302,0.0276531490735671,0,0,0,0,0,0,0,0,0.0368738217706415,0,0.0912997964680125,0.00747985840627416,0.00658070203030895,0.0347332040984053,0.0366963428455357,0,0,0,0,0
