"","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_BCL6","Ex_CACNA1H_KIT","Ex_DACH2_GRIK4","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_DACH2_LUZP2","Ex_CACNA1H_MCTP2","Ex_DACH2_RORB","Ex_DACH2_MGAT4C","Ex_Pre_KCNH7","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_DACH2_ADAMTS5","Ex_SATB2_OVOA","Ex_DACH2_CEMIP","Ex_CACNA1H_PROX1","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_KIAA1217"
"Glut-CACNA1H-1",0.000767096140193041,0.000232392822669356,0.807049867730819,0.0175557071563211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.000881814851412009,0,0.558282738297635,0.0347847790812188,0.000384363543711965,0.0204092492845542,0.000186868524825581,0.00115781005156105,0.000311008609519857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.001557514821398,0.000385184269038691,0.621826794387728,0.0784335186267826,0,0,0.00231963912696328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.701547215046321,0.00219335166071593,0,0,0,0.0602300704458962,0,0.00129835091901706,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0.773231517833939,0.0184889832150927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.133346013538903,0.000557638412734845,0,0,0,0,0.140057926401144,0.00455980653378583,0.00379667422718596,0.000746449702139236,0.00130894103545776,0.000653624288990891,0.214700118379854,0.000552484955857201,0.00497052653768127,0.00148313489410423,0.00973489425656561,0.000794756007760171,0.000204054204200344,0,0,0,0
"Glut-DACH2-2",0.0930933642098268,0,0,0,0,0,0.0517187860169241,0,0,0.000541144172466109,0,0,0.140448596235928,0,0.0653816003131225,0,0.012994335844469,0,0,0,0,0,0
"Glut-DACH2-3",0.00726207445373188,0,0,0,0,0,0.00182479752942077,0.611367637828892,0.00401970216493248,0,0.00102092105418126,0,0,0,0,0.0950944796554896,0,0,0.00313355333968917,0.000614646977111209,0,0,0
"Glut-DACH2-4",0.0527802219192855,0.034720466918237,0,0,0,0,0.0185698611259405,0.0727322451997393,0.185353818002063,0,0,0,0.00139033919735287,0,0,0.0551118199059601,0,0,0,0,0.0184998661385251,0.0143746261331843,0
"Glut-DACH2-5",0.0690027417281194,0,0,0,0,0,0.0499792859185782,0,0,0,0,0.000284099811018285,0.0619783913139096,0,0.0326591302359236,0,0.123694888772092,0.00033744271891048,0,0,0,0,0
"Glut-DACH2-6",0.00162634018618219,0.00423187100545303,0,0,0,0,0.00160337339576555,0.00275926731848066,0.0054181394463821,0,0,0,0,0,0,0.23295780441847,0,0,0.430982243520321,0,0.00181920897194514,0.00127648868776901,0
"Glut-DACH2-7",0.0973126300589176,0.00193723034731093,0,0,0.000401375829512547,0,0.13100169477664,0,0.000447652169613958,0,0,0.000751098929283335,0.133046003089824,0,0.000251797128517118,0.0202423903724161,0.00803355745462541,0.000685332324712633,0,0,0,0.00035074560534671,0
"Glut-DACH2-8",0,0,0,0,0,0,0.00141079718618417,0.000622627518960276,0,0,0,0,0,0.000580526820400754,0,0.698734205954371,0,0,0.0371755540895199,0,0,0,0
"Glut-DACH2-HVCra",0.0234472451476067,0.0553024346609096,0,0,0,0,0.06921581271067,0.000331511221748507,0.00117574478598475,0,0,0.0246543367356409,0.135945478819772,0.00095488901683054,0,0.00369110263691792,0.000938044145504057,0,0,0,0.00333086716352923,0.00759278669100398,0.0014501560342984
"Glut-DACH2-HVCra-Int",0.0695938757366849,0.0066937330524023,0,0,0,0,0.0983822080370649,0.000434889005177278,0.00340978012167659,0.00080887401104341,0,0,0.208401171512932,0,0.00401044253600303,0.00097191342205289,0.000702066169830023,0,0,0,0,0,0
"Glut-DACH2-HVCx",0.000841161037849264,0.00900579245126957,0,0,0,0,0.00363321658079099,0,0.00440893359860635,0,0,0,0.000550313474443579,0,0,0.00264600398568038,0,0,0.00210947707614877,0,0.14163214819683,0.267157537322647,0.0237458639538911
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544834004077069,0,0,0.0666604394728886,0,0,0,0.0065589905434609
"Glut-DACH2-LMANsh",0.0386947053644506,0,0,0,0,0,0.0320388902532977,0,0,0,0,0.0270135380639224,0.00409304537447056,0,0.0191849930722325,0.0400450041519252,0.154533913924834,0.00255838056532339,0,0,0.000372088202015865,0,0
