"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_SATB2_SOX6","Ex_BCL6","Ex_CACNA1H_KIT","Ex_DACH2_ITGA9","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_CACNA1H_MCTP2","Ex_DACH2_RORB","Ex_DACH2_CEMIP","Ex_DACH2_MGAT4C","Ex_SATB2_OVOA","Ex_Pre_KCNH7","Ex_DACH2_ZMAT4","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2","Ex_KIAA1217"
"Glut-CACNA1H-1",0.810247887213217,0.000810970393127864,0.015133222486764,0.000169593107494651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.54506688156319,0.000915516587531417,0.0308122560086604,0,0.000513934517735719,0.0217396208430332,0.000269283482798669,0.000841238286489783,0.000173661351302686,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.620337635456151,0.00160699913774459,0.0702004925321975,0,0,0,0,0,0.0030384579466921,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.701396637109966,0,0.00213249817848962,0,0,0,0,0.0593769582303644,0,0.00121926478682038,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.810633061582027,0,0.0137478980829574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.137019231514992,0,0,0,0,0.00404423093107024,0.00499466807614463,0.137246221262549,0.000670460238628781,0.00677564545918422,0.00968437696719752,0.00148560200353737,0.000322772083248443,0.000267780083036019,0.208016865692924,0.000503050429612388,0.000491418548745018,0.00179606757177407,0,0,0
"Glut-DACH2-2",0,0.113020987863935,0,0,0,0,0.000250665732549766,0,0.0373554390627812,0.000209511778037265,0.0118813662382923,0.0827385744039519,0,0,0,0.115860539849741,0,0,0,0,0,0
"Glut-DACH2-3",0,0.00940387073505469,0,0,0,0,0.00416550238296735,0.593510536398369,0.00201875608091287,0,0,0.00146658296965201,0.00100090746524131,0,0.00412323329015442,0,0,0,0.102460822878122,0,0,0
"Glut-DACH2-4",0,0.0545363148284272,0,0.0313756296184333,0,0,0.192320165551947,0.0800523159156891,0.0172497139718507,0,0,0,0.000724934561139882,0,0,0.00120457238885077,0,0,0.0471952046622602,0.0138533506386388,0.0218774233270321,0
"Glut-DACH2-5",0,0.0599662735412975,0,0,0,0,0,0,0.0338586274497096,0,0.108379593145319,0.0455801710280881,0,0.000282049039528084,0,0.0737647854283406,0.000598653792809574,0,0,0,0,0
"Glut-DACH2-6",0,0.00135748539922284,0,0.00118812297452996,0,0,0.00480183444016674,0.00378471926451634,0.00161668979413849,0,0,0,0,0,0.424367885524553,0,0,0,0.248734860599593,0.00126460068728455,0.00358092969134768,0
"Glut-DACH2-7",0,0.0876665145531446,0,0.000794309651298329,0.000378980888125735,0,0.000790422410198154,0,0.11326131752407,0,0.00328587975423226,0.000240608014863816,0,0.000663386693531119,0,0.157012846660415,0.000377271440308454,0,0.0199629956594697,0.000267553175686096,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0.000579110158679393,0.00118834988388437,0,0,0,0,0,0.0380663837649729,0,0,0,0.691617763291197,0,0,0
"Glut-DACH2-HVCra",0,0.0263256829900272,0,0.0312707915315708,0,0,0.00193979349406573,0.000285456523072209,0.101856246711947,0,0.000456316755264285,0,0,0.0156346646076256,0.000631423510394844,0.131561020196169,0,0,0.00548367788472102,0.00584238308446642,0.00376255531147264,0.00124951275950665
"Glut-DACH2-HVCra-Pre",0,0.0741203012747686,0,0.00198907859657758,0,0,0.00381394079553772,0.000424751864001329,0.127880537107012,0,0.000557458318487701,0.00941287381663968,0,0,0,0.164127366961858,0,0,0.0013191772444167,0,0,0
"Glut-DACH2-HVCx",0,0.000836144039470155,0,0.009819561244493,0,0,0.00482452445477433,0,0.00357542785411039,0,0,0,0,0,0.00189616068662885,0.000594022671788191,0,0,0.00246800903535556,0.25609114320213,0.144308915176604,0.0224377907896429
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116179631196536,0,0,0,0.467458937886726,0,0,0.00578268710215653
"Glut-DACH2-LMANsh",0,0.046919178922018,0,0,0,0,0,0,0.0250935707068405,0,0.120915421382112,0.0338905550481613,0,0.0265266104206273,0,0.00610319256199812,0.00146748206551981,0,0.0385150673815745,0,0.000340990728468395,0
