"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_KIAA1217_BCL6","Ex_Pre_KCNH7","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_Pre_SATB2","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_SATB2_OVOA","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_CACNA1H_MCTP2","Ex_SATB2_SOX6","Ex_CACNA1H_PROX1","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_SATB2_FOXP2","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.832307399811566,0.000958865248056867,0.00050017523508456,0.0014175237627464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.621780117432386,0.00179744877843334,0,0.00145034744622045,0.002540007853453,0.00119326051495239,0.000595584290444563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.700145846258444,0.00084059132711856,0,0.00241090210564687,0,0,0,0.000788003198676447,0.00122818295722436,0.00049751238711305,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.706740153142349,0,0,0,0,0.0451581747674105,0,0,0,0.00146034697293825,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.891009693762145,0,0,0.00180595594725015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.107667479202437,0,0,0,0.00376125538577679,0.0104039204329725,0,0.112594310981229,0.303236974347655,0.000185347832351024,0.00174455969918069,0.000638951181502753,0.00141368473155624,0.000369605937712789,0.000900641039155145,0.000278073195172637,0,0,0,0,0
"Glut-DACH2-2",0,0.052868703428631,0,0,0,0.000367323827030753,0,0,0.103702172083347,0.271146034443404,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-3",0,0.00667739107544613,0,0,0,0.531558438475531,0.00275290629878147,0,0,0.000871443287467329,0,0,0,0.124142931350901,0,0.0049821809910388,0,0.000604780010550371,0.00241079048718206,0,0,0
"Glut-DACH2-4",0,0.0396163907619378,0.00103420143304078,0,0,0.0644813721586927,0.0942822159552654,0,0.00234955730614811,0.00430811948504999,0,0,0,0.113719325725344,0,0,0.0764427384871531,0,0,0.000992553090156239,0.00997979190775517,0
"Glut-DACH2-5",0,0.0235355975285758,0,0,0,0,0,0,0.103380839833641,0.249374020829571,0,0.0123506449622619,0.000585542567706254,0.00035029611504008,0,0,0,0,0,0.000277235835220033,0,0.000254771530115199
"Glut-DACH2-6",0,0.000450163413739848,0.000318417021976296,0,0,0.00304115785902315,0.00406107768785688,0,0,0.000706502895400523,0,0,0,0.314456034819202,0,0,0.000889388542543273,0,0.309790443637999,0,0.000412990846867553,0
"Glut-DACH2-7",0,0.0389204961530151,0,0,0,0.000951631744568969,0.00838366040483071,0,0.0660411915354899,0.261584419274138,0.000717881799060935,0.00334067679803963,0,0.0208066999146154,0,0,0.0032870187864489,0,0.00180117298944056,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0.000748543650081436,0,0,0,0,0,0,0,0.73212604727207,0,0,0,0,0.0134317656286078,0.000412895358416417,0,0
"Glut-DACH2-HVCra",0,0.00387805034225171,0,0.00482843537483618,0,0.000794383019308289,0,0,0.0942478666502751,0.0389890591921899,0,0.000875493294842027,0,0.000761103936945342,0,0,0.175571220929909,0,0.00138856332029528,0.00097365682934761,0.000878683140480505,0.00190965816356282
"Glut-DACH2-HVCra-Int",0,0.0311324157732674,0,0,0,0.00041459293100545,0.00292712685821303,0,0.157058208393942,0.16961032365188,0,0.000882722357853152,0,0.000753205814775585,0,0,0.0193082524431158,0,0,0,0.000291548307795581,0
"Glut-DACH2-HVCx",0,0,0.0661449497514005,0,0,0.000992489469651208,0.000510467312127538,0,0.000858728581621515,0,0,0,0,0.0184691756535045,0,0,0.0398361163644898,0,0.00564390711765994,0.0251189263898939,0.220741809132515,0
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0,0,0,0.427896864196248,0,0,0,0,0.129240186412385,0.0232916071283755,0,0
"Glut-DACH2-LMANsh",0,0.012835363760126,0,0,0,0.00167638387649982,0.000716168766132007,0,0.166007587632647,0.0736785106542644,0.000186307534429727,0.0199136672316661,0,0.0468779294486515,0,0,0.000743594238742878,0,0.00081458845852925,0,0,0.00446483778294482
