"","Ex_TSHZ2_NR4A2","Ex_DACH2_GRIK4","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_SATB2_SOX6","Ex_DACH2_SLIT2","Ex_CACNA1H_PROX1","Ex_DACH2_CEMIP","Ex_DACH2_MGAT4C","Ex_CACNA1H_MCTP2","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_DACH2_ITGA9","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2","Ex_SATB2_OVOA","Ex_Pre_KCNH7","Ex_DACH2_RORB","Ex_KIAA1217"
"Glut-CACNA1H-1",0.0203546650208828,0.000188314259297196,0.000795646137431358,0.824230699524838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0569244205332876,0.000374699934623162,0.000927274795449184,0.554983991776266,0.000704031853889169,0.0230780132414,0.000423963660537512,0.000490478664811547,0.000816828868797686,0.000233286644525518,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0971325674753237,0.00244604961792066,0.00311186091736257,0.634988886503675,0,0,0,0,0,0,0.000562481320256081,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00266279201587466,0.00142885481605495,0.0015993717040861,0.715106526328396,0,0,0,0.0504625089592833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.00877601320907081,0,0,0.848741938590723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.13888123967699,0.142623471699102,0.00048704797210588,0,0,0,0.00416632211160988,0,0,0.232487546787487,0.00172509635864214,0.0117320176937267,0.00130833330714984,0.00178918622696048,0.00575918495808053,0,0,0,0,0,0
"Glut-DACH2-2",0,0.0429918098679146,0.109759741559471,0,0,0,0,0.000322678963999946,0,0,0.228790262609678,0,0.0324919744577336,0.00169720969496821,0,0,0,0,0,0,0,0
"Glut-DACH2-3",0,0.00195013468794977,0.014267046620312,0,0,0,0,0.55176064592662,0,0.00330869406393869,0,0.00544498620762312,0,0.00122966560214953,0.132042065750127,0.00284710517081945,0,0,0,0,0,0
"Glut-DACH2-4",0,0.0193466725445954,0.0607341941623627,0,0,0,0.0154006081962294,0.0749352420629237,0,0,0,0,0,0,0.0408162439207664,0.217279696801997,0.0199797502385478,0.0233373292059783,0,0,0,0
"Glut-DACH2-5",0,0.0232888346738065,0.078277944664421,0,0,0,0,0.000203968606920328,0,0,0.159825905438281,0,0.138880114989889,0.0020215360776357,0,0.000266518989186462,0,0,0.000266670559932802,0,0,0
"Glut-DACH2-6",0,0.00156923184093986,0.00197944702619694,0,0,0,0.00100234073099927,0.00483744181837895,0,0.357869818052216,0.000264860959047409,0,0,0,0.281457908007865,0.010583275578403,0.000827108035973053,0.00443970012616305,0,0,0,0
"Glut-DACH2-7",0,0.0954715337436435,0.10326692903561,0,0,0,0.0007713329823318,0,0,0,0.204762043163102,0,0.005905913566408,0,0.0182559334751537,0.00351596207991781,0.000341568523391014,0,0,0,0,0
"Glut-DACH2-8",0,0.00149693266804196,0.000506600626530832,0,0,0,0,0,0,0.0239845338569607,0,0,0,0,0.773759864484943,0,0,0,0,0.000470537106889778,0,0
"Glut-DACH2-HVCra",0,0.0869613870141037,0.010866949964879,0,0,0,0.0946347606532967,0.000672447717729976,0,0.000281953214442549,0.135526136514312,0,0.000500417569235247,0,0.00177339898448703,0.00190023068716827,0.00126913402186122,0.00353275147745261,0,0.00037133090273742,0.000498791925106038,0.0023169035020196
"Glut-DACH2-HVCra-Int",0,0.112678271507575,0.0542276793519923,0,0,0,0.00171991782457236,0.000435885715637359,0,0,0.25561725288825,0,0,0,0.000432063030614372,0.00384641175959595,0,0,0,0,0,0
"Glut-DACH2-HVCx",0,0.00387657125173062,0,0,0,0,0.0248325070372815,0,0,0,0.000730769512317542,0,0,0,0.0034287501269626,0.00531263345450768,0.137224124665134,0.194677563803384,0,0,0,0.054320859993716
"Glut-DACH2-LMANco",0,0,0,0.000288033213884268,0,0,0,0,0,0.0319964594932569,0,0,0,0,0.631183866318587,0,0,0,0,0,0,0.0242851960643464
"Glut-DACH2-LMANsh",0,0.0143747751373659,0.0505649859747965,0,0,0,0.000235567348415563,0,0,0,0.0607477734113741,0,0.193214706863345,0,0.0622352196735865,0.000272070234054447,0,0,0,0,0,0
