"","Ex_DACH2_RORB","Ex_KIAA1217_BCL6","Ex_DACH2_ADAMTS5","Ex_Pre_KCNH7","Ex_CACNA1H_LHX9","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_BCL6","Ex_CACNA1H_PROX1","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_SATB2_SOX6","Ex_DACH2_SLIT2","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_SATB2_FOXP2","Ex_DACH2_ITGA9","Ex_DACH2_GRIK4","Ex_DACH2_LHX2","Ex_SATB2_ZNF385B","Ex_DACH2_CEMIP","Ex_KIAA1217"
"Glut-CACNA1H-1",0.000414145111318039,0.000410827044608916,0.000855712057015447,0.00113510510770671,0.684422985585527,0.000469615942184703,0.000319256765562866,0.0683801593092399,0.00291513230891613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.000382884137065893,0,0.000535793774962676,0.0141711930710741,0.3787919302259,0.00660471868446541,0.00332350248848762,0.112425753555838,0.00515217690531748,0.00165141768332854,0.00541568826033295,0.00135364347484612,0.0496554970645199,0.00160539254938104,0.000377044388645493,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00102465329319126,0,0.0103054619008509,0.00792513365355194,0.40818609272495,0,0.00154446449552833,0.188093225926787,0.00487586489215395,0,0,0,0.00151273648382975,0.00162328835235398,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0,0.668556346758226,0,0,0.00427177556301319,0.00159250223110675,0,0,0,0,0,0.0475546548366193,0.00138525571377007,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0,0.00234857847007232,0.595206697038912,0,0,0.082097083417252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.0171332837735274,0.00122910231123759,0,0.00157264126262643,0.00518478204241555,0,0.110054669539875,0,0,0,0,0.00391723122385681,0.00528735714225604,0.00609090728770281,0.281146715407822,0.00127289386990098,0.00023604892903124,0.00570027999919978,0.123633891312601,0.00655348390953461,0,0,0
"Glut-DACH2-2",0.000584867137924303,0,0.0262178533509715,0.00052572462606451,0,0,0.00663281142640587,0,0.0794273780542344,0,0,0,0,0.00120738950696202,0.000268144393733982,0.0233243478482536,0.232299571473929,0,0,0.000805355633266779,0.031377265003078,0.0193705230866778,0.000513582525626907,0,0
"Glut-DACH2-3",0.000839103423357116,0,0,0,0,0.00314479393117065,0.000354022397936237,0,0.0117908562694551,0,0.000600726055136436,0,0,0,0.572830920894711,0,0.000340029063113853,0.0937661471943182,0,0.0037294464765231,0.00195845926632538,0,0,0.0319711062171785,0
"Glut-DACH2-4",0,0.0276650605852328,0,0,0,0,0,0,0.0423473045302173,0.00135605646638513,0,0,0,0.0284016952050433,0.073433878119488,0,0.00158408275779983,0.0876235701213045,0.0137196713977559,0.178351478039127,0.00292315802506148,0,0,0,0.00126714444507859
"Glut-DACH2-5",0.000513954768444035,0,0.184862904936955,0.000530151413748474,0,0,0.0027247595824174,0,0.0311969227890297,0,0,0,0,0.000958791594702838,0,0.00117840055890399,0.159502703078629,0,0.000246038957951671,0.000286635794400023,0.0156412611674352,0.041408494876112,0,0,0
"Glut-DACH2-6",0,0.00106187414503939,0.000333918229299985,0,0,0,0,0,0.00154162155955908,0,0,0,0,0.00426813982621388,0.00098329333905204,0,0,0.134506164009906,0.000829854503368343,0.013921002726772,0.000387313675848791,0,0,0.581544338538829,0
"Glut-DACH2-7",0,0.000250923848446448,0.0229245198523426,0,0,0,0.00561825710094694,0,0.0461143817634767,0.00112167108105943,0,0,0,0.012131592248852,0.00092861999539647,0,0.259864647111636,0.0115529515980302,0.00037806280205547,0.0179130789401592,0.0680692746382477,0,0,0.00315559765856646,0
"Glut-DACH2-8",0,0,0,0.000583141699030352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565692716966562,0,0.000555265397522661,0.000811819326559986,0,0,0.111908862902528,0.000693179221380409
"Glut-DACH2-HVCra",0,0,0,0.00645999969075949,0,0,0.00318698499409269,0,0.00135388794539905,0,0,0,0,0.390725778460583,0,0.000449116423166125,0.00478076328105972,0,0,0,0.0937768124386086,0,0.00225200796024644,0,0
"Glut-DACH2-HVCra-Int",0,0,0.00359165580529428,0.00109160528706792,0,0,0.00850985009152466,0,0.0251822215902416,0,0,0,0,0.0905203851257048,0,0.0202618896343477,0.157439414907151,0.000296966681433509,0.000604876279520105,0.00458275994686948,0.105297986937349,0.00200637931666982,0,0,0.000672627716315523
"Glut-DACH2-HVCx",0,0.411602012454023,0,0.008241899192583,0,0,0,0,0,0,0,0,0,0.0465876198192549,0.00183837544709167,0,0,0,0.0242832082620839,0.00575184548063786,0,0.000809976835712925,0,0.00123606907354462,0.0199753760444908
"Glut-DACH2-LMANco",0.0047078436819318,0,0,0.0130615040156883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261867293047677,0,0,0,0,0,0.293565544021751,0
"Glut-DACH2-LMANsh",0.00391366940764679,0,0.317488274145552,0,0,0,0.00599885584207513,0,0.0101155292261738,0,0,0,0,0.00437377256453094,0,0.000306992137941699,0.0215343233153771,0.0189398182948604,0.0110534399474321,0.000694697407748556,0.015585163774901,0.021615235911266,0.000636223440370353,0.000941782918937421,0
