"","Ex_Pre_KCNH7","Ex_SATB2_OVOA","Ex_DACH2_ADAMTS5","Ex_CACNA1H_LHX9","Ex_DACH2_ITGA9","Ex_DACH2_NR4A3","Ex_CACNA1H_MCTP2","Ex_TSHZ2_NR4A2","Ex_DACH2_RORB","Ex_CACNA1H_KIT","Ex_BCL6","Ex_SATB2_SOX6","Ex_CACNA1H_CPA6","Ex_DACH2_SLIT2","Ex_DACH2_LHX2","Ex_Pre_SATB2","Ex_CACNA1H_PROX1","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_SATB2_ZNF385B","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_DACH2_TAC1","Ex_KIAA1217"
"Glut-CACNA1H-1",0.00148269819770252,0.000234033160616477,0.00049038983440689,0.72490999701213,0.0010725070044198,0.00194104619942652,0.000533903677899859,0.0545198153896714,0.000445914086445897,0.00048268755888623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0117609831956435,0.00411258070477689,0.000769446176540607,0.373557625192083,0,0.00341720989301535,0.00853987252688394,0.0918492015104371,0.000333143177872692,0.0526307150385195,0.00260305027012111,0.00364980025214845,0.00241853142939004,0.000389777031301218,0.000305231424620983,0.00186451243448631,0.00355532427987627,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0115983830719994,0,0.00343962408260879,0.442560059334045,0.0007334643627866,0.00757234844978173,0,0.15059713726933,0.000886212109331723,0.00301567086540152,0.000630170595554011,0.00381701536284184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0.670457755780917,0,0.00312521298110328,0,0.00425210162644809,0,0,0,0,0,0.0450656357959665,0,0,0,0.00240462383316434,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.00108886613445394,0,0.00111738147567788,0.65186236707982,0,0,0,0.0631606193848716,0,0,0,0,0,0,0,0.000337787713967877,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.00128077359013052,0.0052186927594652,0.0181773362908958,0,0.0175179684965028,0.109486713164054,0.00123403884347316,0,0,0,0,0.00323822310248877,0,0.00389652677995941,0.0132058694031798,0.000535752383665996,0,0.00444072187241499,0.000741966738484805,0.10712777271203,0.280997182251657,0,0,0,0,0,0
"Glut-DACH2-2",0.00028951566495488,0.00863887232871569,0.0205081406156688,0,0.00185837683227476,0.0759994873538748,0,0,0.000244715984287359,0,0,0.00132999416255111,0,0,0.0354544604396258,0,0,0.0198581833382504,0,0.0410448069416332,0.215724931557162,0.000419339768865476,0,0,0,0,0
"Glut-DACH2-3",0.000622468515972382,0,0,0,0.00731739786381846,0.00732360145211677,0.00367743274879123,0,0.00100088605812412,0,0,0,0,0.55533384104588,0.00343344089580263,0.000476477277616477,0,0,0.0999052020420434,0.000658474648549124,0.000342442724748394,0,0.0288259705494496,0,0,0,0
"Glut-DACH2-4",0,0.00137806506219986,0,0,0.206499910174906,0.0333544856016458,0,0,0,0,0,0.0269667841127172,0,0.0657402694886657,0,0,0,0,0.0793839526609427,0,0.00149997608272122,0,0,0.0139154140417433,0.0309832029796534,0,0
"Glut-DACH2-5",0.000571348689193271,0.00288479785372448,0.159224174599549,0,0.00369445746083136,0.0328854146734132,0,0,0.00048022656279513,0,0,0.001001532961735,0,0,0.0500581688467334,0,0,0.00255460931787121,0,0.0134145224929356,0.164729629780912,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0.00132236002907389,0,0.0168194360362208,0.00124568846771091,0,0,0,0,0,0.00351418733186231,0,0.000493834134688114,0,0,0,0,0.148020891361397,0.000386472938351051,0,0,0.560877081572444,0.000863560397798074,0.00175513051085049,0.000415869189711914,0
"Glut-DACH2-7",0,0.0067671344501117,0.0271655481606402,0,0.0356983012517661,0.0449263140693706,0,0,0.000272876956353006,0,0.0017496765393175,0.0116044780728311,0,0.000360398007367778,0.00102308481886775,0,0,0.000402616534336407,0.00962415902569917,0.0599422606249441,0.236261826519743,0,0.0025249927938357,0.000299658217348275,0.000630585543305018,0.000321832714365609,0
"Glut-DACH2-8",0.00317103214905541,0,0,0,0.00181454438377186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576661504635879,0.000716843651453613,0,0,0.101220841312234,0,0,0,0.000657350753237451
"Glut-DACH2-HVCra",0.00545697475657504,0.000364370002618939,0,0,0,0.00162107425020569,0,0,0,0,0,0.396356897759272,0,0,0,0,0,0.000461692771105319,0,0.092550317081831,0.00703037985171137,0.00197901774289899,0,0.000315265395251496,0,0,0
"Glut-DACH2-HVCra-Pre",0.00104731459222402,0.00879163591574831,0.00518867807428345,0,0.00813737493909557,0.0255503613364516,0,0,0,0,0,0.0866519815798103,0,0,0.00178644671707476,0,0,0.0182754230399726,0,0.104304178033543,0.159617936372936,0,0,0.000639796451972116,0,0,0.000402603858296986
"Glut-DACH2-HVCx",0.0087166183104056,0,0,0,0.00568153056565258,0,0,0,0,0,0.0034361275545267,0.0452419640149296,0,0.00235909655786716,0,0,0,0,0,0.000990279158863158,0,0,0.000973875817878018,0.0501599446579689,0.349043021184077,0,0.0270151364997274
"Glut-DACH2-LMANco",0.0309571233699544,0,0,0,0,0,0,0,0.0018568826543777,0,0,0,0,0,0,0,0,0,0.261166792754789,0,0,0,0.271127658258262,0,0,0,0
"Glut-DACH2-LMANsh",0.000236409621088926,0.00667871129900478,0.269201660068924,0,0.00253054235859427,0.024577964473585,0,0,0.00351542948911014,0,0,0.0069503018818575,0,0,0.0140576094918185,0,0,0,0.026132656525447,0.0173067356444994,0.0350287187731073,0,0.000880470461937324,0.000797905716571346,0,0,0
