"","Ex_CACNA1H_LHX9","Ex_DACH2_ADAMTS5","Ex_DACH2_RORB","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_Pre_KCNH7","Ex_KIAA1217_BCL6","Ex_BCL6","Ex_CACNA1H_PROX1","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_SATB2_OVOA","Ex_CACNA1H_MCTP2","Ex_DACH2_LHX2","Ex_SATB2_SOX6","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_ITGA9","Ex_Pre_SATB2","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_SATB2_ZNF385B","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_KIAA1217"
"Glut-CACNA1H-1",0.733624978431489,0.000322385481500933,0.000341431935971477,0.0571097364902045,0.0020233163166386,0.00191050572140207,0.000434802902184745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.40085812489429,0.000783477205892817,0.000356294826953661,0.0969558189123274,0.00532497898665123,0.0111532634849675,0,0.00396445708026044,0.00458571792553737,0.00318373514959398,0.0453087334724458,0.000388423519522884,0.00352646668364315,0.00518493915536659,0.000350364483921525,0.00119303080798557,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.459075140268029,0.00591078795003282,0.00100915508629669,0.157917664056887,0.00684858384481077,0.00516157447651668,0,0,0,0,0.00170999800053387,0,0.000734930527547436,0,0,0.00580382963753143,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.670768874030292,0,0,0.00492040883204602,0.00153324503258197,0,0,0,0,0,0,0.0523209903843678,0,0,0,0.00115345524088505,0.00128719861761997,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.728721108300429,0,0,0.0466495041022503,0,0.00283255589390687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0174690522556528,0,0,0.110973110986757,0.00137711543445262,0,0,0,0,0,0.00411971496565854,0.00655877844443893,0.00144483980098372,0.00837839708161325,0.00398508208729057,0.00618278882258486,0.00125914702751141,0.0108002221908617,0.000528558373153215,0.116689636582909,0.282246496722294,0,0,0,0
"Glut-DACH2-2",0,0.0183606023938357,0.00062933666284881,0,0.0801490259639209,0.000834917119186688,0,0,0,0,0,0,0.00847882565112456,0,0.0284822864003753,0.00138752425808446,0.0185864745214023,0,0.00176675751971099,0,0.0320100253282635,0.240796903570557,0.000585433012229165,0,0,0
"Glut-DACH2-3",0,0,0.00076847620972413,0,0.00940992874809119,0,0,0,0,0,0,0.563692275040755,0,0.00323694003835647,0.00156108322733604,0.000266281486661413,0.000305712896106072,0.0959905063856645,0.00473586602021441,0,0.00184460473475865,0,0,0.0407910089435399,0,0
"Glut-DACH2-4",0,0,0,0,0.0415116219053142,0,0.0326879641242702,0.00113934332504116,0,0,0,0.0780653486372882,0.000872643224222854,0,0,0.0314163366094864,0,0.0766349752835791,0.177529134666452,0,0.00198716436453782,0.00163636044757452,0,0,0.0188847257237807,0
"Glut-DACH2-5",0,0.173682039999333,0.000472036255551628,0,0.0319902433953536,0.00065851263150877,0,0,0,0,0,0,0.00291380311705478,0,0.0317143048391415,0.000860017228552744,0.000638858737896157,0,0.000675286695579591,0,0.0174259834180268,0.182309156162586,0,0,0,0
"Glut-DACH2-6",0,0.000364398782537635,0,0,0.000678252612582867,0,0.00235334775675398,0,0,0,0,0.00150260329033141,0,0,0,0.00152255704172703,0,0.145857361013375,0.0169252943666972,0,0.000465167805923051,0.000308636795317131,0,0.572516034368463,0.0015379154902127,0
"Glut-DACH2-7",0,0.0245705068493569,0,0,0.0481729168405032,0,0,0.0010080257003103,0,0,0,0.000929578009968495,0.00572754007499695,0,0,0.0124089432239028,0.000300337724315238,0.0107952622045791,0.0280605604024007,0,0.0633639607992281,0.251781160634022,0,0.00316399686405241,0.000340984719883741,0
"Glut-DACH2-8",0,0,0,0,0,0.000549854215000202,0,0,0,0,0,0,0,0,0,0,0,0.577011842358453,0.000663857028859315,0,0.000785530377806524,0,0,0.109321880359614,0,0
"Glut-DACH2-HVCra",0,0,0,0,0.0016653298809675,0.00717453812444615,0.00182236249675631,0,0,0,0,0,0.00899868297686878,0,0,0.358671073529806,0.000445723832200336,0,0,0.000332359758669356,0.108727992149425,0.00472099909949984,0.00199044607496609,0,0.000293502303353344,0
"Glut-DACH2-HVCra-Int",0,0.00420035987993914,0,0,0.0234930132751197,0.000593999224623038,0,0,0,0,0,0,0.0103407218315948,0,0.00160102077507229,0.100518814357817,0.0171997542774217,0,0.00729230947844201,0,0.115438530497875,0.144777274291414,0,0,0.000716139764698282,0.000516357008128764
"Glut-DACH2-HVCx",0,0,0,0,0,0.0029409125322172,0.37214413269737,0,0,0,0,0.00196283911217873,0,0,0.000880885774412862,0.0377775339345916,0,0,0.00693694394983122,0,0,0,0,0.00135680505566276,0.065171964642611,0.0256303824982801
"Glut-DACH2-LMANco",0,0,0.00127117086631727,0,0,0.0197077781266813,0,0,0,0,0,0,0,0,0,0,0,0.232279635869451,0,0,0,0,0,0.322136123198071,0,0
"Glut-DACH2-LMANsh",0,0.303870291149122,0.00228582415870047,0,0.016367693777585,0.000208817238769849,0,0,0,0,0,0.000315895049846515,0.00564514367207304,0,0.0076116633674492,0.00421096079284898,0,0.0224365203381686,0.00295251568410257,0,0.018496161379484,0.0346633877634011,0.000638163785588353,0.00146212426236688,0.00475370751030961,0
