"","Ex_DACH2_NR4A3","Ex_KIAA1217_BCL6","Ex_CACNA1H_KIT","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_DACH2_SLIT2","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_SATB2_SOX6","Ex_DACH2_ITGA9","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_RORB","Ex_DACH2_ZMAT4","Ex_Pre_KCNH7","Ex_DACH2_MGAT4C","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_KIAA1217"
"Glut-CACNA1H-1",0.0011388070795262,0.000319729184941809,0.000629368284634778,0.0235852717768623,0.783527468957414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.000746413637851444,0.000297459919744206,0.0812368949868637,0.0544471326030231,0.439232572407631,0.000390625342245081,0.000471396820232173,0.0003562753825967,0.00250993927322973,0.000759994066756859,0.000791656023549673,0.000292917005649908,0.000312330863781123,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00277054177646522,0,0.00305514464432808,0.0940954685441441,0.579813526710324,0,0,0,0,0.000489819676199433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0,0.0042161284723339,0.69322847627532,0,0.0656312978834329,0,0.00154091598237851,0,0,0,0,0.0015755554375744,0.00108712305923004,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0,0.0321887959495391,0.759896231555781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.134124331584063,0,0,0,0,0,0.00481936324668262,0,0,0.183908319112566,0.00206193786200091,0.00133418042328462,0.000605187980810031,0.0043562113448189,0.00149503781779493,0.0051633086624235,0.0117995871196041,0.00124955795596944,0.00120418261295675,0.000801578730654284,0.180108864942789,0,0,0
"Glut-DACH2-2",0.104344731392366,0,0,0,0,0,0.000361287202026657,0,0,0.113174138719686,0,0,0,0.000328133637119649,0.00098313392928991,0.0134402748496236,0.0831142410432017,0,0,0.000516960755163429,0.0840882598663347,0,0,0
"Glut-DACH2-3",0.0100839890700355,0,0,0,0,0,0.592015131318043,0,0.000881466417280077,0.00170124972213259,0.00370062674897129,0,0,0.00768456146693721,0,0,0.00400612475673151,0,0.099975551457934,0,0,0.00724552965867023,0,0
"Glut-DACH2-4",0.0639011054822963,0.018481702454418,0,0,0,0,0.0669438843993767,0,0,0.0186884426857304,0.000984573259045756,0.000884104866839418,0.0434884380277175,0.209399686724038,0,0,0,0,0.0434262767670267,0,0.00144672532938359,0,0.0232542233973535,0
"Glut-DACH2-5",0.0397569910908303,0,0,0,0,0,0,0,0,0.104469174482659,0,0.000391249351524619,0.000282004071937558,0.000296755642324927,0,0.0989178434507463,0.0809386525381378,0.000372162847954522,0,0,0.0424802797474703,0,0,0
"Glut-DACH2-6",0.00112831214539995,0.000979369375897531,0,0,0,0,0.00150221181200348,0,0,0.00202591644056001,0,0,0.0148105217112624,0.00756612127443023,0,0.000286312953360773,0,0,0.211619004616299,0,0,0.466373689784422,0.00105420977064108,0
"Glut-DACH2-7",0.0705213072874382,0.000369921442107873,0,0,0,0.000562513500421983,0,0,0,0.229554024058409,0,0.00217506957048909,0.00675914679209883,0.00417390478461853,0,0.00883671132686067,0.000354069690231941,0.000620297464352399,0.0159862260799228,0,0.0899377091823474,0.00075205047588435,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0,0,0.00179788906584013,0,0,0.00042054434234268,0,0,0,0,0,0.687074033039819,0.000663501101374388,0,0.0464755120670796,0,0
"Glut-DACH2-HVCra",0.0264214626905737,0.00480700998803583,0,0,0,0,0.000333154318018347,0,0,0.105574568181885,0,0,0.13190717114687,0.000262527822433842,0,0,0,0.0206132446336297,0.00232209444120243,0.00491092062951086,0.053676476223436,0,0.000684322775858844,0.00127242768433126
"Glut-DACH2-HVCra-Int",0.0727718508281043,0.000306256136809387,0,0,0.00025439892202017,0,0,0,0,0.189828062699139,0,0,0.0172391563914631,0.0049093677834308,0.00037255121228496,0.000322576167627992,0.00555694285188374,0,0.000455546895192291,0,0.116972820397273,0,0,0
"Glut-DACH2-HVCx",0,0.283279745577135,0,0,0,0,0.000901022833898959,0,0,0.00168620507616872,0,0,0.0257005688673721,0.00324711278714324,0,0,0,0,0.00143770867572349,0,0,0,0.197904931362459,0.0401110486735104
"Glut-DACH2-LMANco",0,0.00111291073827944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000840754504493845,0.511226376200143,0,0,0.0980954158007235,0,0.0213664693500732
"Glut-DACH2-LMANsh",0.0342079493707248,0,0,0,0,0,0,0,0,0.0765825500132064,0,0.00490847605340024,0,0,0,0.114996713733408,0.0522189958148857,0.0513465141817641,0.0231358048282129,0,0.00359481666554573,0,0,0
