"","Ex_DACH2_ITGA9","Ex_CACNA1H_MCTP2","Ex_Pre_KCNH7","Ex_SATB2_OVOA","Ex_DACH2_RORB","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_KIAA1217_BCL6","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_SATB2_SOX6","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_Pre_SATB2","Ex_DACH2_ADAMTS5","Ex_CACNA1H_PROX1","Ex_DACH2_LUZP2","Ex_DACH2_SLIT2","Ex_DACH2_ZMAT4","Ex_SATB2_ZNF385B","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_SATB2_FOXP2","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_DACH2_TAC1"
"Glut-CACNA1H-1",0.000817462226118067,0.000426633673341557,0.00111126907409624,0.00100889016058076,0.000387773793204991,0.0672008618399692,0.00276852358243298,0.000832499134303941,0.692209144141703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0,0.00659452325384485,0.0127626616312598,0.00727345532104054,0.000258203466446284,0.109806408013341,0.00768766866750311,0.000351198984458331,0.339109951134658,0.00413424194434555,0.00094969820915319,0.00353642557263641,0.0802724714338647,0.000294222446458672,0.00216350863270793,0.00914483870350788,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0,0.0126887896953343,0.000871044807705284,0.0012662568918531,0.158311438562474,0.00698504918995445,0,0.42431373791974,0,0.00500740048914377,0,0.00567178839589277,0,0.0107910865906895,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.00466765220079175,0,0,0,0.00603011507630749,0.00191135671533616,0,0.642251109753429,0,0.00210242644162377,0,0,0,0,0.00191558151980552,0.00249404595817429,0.061937383607325,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0.00269406511761058,0.000380324832969189,0,0.105616542716141,0,0,0.582213724029563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.0117312744926072,0.00199166636729168,0.00225434076929601,0.0101463828887872,0,0,0.113720335279973,0,0,0,0.00473800552043069,0,0,0.000448969676215969,0.0162930827178069,0,0.0100733219919899,0.00388185035911752,0.000951383162491082,0.000548925253677562,0.133702874110486,0.2453022636096,0.0133460867605522,0,0,0,0
"Glut-DACH2-2",0.00152936976868544,0,0.00115370516734073,0.00954738172538113,0.000569384622819359,0,0.07897618448624,0,0,0,0.00228954376210252,0,0,0,0.0217032581871211,0,0.0353019102988273,0,0,0.000774029545610642,0.0363514624094516,0.203155158459481,0.033809406489025,0.000289424562105344,0,0,0
"Glut-DACH2-3",0.00852077580507226,0.00490422458545883,0.00144438458006743,0,0.000942423579747363,0,0.0139817192319622,0,0,0,0,0,0,0,0,0.000876144084557442,0.000576896238936817,0.543014313754559,0.10203767639246,0,0.00118592381954563,0,0.0025889852757018,0,0.0423790175525558,0,0
"Glut-DACH2-4",0.176071316830224,0.000942178118397864,0,0.00114872105112194,0,0,0.0352382673080036,0.0300309265563067,0,0.00143857902034025,0.04138859928226,0,0,0,0,0,0,0.0683810669651626,0.0890279671964721,0,0.00383505827105165,0.00173235444278347,0,0.0178020654656786,0,0.0016914704588684,0
"Glut-DACH2-5",0.00102746040775541,0,0.000851654875202442,0.00249429500875391,0.000762970415512983,0,0.0368344516189814,0,0,0,0.000383189244844471,0,0,0,0.16617072615842,0,0.00116955485477817,0,0,0,0.0178360044471538,0.147551476386565,0.0678038923901138,0,0,0,0
