"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_SATB2_SOX6","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2","Ex_DACH2_CEMIP","Ex_KIAA1217"
"Glut-CACNA1H-1",0.798801956550856,0.00108587045189587,0.000326531638026053,0.00036126568733888,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.753803365690828,0.00215442176679854,0.00173665792875611,0.00072890229067743,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.724929310744074,0.00581648350265405,0,0.00122860764419102,0.00186962191653261,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.727115061530682,0.00130255055107244,0.0275194493296468,0,0.00103039894723039,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.838505488917982,0,0.00027486523431217,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.120958802288879,0.00433741015767221,0.00903523025243168,0.229953094346165,0.00212900923280313,0.0337599790703052,0,0,0,0,0
"Glut-DACH2-2",0,0.106811906768726,0.000429298356906835,0,0.189546808174863,0,0.0381768657417928,0,0,0,0,0
"Glut-DACH2-3",0,0.0062041124668416,0.54287074885145,0.00540355015259245,0.00102839011471126,0.0596113071009034,0.000283442844406196,0,0,0,0,0
"Glut-DACH2-4",0.000957024497629493,0.0312207481242426,0.0680741205252063,0.18503143592187,0.0134765320186426,0.0364835290777556,0,0.00188364180160649,0.00489121475919717,0.00107230224644182,0,0
"Glut-DACH2-5",0,0.074752830817448,0.000292763283845831,0,0.166650713108143,0,0.0626818808744491,0,0,0,0,0
"Glut-DACH2-6",0,0.000627491217433371,0.0286971548562074,0.00436483704917945,0.000739752681926603,0.330846730481652,0,0,0,0,0.0633833803654791,0
"Glut-DACH2-7",0,0.0489383962305341,0.000523854093725418,0.0050554962522491,0.221112600745739,0.0231516144203269,0.0434481126930885,0,0,0,0,0
"Glut-DACH2-8",0,0,0.0022454853072341,0,0,0.533991088437763,0,0,0,0,0.0029829391828213,0
"Glut-DACH2-HVCra",0.000166610361379938,0.0116389488848536,0.00332329972540077,0.0382282448707571,0.22913318536704,0.00565414301291454,0.02293391836565,0.000321368790221722,0.000815742656096241,0.000204326915286065,0,0
"Glut-DACH2-HVCra-Pre",0,0.0472626316226859,0.000333376389487993,0.00929097304398371,0.26404375557009,0.00103609232095189,0.0339944255651047,0,0,0,0,0
"Glut-DACH2-HVCx",0.0111125657910787,0,0.000906213975924501,0.057835743392842,0.00541652462075741,0.033660939734584,0,0,0.103340065496457,0.00122148820645597,0.00718571089140119,0.000537571318379237
"Glut-DACH2-LMANco",0,0,0,0,0,0.499207067684645,0,0,0,0,0.000523822324991229,0
"Glut-DACH2-LMANsh",0,0.018841028292104,0.000223178450736362,0.000579094942262821,0.139198498480056,0.0906564211682635,0.046462266034066,0,0,0,0,0
