"","Glut-CACNA1H-1","Glut-DACH2-HVCx","Glut-DACH2-5","Glut-DACH2-4","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCra","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-7","Glut-DACH2-HVCra-Pre","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-3"
"Ex_BCL6",0.00279450553602341,0.000828634136060808,0.00718758521711931,0.00904935386435332,0.0684583669965794,0.0164987968707,0.408516013486597,0.090893533756391,0.000496206778276091,0.0413195357770756,0.00207287643018837,0.00940043322610188,0.00200682747646782,0,0,0,0
"Ex_CACNA1H_CPA6",0.0219469536501245,0,0,0,0.856081388485754,0.016342117449945,0,0,0,0,0,0.0028945965866729,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0163169555683092,0,0.000774003332092616,0.00150816964917118,0.730824163055957,0.0731209632591108,0,0,0,0.000531070329600132,0,0.00321396511203365,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0948386584085377,0,0,0,0.246785719269665,0.415222076610923,0.00313519694163888,0,0,0.00952311761547963,0,0.00154668569549398,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0178375026222841,0.000729037017255371,0.0120999593180655,0.0115377594498756,0.277543819868461,0.077150812458727,0.0993492680226118,0.00200722248482836,0.000543252304298419,0.0759467916522437,0.00482251448910349,0.010833895277305,0.00196272610495483,0.00132071289357104,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.0101789964673838,0,0.566129363121258,0.121526702086708,0.0241219630748524,0,0,0.0217467223608177,0,0.00312881948290487,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.000444108324453217,0.16358149171628,0.00684487855540729,0.000359981881137038,0,0.044842037894674,0.0160215788468748,0,0.110853248823531,0.0530352200663781,0.0616932509521523,0,0.0116023070449827,0.0152505775675869,0,0
"Ex_DACH2_CEMIP",0,0,0.0013813808408366,0.00564207793999489,0.00130363816875968,0,0.209941148400431,0.327642140271022,0,0.005422981501676,0.129087043127258,0.00177533679151769,0,0,0,0.015332153463828,0
"Ex_DACH2_GRIK4",0,0,0.0600998205229147,0.000910721589537568,0.00214453294681231,0.00885779160112404,0.00312958084981261,0.000348197861851981,0.00937622390273119,0.398491112600099,0.00111269372873606,0.0639880014789073,0.01043729283347,0.0065369232100592,0.00041935782420538,0,0
"Ex_DACH2_ITGA9",0.00179492204873206,0.00592135710321568,0.00445868674604107,0.0843252417235063,0.00407306309151308,0,0.160176945238464,0.0451716949857442,0,0.0834505727803561,0.153383569247368,0.0468059461778069,0.00227751137784464,0.000238041003891732,0.000367196867231912,0,0
"Ex_DACH2_LHX2",0,0.000381867551928001,0.227181962270873,0.000317368346236193,0.00314169703630185,0.00374633271535566,0.0268002656769007,0,0,0.317782137566587,0,0.0107821944384398,0.000709983065732003,0.00520744642356003,0,0,0
