"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-5","Glut-DACH2-8","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCra","Glut-CACNA1H-3","Glut-DACH2-LMANco"
"Ex_BCL6",0.00788361275511204,0.000284073032717982,0.0521985632199099,0.392459202651394,0.0504971605798071,0.0040254725521392,0.000420039018173071,0.00806768146107554,0.00962757584739187,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00956847103730108,0,0.667930234661392,0,0.00545816114396426,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0367711249072071,0,0.553707311762386,0,0.00470451736032627,0,0,0,0.0401074329816804,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.122973811873263,0,0.266678852041566,0.00237990260974999,0.016041080658546,0,0,0,0.192191566599711,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0507944995195897,0.000467840988496117,0.218624864220165,0.0747566820502844,0.0865588598818532,0.00422352548816851,0,0,0.0125812039680444,0.000508146386506347,0.00473980768993572,0.000595259622723545,0,0,0
"Ex_CACNA1H_PROX1",0.0013070864626711,0,0.508701826171334,0.00526030879290309,0.0455730345708737,0,0,0,0.0257644829217156,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.00284807487853458,0,0.0654500073738537,0.255684596500889,0.00487089829811146,0,0.00388727310452491,0,0.0057868281956482,0.0416795122402339,0.000472652661487219,0,0,0
"Ex_DACH2_CEMIP",0.00095668780141347,0,0,0.362162447865314,0.0064325873739543,0.00180644345904784,0,0.0599636926942033,0,0,0.112454946367266,0,0,0,0
"Ex_DACH2_GRIK4",0,0.00122367180880705,0.00149159514595896,0.00168318563583772,0.482629813376307,0.000279213586082932,0,0,0.00174480140729299,0.00147840738907921,0.00118895308132774,0.00735145371477532,0.0043557622687231,0,0
"Ex_DACH2_ITGA9",0.00652369955724768,0.00160227647033073,0,0.166304176627088,0.121887712002397,0.0481740770660226,0.000249087725912774,0.0132212922801236,0,0.00105182601801973,0.0710009268879605,0,0,0,0
