"","Glut-CACNA1H-1","Glut-DACH2-HVCx","Glut-DACH2-8","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-2","Glut-DACH2-5","Glut-CACNA1H-4","Glut-DACH2-1","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-HVCra-Int","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-DACH2-LMANsh","Glut-CACNA1H-RA","Glut-DACH2-HVCra"
"Ex_BCL6",0.000508101794281859,0.00812409458310219,0.000513278250637672,0.0100476837247103,0.371382718448844,0.00336898384478324,0.00897269044275949,0.00044929972828104,0.01853083672551,0.0226105476515966,0.0256133882479739,0.0722958885387386,0.00290012726300261,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00708391262365144,0,0,0,0,0,0,0,0,0,0,0.860310466987309,0,0.00105318172506216,0,0,0,0
"Ex_CACNA1H_KIT",0.0109669431005846,0.0012653323745142,0,0.000583692733190594,0,0,0.00108826757014032,0,0.0786161893894088,0.000710416662182219,0,0.647310917319759,0.00146529912770762,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.107731072449144,0,0,0,0.0042664028811416,0,0.000752330541666899,0,0.357857785688144,0.00644510688974327,0.000726152081575307,0.229225910531647,0,0,0.00091096586394703,0,0,0
"Ex_CACNA1H_MCTP2",0.00983602743683283,0,0.0037685828632655,0.0110992343876535,0.139190872281984,0.0086916520692458,0.0032406265347261,0.00253149561311774,0.0478979368189299,0.0438060206016503,0,0.250742991666242,0,0,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0,0,0.0108812899493355,0,0.00740193843747027,0.00106984745373104,0.085698745117768,0.0242431080045897,0,0.500926483213599,0.00102558052112142,0,0.000564421135850399,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0.0185624013206942,0.00405636877447876,0.0366271836863768,0.044127649644126,0.0519061580272412,0.133898896888553,0,0.100053305551983,0.00811277553386268,0.000530075090886766,0.00179257101587772,0.00350059090145054,0.000343356475047976,0.0100627892182347,0.000263973263674738,0
"Ex_DACH2_CEMIP",0,0,0.113459033736048,0.00562863116290162,0.25862627810947,0.000903951851747386,0.00382174782298261,0.000369850578940085,0,0.00342434066222406,0.204120863708645,0.00128811167378878,0.000358661213368755,0.000697919545408606,0.00556348231585921,0.000268604257724058,0,0
"Ex_DACH2_GRIK4",0,0,0.000353758016711624,0.000273660403644574,0.0034188176859968,0.0509293314539116,0.042945239794846,0.0324489410763625,0.00517027629334875,0.403417405669279,0,0.00151512837533599,0.0105387313958701,0,0.000478418889139824,0.000345679374266656,0,0.00524575737341948
"Ex_DACH2_ITGA9",0.00260277254755194,0.000644243817272882,0.0847098579315302,0.088487116940676,0.150566902157846,0.0304128822390337,0.00811768343073389,0.00409389732483404,0.000178070306518678,0.0831476079719003,0.0304454878591523,0.000715725314583349,0.00764589274381033,0,0,0.00033872962580047,0,0
"Ex_DACH2_LHX2",0,0,0,0,0.0315315056002168,0.0041824859036116,0.0551660228465174,0.104335739795903,0.0012583047898142,0.306309280684291,0,0.00361408749998574,0.000656794107735584,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0,0,0,0.0305393757368073,0,0.0663623271884998,0.00805798434410132,0.070744994206082,0.322185770116222,0,0.0105518059609732,0.00645238553929533,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0,0.00089320648152861,0.00495117785047014,0.00539911977315594,0.0288430484202427,0.063444874429789,0.0447154422532303,0.00150317343014717,0.382733959305014,0,0.000545778457175264,0.00712264196785803,0.000333660421982831,0,0,0,0.000567562964966692
"Ex_DACH2_NR4A3",0,0.000203756781965844,0.000680066640930599,0.00761147035676959,0.0143342033805144,0.0157767928888308,0.0249797893026,0.0282257744901105,0.00144903499274079,0.479601212960956,0.00138883508349909,0.0012942059247283,0.000951702695534668,0,0,0.00388198244823161,0,0
"Ex_DACH2_RORB",0,0,0.0215102249648146,0,0.577146931496617,0.000802665154510391,0.0138328357798727,0.00521406072796425,0,0.000537435333821266,0,0.00043683493226761,0.00386928125296589,0.00080750234486681,0.000491987826428488,0.000773549524055474,0,0
"Ex_DACH2_SLIT2",0,0,0.00138400267183553,0.007434490085045,0.612462282449642,0.00463634325089491,0.00211255309357082,0.000931209540913532,0.0265592725755933,0.0765281691863259,0.00153454694708164,0.00506997673205226,0.000397416288579817,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.243241522266468,0.00305132352771372,0.283152070160116,0.00547300607101351,0.00174285353982469,0,0,0.00199304415038865,0.0287596281191301,0,0.00139894354951723,0.000675080373677874,0.000931491583933206,0,0,0
"Ex_DACH2_ZMAT4",0,0,0.290087648384709,0.0105171432579943,0.325737953777034,0.00256830184389003,0.000871858645538918,0.000439626367463704,0,0.00208811458921946,0.0192412431834087,0,0.000412847927796817,0,0,0.00113080099292541,0,0
"Ex_KIAA1217",0.0296518416285304,0.15719710316497,0.0121935097216156,0.0492008741208091,0.00885438273757734,0.00134996980426983,0,0,0.00572684248119049,0,0.0211578224153257,0.0540932659689892,0.023574216856838,0.00108267342307607,0.000636420260003731,0,0,0.00108418025483184
"Ex_KIAA1217_BCL6",0.0235369698882971,0.110419195997086,0.00725038680190588,0.10028867512867,0.00200230634705858,0.00351941208027875,0.00109462246823918,0,0.0242239105906435,0.00189618703188054,0.0152943065603462,0.129170031200457,0.0136547884743421,0.00336387937591983,0.00318413595771273,0,0,0.000933780463578531
"Ex_Pre_KCNH7",0,0,0.00358845860455128,0,0.0376829377847428,0.0113226750005762,0.0947661369436244,0.00362809186199276,0.00563690847857319,0.0777462489440736,0.00190344767932521,0.0637517759528062,0.0132175667865879,0.00838520652028238,0.013390192953956,0.0029625909857777,0.000495049568233308,0.0026658394173127
"Ex_Pre_SATB2",0.00120542510935081,0,0.00746373943593269,0,0.0195908342334755,0.0129417307226353,0.070145542148477,0.00300686072151912,0.00638842825416066,0.0481034662091335,0.0027222407397029,0.146633088241815,0.0210793292727428,0.00824652319769852,0.00578214490208132,0.00304699725222758,0,0.00209606408009637
"Ex_SATB2_FOXP2",0.00545253854674411,0.0130577756375522,0.0359718996850695,0.20948625132037,0.00123068669293883,0.00776609250841327,0.00718752133175301,0.000456933613295077,0.00446074797869696,0.00559429975954346,0.0123317836518692,0.0191588672334148,0.0639935365372899,0.0027052434090112,0,0.000328561837894337,0,0.00391287406952652
"Ex_SATB2_OVOA",0.000501128985878309,0.00186630274723494,0.00319406747560321,0.0177666478490427,0.0273670637185746,0.0420397223435853,0.0289536488428262,0.0377409140005803,0.00645543500162119,0.183451209545122,0.00327958282694692,0.02212750956149,0.0127060321121732,0.00193461894815078,0,0.0024338220370263,0,0.00130079452578388
"Ex_SATB2_SOX6",0,0.00572227134079296,0.0232052122233897,0.132890568017152,0.00470449754551512,0.00513124390457269,0.00766535801717638,0.000207939913922657,0.00832227933973448,0.0100075380554098,0.0274744805293692,0.0189007206991246,0.12342572211443,0.00295989680416056,0.000719461712739592,0.000400325707354626,0,0.0120744933381978
"Ex_SATB2_ZNF385B",0.00393879358044099,0.0219179952240911,0.0223379248176109,0.0817825447010444,0.0154640916735263,0.0055477099778359,0.00408779054934566,0.00157060667477577,0.00677017615722459,0.00780917309031717,0.0212880790554957,0.0407488694526674,0.0523791157702824,0.00035467025440743,0.00658960748769217,0.00440663721180004,0,0.0151041158998491
"Ex_TSHZ2_NR4A2",0.422208836792927,0,0,0,0.00235282007094325,0.0108639800537497,0.00978933531319767,0,0.00560311492168708,0,0.00264167100870455,0.128158558062517,0.0032798227616925,0,0,0,0,0
