"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-2","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Int","Glut-CACNA1H-3","Glut-DACH2-HVCra","Glut-DACH2-LMANco"
"Ex_BCL6",0.00625814789779039,0.000403013994006296,0.000547210769370133,0.00136058635115083,0.00387653426770702,0.00193317418366775,0.353616051118724,0.0337917660480231,0.000268011664667403,0.000296749679158036,0,0,0,0
"Ex_CACNA1H_CPA6",0.1136520420531,0,0,0.00113743791685393,0.173114628020117,0,0.000920871977384431,0.00850712236181831,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0825026742233837,0,0,0.000599945270559106,0.16093951338753,0.0435636590007874,0.00220729557580741,0.00774916371765227,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.10127324998436,0,0,0,0.0810265241459335,0.0946613929740376,0.0332768908724577,0.0142627844066361,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0507086312824317,0.000899968347935645,0.000490574197625246,0,0.0352657104465796,0.0126803671576045,0.174089450082988,0.0408312428474,0,0,0.000417922107185326,0,0,0
"Ex_CACNA1H_PROX1",0.00831622862414156,0,0,0,0.117470059106954,0.0413533331142319,0.0802505605667092,0.0395694147167163,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0250755504917685,0.000286277387784569,0,0,0,0.104134569985928,0.202799820299146,0,0,0,0,0,0
"Ex_DACH2_CEMIP",0.0011356099813593,0.000374280978083877,0.00105043200269921,0.000403143858774158,0,0,0.434451416930044,0.0105079348861029,0,0,0,0,0,0
"Ex_DACH2_GRIK4",0.00103641205051172,0.0217064047871077,0.000171843604864276,0.000311990729503533,0.000263481730847746,0.000259977573845777,0.10540692439533,0.224866302362785,0,0,0.00234355103483892,0,0,0
"Ex_DACH2_ITGA9",0.00648358545169616,0.0124521589669269,0.018599939784702,0.000970192926628618,0,0,0.209988452151219,0.082632341627884,0,0,0.000437254493826151,0,0,0
"Ex_DACH2_LHX2",0.000659927591578933,0.00026988448024623,0,0.000739616244056168,0.000356180368031115,0.000498137904306344,0.189177322931084,0.211870358313393,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0.00029248977821116,0,0,0.000334036639185947,0.00178983970022859,0.0113197108335846,0.182544004852439,0.177356096905008,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.00871826657985498,0.000724189149340987,0.000934315291096007,0,0,0.0845338127708711,0.27996459337242,0,0,0,0,0,0
"Ex_DACH2_NR4A3",0,0.0053366450826757,0,0,0,0.00105105809587413,0.0163438343172422,0.465778284683872,0,0,0.000223945527912034,0,0,0
"Ex_DACH2_RORB",0.000753156951236033,0,0,0.0110814527791379,0,0,0.389688668812908,0.0106646316294903,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0,0,0.000415005000275044,0,0.00159209998784736,0.00185705292441743,0.437386323123016,0.0489622179455116,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.000357377260282298,0.000355558286963496,0.000382209632262486,0,0,0.377671989632711,0.0204462441800015,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0,0.000517391020933781,0.00200782151409279,0.000844461315024175,0,0,0.41147769894275,0.0117606036944727,0.000235040161692983,0,0,0,0,0
"Ex_KIAA1217",0.124057576850433,0.00176374200522721,0.00943264869552535,0.000526282458203627,0.00313554526029047,0.0097214291498849,0.0837196566969327,0.00669266026179215,0.000580720443017256,0.00109773048095274,0.00158236619898089,0.000214906612364091,0,0
"Ex_KIAA1217_BCL6",0.116158724143879,0.00180644259309681,0.0196927407156185,0,0.0132933301591841,0.0215756289285575,0.0574236318715728,0.0170674584850577,0.000454103544778229,0.000561520687071856,0.00200727216052793,0,0.000649163107618887,0
"Ex_Pre_KCNH7",0.00142719736112884,0.000221756350287479,0,0.0249946299605873,0.00151866065772971,0.000794804825933445,0.0540550844617038,0.190117077207865,0,0.000861098048743289,0,0.00217165166517219,0,0.000293394800844479
"Ex_Pre_SATB2",0.00469625673166934,0.000502341107591215,0,0.0218503794664266,0.00285075577483563,0.00213218128922805,0.0739583620148273,0.147032734028962,0,0.000524133525755181,0,0.00112728453734803,0.00119656880047037,0
"Ex_SATB2_FOXP2",0.0631105440786907,0.0187989040796997,0.0217486022399904,0.00273065262569709,0,0.000912769072125793,0.0457805114426775,0.0472955761167205,0,0,0.0215597123871008,0.000222497673787676,0.00190851036017419,0
"Ex_SATB2_OVOA",0.00666110929958228,0.0220324108725402,0.000931745275393021,0.000317856007140865,0.000459008957840206,0.0019397670018026,0.105120940804861,0.178999717165568,0,0,0.00191141878137733,0.000460844293519288,0.00019693463098783,0
"Ex_SATB2_SOX6",0.0158139641390938,0.0226916228534935,0.025510655473807,0.00274384619048013,0.000286794907288229,0.0038247509771733,0.0825434684905867,0.0772229077816318,0.000172589467489935,0.000167387778857699,0.00532347607935346,0.000197289419734016,0.000630224092894526,0
"Ex_SATB2_ZNF385B",0.028575850404695,0.00802493482636851,0.00536925040701728,0.000542168436821187,0.000546689574248869,0.00172086245439388,0.174663178500634,0.0197157672400701,0.000570536697608902,0.000575377029871481,0.00541671701299095,0.00018958108960099,0.00119464005281441,0
"Ex_TSHZ2_NR4A2",0.326608893494242,0.00178417888850943,0,0.00460668763772028,0,0.00290780164685764,0.0074821962225695,0.0203898738513622,0,0,0.00151360619410694,0,0,0
