"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-6","Glut-DACH2-4","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx"
"Ex_BCL6",0.00404028105159403,0.00149837956303993,0.430320314341911,0.000478638665572814,0.00384500438265734,0.0517045178370835,0.0360429140475265,0.0181119821989266,0.0440745262111493,0.00551825471756038,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0274210429659585,0,0,0,0,0.782708684731038,0.00345636399616005,0.0110001655010112,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0204088822986433,0.00066977102947081,0,0,0,0.584947666431482,0.00334270252286777,0.119061437259626,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.107059341368271,0,0.00688367506014716,0,0,0.224250291836159,0.0141242240881531,0.349169445368237,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0330984786410367,0.00830830144774768,0.0570652293370547,0.00251551033098094,0.0231163460688365,0.224334380995782,0.0943449910774592,0.0621002465892885,0.000535025834476924,0.01226584571296,0.000924735510867789,0,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.0333812722839112,0.0005382131214833,0,0.491689069052149,0.0290325115931546,0.0929655516633265,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0348641097128402,0.0649077099205954,0.0772037355135309,0.0669940371584397,0,0.161008352170603,0,0.011987628353591,0.00192948356983106,0,0.000440005733075589,0.00594852512902228,0,0,0
"Ex_DACH2_CEMIP",0.000942447599136356,0.000534646474067231,0.292618160018725,0.000427232315975755,0.169902578786933,0,0.00633351636676745,0,0.148693369414686,0.00281596665553386,0,0,0,0.00317263930701773,0,0
"Ex_DACH2_GRIK4",0,0.0388362365300443,0.00256116723072246,0.03792457740769,0.00330982119585948,0.0009420538651699,0.434180502202119,0.00589579853290431,0,0,0.00416574291511309,0,0.0029715486640979,0,0.00472363521450984,0
"Ex_DACH2_ITGA9",0.0042420361488529,0.0183878534970891,0.156267575716607,0.00216037557009117,0.167394755398141,0.000948727243442296,0.0985090371805311,0,0.0203879345519314,0.0588253259967793,0,0,0,0,0,0.000478925467683114
"Ex_DACH2_LHX2",0,0.00700960233491516,0.0239323832759352,0.0749247929053429,0,0.00113922607449708,0.428887729193168,0.00314219895939812,0,0,0,0,0.00233491109180404,0,0,0
"Ex_DACH2_LUZP2",0,0.000456412482088128,0.0421514326325725,0.00697188381765365,0,0.00668087477166507,0.424524222627906,0.0886146094404616,0,0,0,0,0.000388217523298097,0,0,0
"Ex_DACH2_MGAT4C",0,0.0392471147886959,0.00768578699378409,0.0274007730618312,0.00695788942324729,0,0.447347768050367,0.000988082590860881,0.000607087727367506,0.00365800670971712,0,0,0.00250423958142808,0,0.00114068504585713,0
"Ex_DACH2_NR4A3",0.000377410887865202,0.0097842274582832,0.0128113738265626,0.0170946473378121,0.00772369060875772,0,0.582838965586483,0.00155123743820792,0.00379560771853277,0.00609201231492681,0,0,0.000839083433572281,0,0,0
"Ex_DACH2_RORB",0,0,0.560942808775351,0.00220041424122075,0.0793359995617627,0,0.00309817274861034,0,0,0,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.00174787721765474,0.00141231736787381,0.599050142651155,0.000526832048655039,0.00748730586611055,0.0018221041546226,0.107594549564723,0.0209206196175501,0.000852166775631265,0.00597362308821013,0,0,0,0,0,0
