"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra-Pre","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-CACNA1H-3"
"Ex_BCL6",0.00342253712863115,0.0435221708822869,0.0685182572176097,0.00800141750495949,0.00109100697261504,0.0106068645921022,0.376162103167666,0.000745263943394752,0.0562965662432986,0.000510819546544912,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0216194998007177,0,0.790326147465075,0.00990646899889224,0,0,0,0,0.00447940018370574,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.017882752263405,0,0.644816163067775,0.0733382408215282,0.000689102659464385,0,0,0,0.00431068425668393,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.10610728307128,0,0.278928691421631,0.268467244744733,0,0,0.00498665110833525,0,0.0158157808081262,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0264986447501399,0.00113397630264356,0.274728765447172,0.0247044416985441,0.00812763166350595,0.0179067042021079,0.0406222488716006,0.000548789332105826,0.102180287563248,0.0140808359833526,0.00168756383590602,0,0,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.578513553936593,0.0403512293923603,0,0,0.0169096299372649,0,0.0432738959638349,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0122082565242931,0,0,0.0256937542639687,0.00427322192753636,0.0602321446954997,0.0892403100063789,0.154418383727488,0.04346918008678,0,0.00319641535975225,0.0101521833992672,0,0,0,0
"Ex_DACH2_CEMIP",0.000793952587470951,0.161869858711564,0,0,0.000463140601241535,0.00235282227317328,0.296196594038574,0.000400646420012283,0.00739157391243333,0.136989397917178,0,0,0,0.00318872256122944,0,0,0
"Ex_DACH2_GRIK4",0,0,0.00189808617353002,0.00422200422372444,0.0333699169404532,0.000653471991493266,0.00203875410919405,0.0414416055904183,0.407943975965073,0.00150832528834196,0.00653980223468052,0,0.00540927844427218,0,0.00614092132999942,0,0
"Ex_DACH2_ITGA9",0.00365138084710832,0.0242560956728793,0.000606553070494665,0,0.0150116724160571,0.0697249538310139,0.148694828619567,0.00180122477008741,0.104499189113173,0.126507792029967,0,0.000606148365765711,0.000577793835051035,0,0,0.000978364733073266,0
