"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-3","Glut-CACNA1H-2","Glut-DACH2-5","Glut-DACH2-1","Glut-DACH2-8","Glut-CACNA1H-3","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx"
"Ex_BCL6",0.00338110547657394,0.00045659886017852,0.0415322693417689,0.0136995218442345,0.00729791489074458,0.412434959801694,0.0595032032494391,0.000977767595505374,0.0396054163351472,0.00455749412018143,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.026651437891204,0,0,0.0114934725694579,0,0,0.787376715181124,0,0.00334434643903985,0,0.00142782925307,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.021811940195731,0.000697303001697273,0,0.104701654887525,0,0,0.611638280907466,0,0.00294296279359678,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.106577698814331,0,0,0.331079450405633,0,0.0053224275542798,0.24984298753343,0,0.011257368032087,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0317326554803167,0.00505783536960558,0,0.049905176257783,0.0120159942932174,0.0754529331765622,0.236175267102665,0.00179531419242759,0.0810694868859871,0.0173455098493192,0,0.0011332129599787,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.000634215524797507,0,0,0.0783967906787284,0,0.0211488646010027,0.53135547987735,0.00297134377271633,0.0279811458477148,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0244061246270503,0.0109021443370345,0,0.00279200038906764,0.0725534758736949,0,0.0781568001391958,0.179783841367601,0.0554824981293875,0,0,0.000529168819688917,0.00265746341771041,0,0,0
"Ex_DACH2_CEMIP",0.000667663181436606,0,0.14867685765406,0,0.00219091462395895,0.30803722044505,0,0.00095336247979373,0.00541105426806817,0.139128565094422,0,0,0,0,0.0109141441180642,0,0
"Ex_DACH2_GRIK4",0,0.0297421348819991,0,0.00639559505641298,0,0.00309802826950084,0.00137245633794795,0.0318345360183208,0.445994651705385,0.00323895681964501,0,0.00519713365398726,0,0.00187068112695578,0,0.00516296448894392,0
"Ex_DACH2_ITGA9",0.00477827954546666,0.0103073557320781,0.0200811564856779,0,0.0588845485159996,0.163779733820417,0.00129479009208849,0.00337584921033616,0.103492845040266,0.152958464206848,0,0.000440994414177133,0,0.000338330371873457,0,0,0.000410904901057066
"Ex_DACH2_LHX2",0,0.00167440206434479,0,0.00197054296830816,0,0.0218586959817775,0.00193214615045291,0.0831690323215776,0.433065142360642,0,0,0,0,0.000376955943408305,0,0,0
"Ex_DACH2_LUZP2",0,0,0,0.0834430632280858,0,0.0321563383814997,0.0136364160633043,0.00994141706039342,0.424820423279129,0,0,0,0,0.000298912744114662,0,0,0
