"","Glut-CACNA1H-1","Glut-DACH2-8","Glut-CACNA1H-4","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-CACNA1H-RA"
"Ex_BCL6",0.00221432380797466,0.0021415966182056,0.0284708524118951,0.0539945282215958,0.00292670306025375,0.000450826409644497,0.050329906906806,0.000352970785930813,0.00914103353265243,0.409864184048567,0.0343882071374749,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0288826656615637,0,0.010401343793631,0,0,0,0.800648547025428,0,0,0.00136332431534524,0.00322083092791672,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0184582907405138,0,0.106836650559404,0,0,0,0.608949407698143,0,0,0,0.00385519938280938,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.10512671806515,0,0.392238723616582,0,0,0,0.216391196827393,0,0,0.00309506728070261,0.00723692052150003,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0289010344476944,0.0115103000736751,0.0634631364936407,0.00197269209273171,0,0.00188169260774255,0.237452504868084,0.00219800201176743,0.0158631117673243,0.101366397962983,0.0552617194622168,0.00143987053184196,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.000740659246225339,0,0.120392831031885,0,0,0,0.476747809803566,0,0,0.0193775225008107,0.0309089990215844,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0552695125362497,0,0.00752962982788091,0,0,0,0.0561770786936266,0.00471095653165916,0.0548223322337341,0.165611619181171,0.0960697920733877,0.000687335472255347,0.000452520530933841,0,0,0
"Ex_DACH2_CEMIP",0.000829174497010465,0.132003055943558,0.000503586441313265,0.192969505399469,0,0,0,0.000633614117913937,0.00580822632001397,0.26886088797934,0.00665450025394687,0,0,0,0.00693060523980554,0,0
"Ex_DACH2_GRIK4",0.000245964580313927,0.00512301134901042,0.00799028054929483,0,0,0.0130574341610558,0.0014899190788435,0.0213987947414575,0.000332699545890966,0.00403633199925316,0.42405112223404,0.0492047866123259,0.00103865282832603,0,0,0.00565848431632452,0
"Ex_DACH2_ITGA9",0.00395857915806753,0.12932113552378,0.000279307282414973,0.0180117732571712,0,0.000400945592040442,0.00227520295997448,0.0168338846047669,0.0835556085955464,0.170300895233028,0.0971495539788445,0.000386084834933859,0,0,0,0,0
