"","Glut-CACNA1H-1","Glut-DACH2-4","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-1","Glut-DACH2-HVCx","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-DACH2-8","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra"
"Ex_BCL6",0.00376774968991036,0.0105433355164687,0.0574476293214037,0.02451566538659,0.0473044241616629,0.00323823740065589,0.00247291408463615,0.370216499672696,0.0473102135248951,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0406039053389819,0,0.788297731872561,0.0109883596927994,0.00232255929443969,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0163756826125422,0,0.629925941814016,0.0947017840334609,0.0012601691202905,0.000819465543700765,0.000777403569080738,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.10536576932171,0,0.232541660254503,0.370327088550936,0.00670041404684643,0,0,0.00106583116818369,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0335612328429321,0.0151218175052264,0.252000534401422,0.0465915434034475,0.112624793571472,0,0.00403316960417366,0.0430254709727285,0.00133683315461389,0.0005175468707764,0.000640887882087877,0.0128049373415591,0.00230143803345081,0,0,0
"Ex_CACNA1H_PROX1",0.00110567638518019,0,0.511983224151155,0.111310215943078,0.032395098041795,0,0,0.00505515125163765,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.00563037240402014,0,0,0.161314018690153,0,0.0761722874245117,0.0427208317904754,0.0136049755453058,0.00248991416267367,0,0.0374489761445724,0.0918620424638528,0.000995032899912684,0,0
"Ex_DACH2_CEMIP",0.000474742727938719,0.004580441758172,0,0,0.00661784974620641,0,0.00092587877993171,0.26358226679747,0.21067021581684,0,0,0.114296907122179,0,0,0.010072012602486,0
"Ex_DACH2_GRIK4",0.000247518305555573,0.000268478468028397,0.00188691992817134,0.00658562468026403,0.433089055149506,0,0.0204905868045884,0.00157024581368844,0.000387009433063157,0.00279185790646471,0.023954207125429,0.00109273180841879,0.0372983217270403,0,0,0.00755228542021095
"Ex_DACH2_ITGA9",0.0028293681819635,0.0839235864499937,0.00240464367018155,0.000252288768333984,0.113162911349596,0,0.0252401748573369,0.148374354331623,0.0327314041736708,0,0,0.099398942646316,0.000860839425554388,0,0,0
"Ex_DACH2_LHX2",0.000767684360046143,0,0.00170168600717672,0.00432306861259881,0.433309346317178,0,0.00487206449370938,0.0180341635017329,0,0.00151427601114243,0,0,0.0894698774047669,0,0,0.000311903464298771
"Ex_DACH2_LUZP2",0,0,0.00730182398553864,0.108687056933996,0.454564514868625,0,0.000781014545020284,0.0189115091330823,0,0.00163710131033182,0,0,0.00350188080791762,0,0,0
"Ex_DACH2_MGAT4C",0,0.00595941339468076,0,0.00159346812083708,0.437590652767731,0,0.0468473241107608,0.0054317577942952,0.000340210228589982,0.00401168051653317,0.000303006474650168,0.00312109149583584,0.0389293887555318,0,0,0
"Ex_DACH2_NR4A3",0.000471601100305494,0.00765978455709796,0,0.00157382567880071,0.617867388090831,0.000278616001091609,0.0190200999676645,0.0100847558865868,0.0024284830780616,0,0.00038000798090589,0.00236761416425836,0.021813053793838,0,0,0
"Ex_DACH2_RORB",0,0.000395502698641183,0,0,0.0104578467027324,0,0.000845970322708694,0.50931717230647,0.000438371639841557,0,0,0.0712220197257553,0,0,0.000582735188158284,0
"Ex_DACH2_SLIT2",0.00179000865298038,0.00721127671174603,0.00296467929641375,0.021320161045794,0.136928621283519,0,0.000431212353619548,0.558079750391567,0.00269030044651,0,0,0.00145244306485431,0,0,0,0
"Ex_DACH2_TAC1",0.000366602521470295,0.00586045320720627,0,0,0.00298873887257078,0,0.00564037203145572,0.272209152108717,0.0267678041445642,0,0,0.272506752377666,0,0,0,0
"Ex_DACH2_ZMAT4",0.000429063399816652,0.00787458023446097,0,0,0.00569310857673465,0,0.00202041421304292,0.293628446626531,0.0200331443802958,0,0,0.336131821052685,0,0,0.000334585971170552,0
"Ex_KIAA1217",0.0867905194188926,0.0616777162773241,0.0577867323510707,0.0251827907712664,0.000961683683995141,0.142031301059178,0.00402158552036692,0.0248789259980553,0.0135448357281686,0,0,0.00578976033374974,0,0,0.000308221649432589,0
"Ex_KIAA1217_BCL6",0.0475513257871363,0.0907200532244715,0.174777023793844,0.0408971755738844,0.00326029312690389,0.0969778423574388,0.00451029521679038,0.00425882568965054,0.0172327791915306,0,0,0.00795701371255825,0,0,0,0
"Ex_Pre_KCNH7",0.0220912261847465,0,0.0297520386615089,0.00830322128379357,0.14266024367921,0,0.0195783989787684,0.143070564917849,0.00309054016585826,0,0.00442828843935637,0.000558172216525555,0.00065516427424792,0,0,0.000731286859287235
"Ex_Pre_SATB2",0.0387309436599825,0.00144536550902284,0.0735506151707192,0.0174980282249407,0.0665497164391761,0,0.0485058974008752,0.0912330236633307,0.00319401089469036,0,0.00496986877170991,0.00295899424217275,0.000831385405137776,0,0,0.00473597574877134
"Ex_SATB2_FOXP2",0.0320877775632271,0.190629181633188,0.0110253522618272,0.00192674171231802,0.0113753120908184,0.0247257919403134,0.0214106838766023,0.00358302897312633,0.027118579708353,0,0.00921167551721415,0.059872011812402,0.000456294133838157,0,0.000945313724923813,0.00787708803226384
