"","Glut-CACNA1H-1","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-LMANsh","Glut-CACNA1H-2","Glut-DACH2-5","Glut-DACH2-4","Glut-CACNA1H-4","Glut-DACH2-1","Glut-CACNA1H-3","Glut-DACH2-8","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-CACNA1H-RA"
"Ex_BCL6",0.000582702508894324,0.353382349969328,0.0582851964847602,0.0126502191194571,0.000298129628314437,0.0660001143584632,0.00175141397961646,0.0111607157815335,0.0197986140678046,0.0274389292292925,0.000615683611597584,0.000610029552723451,0.00905338075885274,0.00325181701669828,0.00387018219886274,0,0,0
"Ex_CACNA1H_CPA6",0.00713063498064135,0,0,0,0,0.87524548061736,0,0,0.00222618287119857,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00758407635476468,0,0,0.00148443211025872,0,0.689585515628841,0,0.000836356394140262,0.0773046591330567,0.000699682772724026,0.000666458777867111,0,0.00104092683921281,0.00083785842037872,0,0,0,0
"Ex_CACNA1H_LHX9",0.100269016427892,0.00321890501390625,0.00122251381839524,0,0,0.227799993266904,0,0,0.393396939842558,0.00752168246520137,0,0,0.00141803021326612,0,0,0.000957147617972419,0,0
"Ex_CACNA1H_MCTP2",0.00956201829313003,0.137717594071091,0,0,0,0.278131242314188,0.00280319317960238,0.00908972331534552,0.0441153945829917,0.0368559268980072,0.0031518891425203,0.00693715159197831,0.00600909177087334,0,0.00722735598838216,0,0,0
"Ex_CACNA1H_PROX1",0,0.0162381694847192,0,0.000534720644766535,0,0.542776555260421,0.00284851297828114,0,0.0791210131563531,0.0177986487240541,0,0,0.0115514222053098,0,0,0.00103305172961732,0,0
"Ex_DACH2_ADAMTS5",0,0.0302117380769014,0.00875078046761762,0,0.0116534767106982,0.000918280510228257,0.181439007752053,0.00427447589835787,0,0.0654833428602973,0.0045779568973756,0.022916517053261,0.0611883939944121,0.00189364520538311,0.0493782540179235,0.000236879572883909,0,0
"Ex_DACH2_CEMIP",0,0.221535171846541,0.270069310793101,0,0,0.0019951011797507,0.000388458510813065,0.00782117115347776,0,0.00400716906423904,0.00061774179933906,0.124984543002321,0.0025593064143638,0,0.00115735225948819,0.00397111697596827,0,0
"Ex_DACH2_GRIK4",0,0.00416032931371334,0,0,0.000710831656235404,0,0.0419333437272649,0,0.00541642243006509,0.385044819802664,0.000356486702583692,0.000788106082012551,0.0523608710833199,0.00961966021072581,0.0581701715955142,0.000331030332926931,0.00436790381744949,0
"Ex_DACH2_ITGA9",0.00174565923614824,0.141191461909213,0.0265206703781728,0.000928141199823533,0.000820391548841502,0.00250758930670332,0.00479967322638467,0.0975928612947315,0,0.0775638276615973,0.000251237090807507,0.116054068056854,0.00734881932234116,0.00469171681344506,0.0424184756211312,0,0.000240195379369194,0
"Ex_DACH2_LHX2",0,0.0286354317286213,0,0,0,0.00310637897001584,0.125588949536042,0,0.000918991451395796,0.262029564386187,0,0,0.0854278478523686,0,0.00391597988555675,0,0,0
"Ex_DACH2_LUZP2",0,0.0333670802442503,0,0,0,0.0107196028097845,0.0120442874947141,0,0.0684755912507185,0.28777426732392,0,0,0.114606336655139,0.00292293608215469,0.000308152951473497,0,0,0
"Ex_DACH2_MGAT4C",0,0.00563463669669212,0,0,0.000241259970473099,0,0.0580853091544394,0.00508749305770212,0.00160772407932194,0.340463868047815,0.000503014045401834,0.00221267005858004,0.0848633377789551,0.00444677312163315,0.0368389442303525,0,0.000376657572314788,0
"Ex_DACH2_NR4A3",0,0.013327093963495,0.00151715015759828,0,0.00636614646448815,0.00149742091935173,0.0402370053998679,0.00951038285832695,0.00210851708569233,0.430414302654701,0,0.000373178930221365,0.0295282708496681,0,0.0252433171484655,0,0,0
"Ex_DACH2_RORB",0,0.544720933777561,0,0,0.00394612276858512,0.000499986050745817,0.00428150806329837,0,0,0.00115212734652211,0.00164745791159516,0.0266353511417719,0.00742689820639428,0.00333367537752334,0.00158535851251033,0.00751175770134468,0,0
"Ex_DACH2_SLIT2",0,0.619766692274108,0.00275436204381409,0,0,0.00435238249307336,0.00193985806131807,0.0110796896804862,0.0290396233661488,0.0775998593907081,0,0.00203343490392823,0.00255309498131451,0.000379162306761794,0.0047870009060174,0,0,0
"Ex_DACH2_TAC1",0,0.242881589125284,0.0279655518615503,0,0,0.000458101862365541,0.00112888470541934,0.0037292341283702,0,0.00210831473881021,0.000886541589508858,0.325754969500104,0.0014042884228195,0.000406540497599911,0.00724531623207194,0,0,0
"Ex_DACH2_ZMAT4",0,0.308015581972003,0.0243689076922417,0,0.00162418478001899,0,0.00052976670864566,0.0144511626008744,0,0.00168273470667642,0,0.329433852542078,0.000633597209017812,0.000307709578858476,0.00348967899220091,0,0,0
"Ex_KIAA1217",0.0154571424621946,0.00554060629422842,0.0159962760757627,0.266774827250645,0,0.0505740155635026,0,0.0244445663612641,0.00384433242053745,0.00027504873969557,0.00236937354264062,0.0213462465557662,0.000606552068661653,0.0176723648673585,0.00307140876484257,0,0.00180599391085458,0
"Ex_KIAA1217_BCL6",0.0262824642562239,0,0.00669927023904441,0.206440522070685,0,0.118159643733077,0,0.083706408427531,0.0187648299150525,0.00116088483002121,0.00558688448479517,0.0103978863293265,0.00225875986868902,0.0132074284416058,0.00208755066834746,0.00137492545149191,0.00115581479578993,0
"Ex_Pre_KCNH7",0,0.0441285795196955,0.00305830895493646,0,0.0116657106506944,0.0743714009702878,0.00713057381464944,0,0.0040153386779933,0.0817038855806152,0.0105993584727839,0.00159244204081251,0.0658819669500814,0.0114824717014513,0.0164927119006704,0.00928380789142911,0.00801247767180041,0
"Ex_Pre_SATB2",0.00133517341275395,0.0215069128801049,0.0055561966407463,0,0.0046166058390052,0.162123038764104,0.00477308328510442,0,0.00298526014723319,0.0517725562070191,0.0138887866920361,0.00388536813497155,0.0434809036197873,0.0218484340887511,0.0184307436390877,0.00571262661413999,0.00595453004458078,0
"Ex_SATB2_FOXP2",0.00571496280603104,0.0010783049297857,0.0146433477692704,0.050336166196644,0.00151300251386278,0.0218389403761924,0.000882364372055254,0.153474802608604,0.00425125711169947,0.0048809438298745,0.00305555311723011,0.0389086133649306,0.00455805523811548,0.059175498362948,0.0131296724715601,0.000458007322495972,0.00708013715683448,0.000523245064866399
"Ex_SATB2_OVOA",0.000327781258237241,0.0198466159458222,0.00440084039029229,0.00177617039051977,0.00367037360658743,0.0292950178641284,0.0484660991405757,0.0154523197195398,0.00488551178171861,0.162759957736969,0.00422302097351147,0.00654312824150674,0.0349596429934049,0.012698384150741,0.0517999825336519,0,0.00194836895581444,0
"Ex_SATB2_SOX6",0,0.00519646455545563,0.0266989135301024,0.0123595372916861,0.000561355740981804,0.0208408996002489,0.00102248518371599,0.118121318302319,0.00650504051761468,0.00894360838984653,0.00415064642964873,0.0260358857728973,0.00494917684557895,0.12367584120384,0.0110499641654841,0.000776384510369997,0.0224836882084944,0
"Ex_SATB2_ZNF385B",0.0029255504014938,0.0120632461073168,0.0208383385636973,0.0280153745274818,0.00116378209097591,0.0410856237881216,0.00144544335573826,0.0632472180508114,0.00331085200847142,0.00543056080011347,0.000925538340070744,0.0313407389593677,0.00554724531373503,0.0630748229583313,0.00551249611114178,0.00162835714680072,0.0369212686911145,0
"Ex_TSHZ2_NR4A2",0.39749516263697,0.00282358015087956,0,0,0,0.171593795238086,0.00189555907502513,0,0.0105967376793865,0,0.00436153880988077,0,0.00760497289840066,0.00484811986542814,0.00725718981514544,0,0,0
