"","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-DACH2-6","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-8","Glut-DACH2-3","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-CACNA1H-RA"
"Ex_BCL6",0.000711503809245702,0.000268919101554635,0.00453399351335778,0.0120651149282675,0.0108294461879879,0.0555670338226324,0.027783209588559,0.00116236553762129,0.000547168141871254,0.348460251127931,0.00841673232692693,0.00333542090595358,0.0736311900873304,0.0199956593634273,0.000605064730902024,0,0,0
"Ex_CACNA1H_CPA6",0.0132749899700439,0,0,0,0,0,0,0,0,0,0,0,0.865204900085372,0.00237737160437951,0,0,0,0
"Ex_CACNA1H_KIT",0.00664250288734993,0,0,0.000757620929078391,0.00155819503396782,0,0,0,0,0,0.00101443725003648,0.001637378618706,0.687515943561069,0.081259609285509,0,0,0,0
"Ex_CACNA1H_LHX9",0.100079866450536,0,0,0,0.000798695324899901,0.00127708202491449,0.00544785316887861,0,0,0.00243964564499889,0.00111836572587535,0,0.234499369965914,0.391249983910346,0,0.000597695637121956,0,0
"Ex_CACNA1H_MCTP2",0.0123422964066183,0,0.00835051055232565,0.0104621091097625,0,0,0.0361212352756226,0.00273667192978477,0.00481561843045827,0.148384126815784,0.00521154444043848,0,0.274797653691379,0.0438026152299557,0.00226936050890239,0,0,0
"Ex_CACNA1H_PROX1",0,0,0,0,0.000590938572742376,0,0.019454969378441,0.00224623257598438,0,0.014436857548987,0.00967944791537724,0.000960106802062186,0.545364488134398,0.0757744483910118,0,0.00273236638504647,0,0
"Ex_DACH2_ADAMTS5",0,0.0126145360924062,0.0492998141470205,0.00422751360798108,0,0.00844963496638199,0.0681088639279153,0.170878366023862,0.0189444962826714,0.032857264215992,0.0707602386125696,0.00164878573902685,0.00126427767487728,0,0.00377335293584118,0.000867194539556455,0,0
"Ex_DACH2_CEMIP",0,0,0.00144786651015048,0.00816798047535921,0,0.273024923000956,0.00363757776155711,0,0.117374228111315,0.225885390430915,0.00386706121818494,0,0.00208139464623289,0,0.000595621654375022,0.00578328661701821,0,0
"Ex_DACH2_GRIK4",0,0.000756224536665503,0.0642337705699166,0,0,0,0.378070140719853,0.0406433230502323,0.000420020306725579,0.00425125662809347,0.0552532340174073,0.00949290888173826,0,0.00628733234509715,0,0.000477405913648147,0.00510831639358177,0
"Ex_DACH2_ITGA9",0.00183116497433287,0.00083707692932924,0.0397622721842349,0.1036916907466,0.0010489728009026,0.0286493065108444,0.0761040940315051,0.00504117636392172,0.107865351726854,0.145713994549667,0.00881167629413186,0.00546183885047868,0.00194546173187018,0,0.000361401817339749,0,0,0
"Ex_DACH2_LHX2",0,0,0.0036831029996782,0,0,0,0.258251395503256,0.121225802773574,0,0.0332514182613836,0.0888673079890425,0,0.00351394764178145,0.00146294680323325,0,0,0,0
"Ex_DACH2_LUZP2",0,0,0.000255893678362227,0,0,0,0.28771173151799,0.0122845380085515,0,0.0387780119817517,0.103924208940654,0.00345135846997287,0.0116270962045013,0.0694494645618096,0,0,0,0
"Ex_DACH2_MGAT4C",0,0,0.0382419120180256,0.00541996601300136,0,0.000256647210356308,0.338597472995768,0.0569363998191639,0.00200803116838093,0.00506338222572006,0.0912255324579198,0.00455588061803065,0,0.00169715934945851,0.000440888051590099,0,0.000513566735286339,0
"Ex_DACH2_NR4A3",0,0.00403879077598261,0.0279057731444691,0.0091461859532346,0,0.00150017542789335,0.444075626814135,0.0379786274027874,0.000340411624414196,0.0136974400895387,0.028075370798508,0.000644760415606602,0.00146700288352996,0.00220304322535263,0,0,0,0
"Ex_DACH2_RORB",0,0.00207583218023336,0.00123970336445027,0,0,0,0.00125439446203898,0.00793813519478925,0.0215464515885658,0.567692059846611,0.00656887846882291,0.00383156733776266,0.000644601238244755,0,0.00165306663235767,0.00710761657050435,0,0
"Ex_DACH2_SLIT2",0,0,0.00488157093919809,0.0119711145877183,0,0.00247796177298704,0.0743529069024589,0.00260014833665109,0.00210844250915922,0.622615347645168,0.00193645289467192,0,0.00465123249158886,0.0294551899353388,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.00667052990704354,0.00620590685395401,0,0.0268509996496064,0.00207779116992309,0.0014176421435364,0.306787659829919,0.252913181835767,0.00147034737949721,0.000442174264303203,0,0,0.000741350307522881,0,0,0
"Ex_DACH2_ZMAT4",0,0.00182796828127314,0.00267079468056722,0.0165465487946256,0,0.0198513935253507,0.00193037057074644,0.000916802144836941,0.319230513894094,0.319592764854404,0.000422812732156178,0.000562929753576733,0,0.00025677798798294,0,0,0,0
