"","Glut-CACNA1H-1","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-HVCx","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-8","Glut-DACH2-5","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-2","Glut-CACNA1H-2","Glut-DACH2-HVCra-Pre","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-RA","Glut-DACH2-HVCra"
"Ex_BCL6",0.000595862307220295,0.0279563207034708,0.00893044402423759,0.0115654780036825,0.011259018759415,0.051837913760832,0.000614900139868508,0.00177242293333096,0.00046100777970567,0.00479549339420423,0.366126152475983,0.00821826530016889,0.0732830414029044,0.00380498828135768,0.000345536556982574,0,0,0
"Ex_CACNA1H_CPA6",0.0114423678058723,0,0.00213212152404835,0,0,0,0,0,0,0,0,0,0.867171410782049,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00864836760249184,0,0.0743898954612175,0.00151338641245219,0.000718324146099425,0,0,0,0,0,0,0.00112093722121254,0.697645245739904,0.00167857253154799,0,0,0,0
"Ex_CACNA1H_LHX9",0.100166913197768,0.00436696360461294,0.382147499193083,0,0,0.00128663043695006,0,0,0,0,0.00330667985141504,0.00097236140693678,0.242010020902261,0,0,0.00146879620349727,0,0
"Ex_CACNA1H_MCTP2",0.00829180560568698,0.0394460304473046,0.0384964482952092,0,0.00931767294807382,0,0.00301035602853728,0.00198677469324559,0.0035361974634964,0.0081333576269284,0.15192161488828,0.00569093169444719,0.285256904794755,0,0,0,0,0
"Ex_CACNA1H_PROX1",0,0.0200354096733448,0.0644623651589718,0.000603897947961151,0,0,0,0.00297612350920794,0,0,0.0158123366334525,0.00842816217381901,0.56852766651085,0.000531312605512111,0,0.0005699816161961,0,0
"Ex_DACH2_ADAMTS5",0,0.0711899437595302,0,0,0.00484414902576476,0.01036136504161,0.0197245586101933,0.16125706034707,0.00308216908797116,0.0491850074182681,0.0347324312026091,0.0747605314546922,0.00113362794846819,0.00126664965656996,0.0123480989157758,0,0.000235521915407715,0
"Ex_DACH2_CEMIP",0,0.00468329785496354,0,0,0.00732091819023203,0.267351136407907,0.11080415568131,0,0,0.000881239431746327,0.237288342302067,0.00320841334931421,0.00256184925537968,0,0,0.0069431463672553,0,0
"Ex_DACH2_GRIK4",0,0.38406179736433,0.00549843896172974,0,0,0,0.000436785445646445,0.037724125128946,0.000682862895890318,0.0565859873402642,0.00368510852133097,0.0613122145454164,0,0.0132139579566669,0.00169272241098217,0.000519165765481889,0,0.00629584779535626
"Ex_DACH2_ITGA9",0.00128966407086163,0.0816820380155741,0,0.00113888839659752,0.0979582567075853,0.0367335753054835,0.0981055771691159,0.00457797469024284,0.000325457404403229,0.0368261746246991,0.15138920034758,0.00916195343224234,0.0021644481310691,0.00560002966649881,0.000400441416219374,0,0,0
"Ex_DACH2_LHX2",0,0.264935181532011,0.00160314423517899,0,0,0,0,0.120357210339683,0,0.00283039977534101,0.0345489946156099,0.0894652574318358,0.00446404766298374,0,0,0,0,0
