"","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-4","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-2","Glut-DACH2-1","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-CACNA1H-1","Glut-DACH2-LMANco","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-CACNA1H-RA"
"Ex_BCL6",0.0731335799848136,0.0899693253664432,0.0120587633516842,0.00612356721257183,0.330666392235725,0.00036428945851412,0.00298156368281484,0.0019737180116716,0.0134505225279776,0.00795750572697908,0.0286853034367622,0.00512372343373942,0.0169242575095311,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0.902244199483373,0,0,0,0,0,0,0,0,0,0,0.00323472058852626,0.00902961144517744,0,0,0,0
"Ex_CACNA1H_KIT",0,0.758110505936205,0.000825958340304765,0,0,0,0,0.000703382340685871,0.00153775959551224,0,0,0.000806827907801566,0.0603708671049069,0.00421236003982328,0,0,0,0
"Ex_CACNA1H_LHX9",0.0014753117152934,0.237966216846673,0,0,0.00169870261179988,0,0,0,0.000616803210850737,0.00167845454388986,0.00478817485549052,0,0.42400316827782,0.0957387166719832,0.000677693528409395,0,0,0
"Ex_CACNA1H_MCTP2",0,0.297723362441765,0.0103225883720817,0.00449057753255169,0.163086885028849,0,0.00377128917207307,0.00404301443548093,0.000735437420574225,0.003312263457131,0.0305526909822138,0.00155223852900553,0.0466803609607424,0.00897462626087654,0,0.00863961437981468,0,0
"Ex_CACNA1H_PROX1",0,0.59289406020039,0.000481490872805579,0.000424362392148884,0.0103929918399284,0,0.00442999311279234,0,0.00211126225074172,0.0106191438777117,0.014568549003734,0.00129294595944083,0.0547631845938378,0,0.00849047991839743,0.000644553347305414,0,0
"Ex_DACH2_ADAMTS5",0.0108859046191829,0.00182313738928374,0.0033555399977319,0.0633519333715055,0.0272939255828506,0.0252069305243838,0.187192373329387,0.00332820516492983,0,0.0666833199689631,0.0574218107927009,0.000692303577069719,0,0,0.000366880497556747,0.0184712180025319,0,0
"Ex_DACH2_CEMIP",0.333636679960823,0.00281984420192801,0.00758708666724725,0.00133656574741399,0.202624848292306,0.000401046031639354,0.000362682397913054,0,0,0.00286028376718364,0.00402814049605903,0,0,0,0.011062263395709,0.10720030493614,0,0
"Ex_DACH2_GRIK4",0,0.00152133437628476,0,0.0714713337152758,0.00310361802073625,0.00236147776644508,0.043490567053095,0.000389476062722035,0,0.0479397380326432,0.380369542968586,0.0156632760097585,0.0074229349291148,0,0.000423102659833356,0,0.00664768170199162,0
"Ex_DACH2_ITGA9",0.0400427105202328,0.00291039324742471,0.10541953422948,0.047668667727533,0.140662540904338,0.00128255698731451,0.00608403749945289,0.000995072753070671,0.00517153107926935,0.0086925755929242,0.0716705668654735,0.00729003594392478,0,0.00139504492275088,0,0.100763772123422,0.000300527883238051,0
"Ex_DACH2_LHX2",0,0.00632709732877137,0,0.00327168015720508,0.0316608299556569,0.000290773359065016,0.163147135904362,0,0.000216413030211882,0.10137823192329,0.227667322068986,0.000956909178984605,0.0026419812526254,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0.0147541938445451,0,0.000307852219044101,0.0340435322579554,0.000282605807450308,0.0124525106571529,0,0,0.129612684687967,0.269454085539008,0.0113650289013956,0.069521400594438,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.000941013212712276,0.00533291203008645,0.0557989008681199,0.00510271410616493,0.000620362025257308,0.066071471540089,0,0,0.0976494414498025,0.317949125028308,0.00946426395450191,0.00228131342346663,0,0,0.00126076166335305,0.000514093880825673,0
"Ex_DACH2_NR4A3",0.00313146359514291,0.00256383464841494,0.0097718131359811,0.0303829700243142,0.0115129554518575,0.00941302936900606,0.0396305486297769,0,0,0.0366500759309189,0.413363920948767,0.000609683287962884,0.00178805389940983,0,0,0.000732243948423921,0,0
"Ex_DACH2_RORB",0.000688238587923227,0.000540856397512919,0,0.00113571108795686,0.495106261913397,0.00545671264333638,0.00497087587527703,0.00435246492870489,0,0.0084639780427804,0.00181416556959052,0.0015797089001081,0,0,0.0479033332460313,0.0258961404258578,0,0
