"","Glut-CACNA1H-1","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-7","Glut-DACH2-HVCra-Pre","Glut-DACH2-2","Glut-CACNA1H-4","Glut-CACNA1H-3","Glut-DACH2-8","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-LMANsh"
"Ex_BCL6",0.00185033157181606,0.0042189529474604,0.4154651237994,0.000441384069929554,0.0269079115492528,0.0345656424703905,0.00369903645109593,0.0058035457775857,0.000402226557781846,0.000845928680155738,0.00802978926159383,0.00662747272851354,0.000992904333200936,0,0,0,0
"Ex_CACNA1H_CPA6",0.00225832269745665,0,0,0,0.608600615269827,0,0,0,0.00128994795174466,0,0.00559396510984395,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0328088040140547,0,0,0,0.481062078588037,0.00260144335993046,0,0.000527059142045661,0.000464667614581357,0,0.00241905367460806,0.0420348497757525,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.112567437061153,0,0.00469124122164964,0,0.218690227369103,0.0228564259065272,0,0,0.000737103302697063,0,0.000971908406587986,0.160306189026137,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0284477807527276,0.00385791481297672,0.172862924028844,0.000510455974970044,0.142676638821477,0.0480372668864405,0,0,0.00720294230160864,0.00103966468115284,0.00274532539912684,0.0127651348867287,0,0.000503600517403783,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.0140633785972964,0.000370390423454623,0.385485192258979,0.046832832453216,0,0,0,0,0.00309814481632069,0.0359382228115474,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.00422723287015926,0.0425154952086839,0.0190037298662614,0,0.162441873972135,0.00280765604574478,0,0.0463258176373839,0.000281927029868499,0.0420944582039249,0,0.00255671695482553,0.016373420003796,0.00202495870361066,0,0
"Ex_DACH2_CEMIP",0.000480846373828771,0.00792639361261853,0.340045738452377,0,0,0.00549857091691094,0.060163804898039,0,0.00108278705132727,0,0.00186559341728496,0,0.00102619908392174,0.0660075656262712,0.00592764943923521,0,0
"Ex_DACH2_GRIK4",0,0,0.00530670735953544,0.00999520833246179,0.00111098723715734,0.351959798197422,0,0,0.0344890377058389,0.0108326128920984,0.0292579323952236,0.000320831428977657,0,0,0,0.00133446302477163,0
"Ex_DACH2_ITGA9",0.00178572987463262,0.0638663791303757,0.162959939277497,0.0013766289435564,0.000215328457117024,0.0906688494097946,0.00737004124726565,0.000325165194232998,0.0189216251194203,0.00182448723331152,0.00759708085146242,0,0.000209561897178359,0.0384793985498207,0,0,0
"Ex_DACH2_LHX2",0,0,0.0439687427193246,0.0159182588884375,0.00198655439706639,0.390088348542939,0,0,0.00124875620758196,0,0.00905984759298153,0,0.00081527581572364,0,0,0,0
"Ex_DACH2_LUZP2",0,0,0.0480986030044933,0.000340392512993681,0.0144074066468614,0.362784686024222,0,0,0,0,0.0162163053484517,0.0187916033188196,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.00405303917406659,0.00873760874535554,0.0113202668852678,0,0.398127468636523,0,0,0.0162165440145578,0.00104374071281161,0.0205357852868885,0.000671829525275609,0,0.000971511156865242,0,0,0
"Ex_DACH2_NR4A3",0,0.00355056145769982,0.00853160038680862,0.00464447211139935,0.000523335063546725,0.453556418061728,0.000262817768653926,0,0.0173186665008388,0,0.0256795164319904,0.00111996747952821,0,0.00150565500187729,0,0,0
"Ex_DACH2_RORB",0,0,0.447782915610374,0,0,0.000392988585417493,0,0,0,0,0.022316324580495,0,0,0.0124211212865868,0,0,0
"Ex_DACH2_SLIT2",0.000493324002937326,0.000789365506492413,0.547248193510551,0,0.00442756748590679,0.0647182368684203,0.00050131255647732,0,0.00199211297923895,0,0.00246587768010495,0.00486622597196811,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.00123571677080112,0.296922394138224,0,0,0.00575988313128716,0.00653254088558735,0,0.000780020194153127,0.000327313836662461,0.00124042112914177,0,0.000744439689804765,0.140565373552557,0.00103812097621239,0,0
"Ex_DACH2_ZMAT4",0,0.0074280012664097,0.294429593029256,0,0,0.00509732211827403,0.00469411727118336,0,0.00171008150837679,0,0.0016919503801745,0,0,0.163294231918845,0.00177353588902241,0,0.000223191962092937
"Ex_KIAA1217",0.0346378340858236,0.080121750426363,0.0200721053482125,0,0.0221847451611917,0,0.0227265452686298,0.0285998775697432,0.000696763826258032,0.0164563292150906,0.00197437143213619,0.0142387132511959,0.00558391048662948,0.00824078459874831,0.00412151535087377,0.000229852382099763,0
"Ex_KIAA1217_BCL6",0.0492891287649819,0.0803926124809338,0.00630141226323134,0,0.0795917396444587,0.000807983719580269,0.0202173601081285,0.0200679713352836,0.0019123981088412,0.00564197934930729,0.00241565926581295,0.035787164929207,0.00108006265135376,0.0106646204672106,0,0.000662387945162922,0
"Ex_Pre_KCNH7",0.000309174926173713,0,0.0383270245494597,0.000804494329031751,0.0108431671393815,0.130189814662919,0.00196078898400342,0.00198949527418686,0.00112314929289263,0.00316188696377872,0.131190561638644,0.00068592861292593,0.0122690013546543,0.00157915208259824,0.000927640870237579,0,0
"Ex_Pre_SATB2",0.000952460817144113,0,0.0424653581023725,0,0.023211841833352,0.0915101277233728,0,0.000821222253173253,0.00317622404046954,0.00542955468027135,0.118620894980843,0.00274177612929038,0.0144956701647521,0.00396106201814181,0.00152570042808485,0.00150214775927498,0
"Ex_SATB2_FOXP2",0.0134028476319016,0.135622531937687,0.00549295684639032,0.000290769048870865,0.00154506368132103,0.00556676740043065,0.0124203601406133,0.000377494350763074,0.0154256625502172,0.0452047653433455,0.0135750005312144,0.000254852664985281,0.0049791062457607,0.0386331350045499,0.00163535374436266,0.0032472596952827,0
"Ex_SATB2_OVOA",0.00112582518473043,0.0108683009833482,0.0484787189590601,0.00391366374111918,0.00680637761310728,0.199249463256098,0,0.00104379424005097,0.0373950338845268,0.00942129529188213,0.0188684430379679,0.00220996825835329,0.00394715409894638,0.00296748725531615,0.00079402008347676,0.00155214806736053,0.00030601248913175
"Ex_SATB2_SOX6",0.000453885242407244,0.0971395758408091,0.0178193302286794,0.00277381780878295,0.00417245829204476,0.0169139828098244,0.0190875662163726,0.000543040290354744,0.0216681675763972,0.0524664071141598,0.0120007016621106,0.00141618001872956,0.00571030489596868,0.0264474098268081,0.00155128149210054,0.00329230533599729,0
"Ex_SATB2_ZNF385B",0.00311519774442154,0.0719804444081369,0.0362712892498307,0.00133752784058544,0.00999896383953378,0.00475990476521284,0.014646269747802,0.00747103556194233,0.0102878124576949,0.0531816169236715,0.00445145427412784,0.00187413257647306,0.00514341117542375,0.0177191423258291,0.0100888218996398,0.00215907479000171,0
"Ex_TSHZ2_NR4A2",0.478495913607683,0,0.00247042622375843,0.00430081884623893,0.00957277212664292,0,0.00130563691551032,0,0.003353576651861,0.00447740588549145,0.0126497854912568,0.00859919534591443,0,0,0,0,0
