"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-DACH2-4","Glut-CACNA1H-2","Glut-DACH2-8","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-CACNA1H-3","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-2","Glut-CACNA1H-RA","Glut-DACH2-LMANco"
"Ex_BCL6",0.000439198045614533,0.0892722223921885,0.0118761501972377,0.103291460449443,0.000780455304736993,0.0135833998244746,0.000420722276293471,0.0239842687599873,0.0041118323087539,0.00032921468075712,0.00135737938476158,0.0084115672665266,0.0113585693322458,0.315301106393464,0.0112338590669081,0.00633268672961595,0,0
"Ex_CACNA1H_CPA6",0.00667792487163582,0,0,0.917135069765306,0,0.00520400426044712,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00943063738480774,0,0.00101640944718171,0.776726685294813,0,0.0579930110857285,0,0.000885760266066394,0,0,0,0.00144457960500149,0.00160515637381187,0,0,0,0.00108528532973934,0
"Ex_CACNA1H_LHX9",0.0921967613518733,0.00171859407894342,0,0.245537958278138,0,0.434015995943076,0.00080161636455566,0.00429221227227414,0,0,0.00117276657132379,0.00169289381525941,0,0.00177204254885051,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00827782945633115,0.00131472483853712,0.00979661706291426,0.315076409095659,0.0255975593450464,0.0534233305093443,0.000542158017857605,0.0262958447825225,0.00602409530628168,0,0.00348596247041947,0.00144365996299174,0,0.1407377858083,0.00357974681870173,0.00576556584577521,0,0
"Ex_CACNA1H_PROX1",0.000368020525897184,0.000363676257412177,0,0.606311038931234,0,0.070874935142616,0,0.0161113133733005,0.0042927770064963,0.000654982520163242,0,0.0010956251019732,0.00187632646101927,0.0127578300284715,0,0.0104178924671074,0,0.00494834954288059
"Ex_DACH2_ADAMTS5",0,0.0126882122718946,0.00363942157821317,0.00211927837398605,0.0186815861679526,0,0,0.0569563397901498,0.201810801798401,0.040117199785278,0.00296052043473722,0.00206418471925093,0,0.0206985059849056,0.0554964625211003,0.0696010703427793,0,0
"Ex_DACH2_CEMIP",0,0.366239157895086,0.00560273792547842,0.00327256557411585,0.118115409503964,0,0,0.00284588248122498,0,0.0005746369157042,0,0.000555141184912942,0,0.195290594548205,0.00140863509653382,0.00117885179221446,0,0.00847531543337464
"Ex_DACH2_GRIK4",0,0,0,0.000578666427146329,0.000319944958253553,0.0104388262997548,0.00771050328025077,0.381671776925342,0.0472868451202374,0.00443417255326414,0.000474226451772473,0.0149661794095331,0,0.00332012474409241,0.0745406167466989,0.0454424511859282,0,0.000394029519074613
"Ex_DACH2_ITGA9",0.00146378281725118,0.0482910449181186,0.101616125104663,0.00306520190968472,0.10543939837476,0,0.000636431952605226,0.071451747069441,0.00716756552093908,0.0029084478791292,0.00124219993022821,0.00928367538620382,0.00685419547743906,0.127876238046968,0.0513919433459759,0.00836155945038751,0,0.000253356388849785
"Ex_DACH2_LHX2",0,0,0.000490244814953155,0.00680311586772019,0,0.00157541132904836,0,0.208119048293361,0.205599993867508,0,0,0.000540857013672305,0,0.034338290534289,0.00405108184205789,0.0979512048079337,0,0
"Ex_DACH2_LUZP2",0,0,0,0.0192714460653525,0,0.0640119002911845,0.000324457555136341,0.268660541752093,0.0127437933361832,0.000349138981659019,0,0.0100249310483938,0,0.0333201614115431,0.000377433224870568,0.152997573493018,0,0
