,2,5,10,20,30,50,75,100,group
Glut-CACNA1H-1,0.1817990056285431,0.25422725723724077,0.2627830340009821,0.2339097780591162,0.22608303914331504,0.2229099107574459,0.21994210971771688,0.2100092979524495,non-song
Glut-CACNA1H-2,0.16143059487749242,0.2814633052939464,0.30645435739838583,0.3049817240714336,0.3074717217939109,0.2939360011336174,0.2734410852385657,0.2567127564978259,non-song
Glut-CACNA1H-3,0.0,0.023537075198550604,0.028474698848276057,0.03894578544142283,0.04351552854712412,0.03538719940460654,0.034766616111512695,0.03208975335370905,non-song
Glut-CACNA1H-4,0.5157316332195867,0.5509974127213689,0.5796043137565942,0.572520658689474,0.5647049560138134,0.5592358799333622,0.5479110174828399,0.5366785498421828,non-song
Glut-CACNA1H-RA,0.0,0.0,0.0,0.01308874558547032,0.021257657033343376,0.06395807633505503,0.07694578579080683,0.09366452135177505,song
Glut-DACH2-1,0.3011250860972541,0.34373109147127956,0.33158602998612857,0.28400758955243866,0.2786810587783727,0.2615959086591025,0.24831620751967004,0.23544598763183164,non-song
Glut-DACH2-2,0.21734988421930307,0.2259660467976618,0.22389038826544264,0.26392902186076506,0.24938206433236615,0.24670828877391612,0.24621417074741633,0.2392782247671269,non-song
Glut-DACH2-3,0.4748193325698473,0.5332971128033804,0.5753264657229179,0.5906661375029253,0.6012637948785708,0.5810486235368357,0.567712310230411,0.5543227538715688,non-song
Glut-DACH2-4,0.07836515945301493,0.17600346631722494,0.20135197774801009,0.1863305688546274,0.17365441222248595,0.16064101998558392,0.165454190931091,0.16091153062695104,non-song
Glut-DACH2-5,0.2085269174746066,0.2600663063585108,0.23591004056486112,0.280515169544409,0.2801309951855357,0.27477404719276194,0.2741225289793594,0.2736960151704321,non-song
Glut-DACH2-6,0.3355002213962874,0.5673633148344741,0.6008085865080042,0.6035086319977382,0.6174510861196055,0.6061713612410207,0.5979560811691408,0.5931879272892487,non-song
Glut-DACH2-7,0.07618006389885643,0.1232101716323812,0.12383949213052335,0.135041298431233,0.14390573487353495,0.14986370572810526,0.1496033821675962,0.1473548347829238,non-song
Glut-DACH2-8,0.281000837658053,0.3687902502271111,0.4073672380262876,0.4059226748516391,0.414498385834792,0.4039599457777495,0.39217705007768516,0.38240208341552745,non-song
Glut-DACH2-HVCra,0.050324413995963525,0.19476481819478786,0.25213134957662364,0.28284845647544826,0.2814496813174837,0.273325371357193,0.2669252109717796,0.25792373519558415,song
Glut-DACH2-HVCx,0.003096322605066642,0.16626776346573016,0.208863078306679,0.18662879572020888,0.17741841295727448,0.14628717023008472,0.148029265960684,0.13576860322856416,song
Glut-DACH2-LMANco,0.0,0.0,0.018813735837101442,0.034915106904061764,0.03501330328633275,0.04693237801598969,0.06916536077566113,0.08373356768062531,song
Glut-DACH2-LMANsh,0.0,0.002034776258253482,0.009268919462136538,0.031017407923714047,0.030203772155453553,0.044225971376220585,0.05174843793111849,0.05712195353720788,song
