,2,5,10,20,30,50,75,100,group
Glut-CACNA1H-1,0.2739922092174851,0.2348047862531764,0.24942074302575,0.2525452212761121,0.25166550860886727,0.23394115008437483,0.23252901932063288,0.21743052479236397,non-song
Glut-CACNA1H-2,0.1759292405890336,0.24780712851938852,0.2543837708830511,0.26039782044472176,0.26056399243826345,0.25881137080115235,0.2479272853975482,0.24079804366382015,non-song
Glut-CACNA1H-3,0.0,0.003748497343394885,0.0054778617212038775,0.010988091888247458,0.01666095566976828,0.023132099963754375,0.016487613731047117,0.017335493831789294,non-song
Glut-CACNA1H-4,0.39148679813390347,0.5342502620391015,0.5719639598281668,0.5910293034752093,0.5901284312619032,0.5795853822665971,0.5682170516660873,0.5554268755921334,non-song
Glut-CACNA1H-RA,0.0,0.0,0.0008884804695840164,0.033729357791627314,0.04502969638733353,0.10345127935286552,0.11467532247340342,0.14103148033870472,song
Glut-DACH2-1,0.19637845657385475,0.317147487570947,0.32763900635900556,0.306828864248281,0.2948363848753516,0.2800872689191686,0.2612584736755716,0.25028677200720123,non-song
Glut-DACH2-2,0.15132597066410844,0.125771409875534,0.17848241989428393,0.28089785496417735,0.28075285119204535,0.27835615766869115,0.2654448615752671,0.2585695495362483,non-song
Glut-DACH2-3,0.3487851796154957,0.4821831572684105,0.550367394508701,0.5885374897632125,0.5923292179843959,0.572328319592897,0.5688608435006473,0.5574085613816906,non-song
Glut-DACH2-4,0.06387404836821722,0.10631882201843681,0.14040805034293827,0.13960042308756476,0.1451417485095459,0.1392205361452078,0.140133116544928,0.13491113336608757,non-song
Glut-DACH2-5,0.1837801257321917,0.22733807978393872,0.22919119760508114,0.26432310697392586,0.2569470039908692,0.2534567488400232,0.24867655667783573,0.24760342366945723,non-song
Glut-DACH2-6,0.32580615244325045,0.5738239963215321,0.6065533915439398,0.6345786290001771,0.6323204251940299,0.6309814208481902,0.6247531223322462,0.6192028895290979,non-song
Glut-DACH2-7,0.10432836024780112,0.10183283683049718,0.12247975188550338,0.14123603758060263,0.15459472541998812,0.1657068858004674,0.1671331322424263,0.16171454279677566,non-song
Glut-DACH2-8,0.24016255747542561,0.4807030381655328,0.47407494240615355,0.43857306727669176,0.4346834839348386,0.42236246234777425,0.41837106646004396,0.40978723553098256,non-song
Glut-DACH2-HVCra,0.0069428773320064,0.029216417903242357,0.035879254600271394,0.0479597206910644,0.07601850051881985,0.08748630385670197,0.09609725437550805,0.10567807302911025,song
Glut-DACH2-HVCx,0.0,0.0033384965721262112,0.02797221375342568,0.06935611570473009,0.07519519432541753,0.08316399166484201,0.09752681656519067,0.11170272072522289,song
Glut-DACH2-LMANco,0.0,0.012263807207908999,0.0022520941158383247,0.019085007444654366,0.036178669961833554,0.05065619520577784,0.06570651194805517,0.07092712245553459,song
Glut-DACH2-LMANsh,0.0,0.0,0.005938668689579333,0.0272387791306284,0.04066565025423038,0.050289301483147135,0.04209370832849945,0.03957083203155713,song
Glut-SATB2-1,0.44678948936519663,0.6090999896259705,0.6212320904200951,0.6232259876385123,0.6059234774611941,0.6079136100568683,0.6084663180628979,0.6140432218408922,non-song
