,100,200,400,800,group
Glut-CACNA1H-1,0.2701153144603633,0.2701153144603633,0.27126797007657144,0.27126797007657144,non-song
Glut-CACNA1H-2,0.3132907903970244,0.3132907903970244,0.3094827043822189,0.3094827043822189,non-song
Glut-CACNA1H-3,0.04042480009556666,0.04042480009556666,0.043865129993740364,0.043865129993740364,non-song
Glut-CACNA1H-4,0.5073688910521267,0.5073688910521267,0.5087070106965497,0.5087070106965497,non-song
Glut-CACNA1H-RA,0.0019672563481856692,0.0019672563481856692,0.0004266529471382014,0.0004266529471382014,song
Glut-DACH2-1,0.3141277038610243,0.3141277038610243,0.31054294362388557,0.31054294362388557,non-song
Glut-DACH2-2,0.1430849338652167,0.1430849338652167,0.1498805909583069,0.1498805909583069,non-song
Glut-DACH2-3,0.5945961090456439,0.5945961090456439,0.5971461934283827,0.5971461934283827,non-song
Glut-DACH2-4,0.13425762156999377,0.13425762156999377,0.13144567701803378,0.13144567701803378,non-song
Glut-DACH2-5,0.1760542525124572,0.1760542525124572,0.17280567891220136,0.17280567891220136,non-song
Glut-DACH2-6,0.3990470483398384,0.3990470483398384,0.39105668349298994,0.39105668349298994,non-song
Glut-DACH2-7,0.09138434546780123,0.09138434546780123,0.09118913902382991,0.09118913902382991,non-song
Glut-DACH2-8,0.41375477402999034,0.41375477402999034,0.41334406352275765,0.41334406352275765,non-song
Glut-DACH2-HVCra,0.0875279415049082,0.0875279415049082,0.07614161747897728,0.07614161747897728,song
Glut-DACH2-HVCx,0.25485451350409427,0.25485451350409427,0.2497941609887088,0.2497941609887088,song
Glut-DACH2-LMANco,0.05333845206809274,0.05333845206809274,0.0446500611387067,0.0446500611387067,song
Glut-DACH2-LMANsh,0.06233429150101882,0.06233429150101882,0.06015885699997995,0.06015885699997995,song
