variant,k_anchor,song_mean,nonsong_mean,U,p_one_sided
rpca_kfNA,2,0.001180598101351253,0.13277749965775523,11.0,0.024873608673776235
rpca_kfNA,5,0.014400291778797597,0.22036174711566545,3.0,0.0011312217194570135
rpca_kfNA,10,0.03501296394920129,0.25793485200789623,6.0,0.0046864899806076275
rpca_kfNA,20,0.06860465119708468,0.27254768218997355,8.0,0.009696186166774402
rpca_kfNA,30,0.09200449098525995,0.2831255487247539,8.0,0.009696186166774402
rpca_kfNA,50,0.1259166274425205,0.2825517413792782,11.0,0.024240465416936006
rpca_kfNA,75,0.1551715565157858,0.2808984718452114,15.0,0.06480284421460893
rpca_kfNA,100,0.16859929799123097,0.2809674065769824,17.0,0.09728506787330318
rpca_kf200,2,0.0,0.09007495746643425,15.0,0.03685440848372074
rpca_kf200,5,9.035555727021958e-05,0.17561335248729915,9.0,0.012575141211116142
rpca_kf200,10,0.0072253167661932086,0.21972001191428644,11.0,0.024167137788513517
rpca_kf200,20,0.012989841530895122,0.24373588310845026,8.5,0.013381680384532921
rpca_kf200,30,0.017854172361347415,0.25480403070916596,6.0,0.0046864899806076275
rpca_kf200,50,0.02994912960256992,0.2677223936805379,6.0,0.0046864899806076275
rpca_kf200,75,0.04497035939697898,0.27363865332649456,6.0,0.0046864899806076275
rpca_kf200,100,0.061830647428885534,0.2775448250399389,9.0,0.01341305753070459
