finch_cluster,samap_top,samap_score,samap_top2,samap_score2
Glut-DACH2-8,Ex_DACH2_ZMAT4,0.8345,Ex_DACH2_TAC1,0.3727
Glut-DACH2-HVCra,Ex_SATB2_ZNF385B,0.7841,Ex_SATB2_SOX6,0.5609
Glut-CACNA1H-RA,Ex_KIAA1217,0.7517,Ex_KIAA1217_BCL6,0.2121
Glut-DACH2-1,Ex_DACH2_NR4A3,0.6554,Ex_DACH2_MGAT4C,0.6465
Glut-CACNA1H-1,Ex_TSHZ2_NR4A2,0.6509,Ex_CACNA1H_CPA6,0.5487
Glut-DACH2-3,Ex_DACH2_SLIT2,0.6241,Ex_BCL6,0.2961
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,0.6015,Ex_DACH2_LUZP2,0.1372
Glut-DACH2-5,Ex_DACH2_ADAMTS5,0.5359,Ex_DACH2_MGAT4C,0.1936
Glut-DACH2-2,Ex_DACH2_MGAT4C,0.5288,Ex_DACH2_ADAMTS5,0.1773
Glut-DACH2-6,Ex_DACH2_CEMIP,0.5151,Ex_DACH2_ZMAT4,0.5013
Glut-DACH2-HVCra-Int,Ex_DACH2_MGAT4C,0.4241,Ex_SATB2_SOX6,0.0583
Glut-DACH2-HVCx,Ex_SATB2_SOX6,0.4127,Ex_SATB2_ZNF385B,0.1627
Glut-DACH2-LMANco,Ex_DACH2_ZMAT4,0.4114,Ex_SATB2_SOX6,0.1552
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,0.3981,Ex_DACH2_LHX2,0.1403
Glut-CACNA1H-2,Ex_CACNA1H_KIT,0.384,Ex_CACNA1H_PROX1,0.3819
Glut-DACH2-7,Ex_DACH2_ADAMTS5,0.3211,Ex_DACH2_MGAT4C,0.299
Glut-DACH2-4,Ex_DACH2_ITGA9,0.2747,Ex_DACH2_ZMAT4,0.1807
Glut-CACNA1H-3,Ex_CACNA1H_LHX9,0.2372,Ex_CACNA1H_CPA6,0.1852
