,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Pre,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_Pre_KCNH7,gg_Ex_Pre_SATB2,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-CACNA1H-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023096157540388608,0.5486514947587785,0.4063630409771399,0.46255405731988175,0.20480161110465414,0.17741645190298017,0.00029155638747866693,0.0025326239708054086,0.0029694820082571617,0.024402143982697213,0.00036738580999531525,0.00243705961712926,0.0008228167813857823,0.004222811165278947,0.0005621280648213321,0.0031379627856310695,6.810482987038163e-05,0.0004467401556053789,0.005979925884940852,0.24963148139355584,0.09834424440491761,0.029517998667942434,0.0008413880745603983,0.007281473165567982,0.004512909087137074,0.0006454195351623421,0.650882031967397
bf_Glut-CACNA1H-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07551070031326274,0.18670169654663335,0.38398583799563485,0.32399646615914973,0.14090012227556445,0.3819357618011995,0.0005450361614638764,0.0024781635896844083,0.002480878168599393,0.004430847262120964,0.0013420470909051422,0.012361745200629083,0.0022846050098522274,0.0117122388346469,0.0004199638370657715,0.003628960356102994,2.482767386900802e-05,0.0003131439267663594,0.0059663307314607745,0.04200039399971785,0.05559529754886898,0.04758420176343346,0.003708038364502405,0.013760934819358663,0.018170897620970176,0.0005015615228230561,0.12024456305511504
bf_Glut-CACNA1H-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007671740261025071,0.18524215237881225,0.07565311433936985,0.2372289682070976,0.007811563769565868,0.013843752098032902,0.00019561464960333452,0.0009408585283230854,0.0005781151920109916,0.002421370149433745,0.0,1.7099684952008516e-05,0.0004999686178031171,0.0018044042496733058,0.0005570416372040668,0.0005516985795503404,0.0,0.00011247146385140537,0.0013440553304856291,0.002916890874168594,0.09544516026509761,0.031117346802328315,0.0006112464355651335,0.0017684735022177288,0.012660593478583055,0.0001789573684062774,0.022596016798019904
bf_Glut-CACNA1H-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010220759910665803,0.0,0.018333236522021786,0.6014977583042258,0.04997976668985858,0.0308242126760506,0.0001229671004545964,0.0009323694980226966,0.029653896457126728,0.014033046383858114,0.002358238656251746,0.13720617927160098,0.003829105077170817,0.0009804614930920596,6.930354575251914e-05,0.10823576677928382,0.0,0.0003469975224953056,6.115904310468662e-05,0.0027824935265593795,0.0352841599025079,0.018327914935748448,0.00014574998359482275,0.0026741006314027825,0.0018065917126769433,0.0,0.003294327465572972
bf_Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027156940446233034,0.06832969395681912,0.0089354405777313,0.01704715297350848,0.002558625072664115,0.011011930315319862,9.142825976891351e-05,0.0,0.00014073901170066452,0.004973985899084818,0.00010351632428947299,0.0002664713746433977,0.0005963847131708411,8.314819030742071e-05,4.828668746399135e-05,2.406425641494025e-05,0.0002974356773119428,9.458865950359999e-05,0.7516968354362856,0.21209643114906895,0.007375589969949402,0.0017250985397736084,0.009289548449426399,0.006318693866546554,0.002761974061955378,0.0,0.0078315677357361
bf_Glut-DACH2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380042978771468,0.0,0.0,0.0001055371789591543,0.03668508090860735,0.0042233144705015385,0.2485039662014029,0.007867903471752747,0.4947406816918348,0.10899459245093676,0.383368051027387,0.43541665536877466,0.6465309033377247,0.6554074769006677,0.008717441926149568,0.07525909435626893,0.0022281087008142993,0.006827836371237549,6.465881690249636e-05,0.0020683913186141135,0.03213743564409501,0.007634705723707771,0.004408966519372097,0.27953481013957526,0.015186964155489317,0.008976771711226544,0.0
bf_Glut-DACH2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028530470141048666,0.0,0.0,0.0,0.0035221980366959573,0.00013844448043488276,0.177252525646808,2.0664028888349216e-05,0.10267868044292042,0.015054966492167494,0.09748583543501503,0.022198914247494726,0.528759333234569,0.026263298811619894,0.0,9.874634589501195e-05,1.846828961362909e-05,0.0003225341969161893,0.0,0.0,0.0007707417718651362,0.0029925454161994275,0.00024475774918430846,0.020491370428593007,0.0002141013079716435,0.0,0.0
bf_Glut-DACH2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2961154804029408,0.0,0.0,0.0,0.02124513480738522,0.002354874255029409,0.003962654882478683,0.06419416220263005,0.006030516895970789,0.20164670779692445,0.01739723896649017,0.020547478450956325,0.024396577452009818,0.017220148669294565,0.283686377535746,0.624099601549905,0.17205539030996703,0.267996020794733,0.0,0.00018201949555046121,0.011277326156914989,0.00025565486064175444,4.8039567965716825e-06,0.005982969064558815,0.00044765522448410343,0.0007642775366477181,0.0
bf_Glut-DACH2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007859707355541261,0.0,0.0,0.0,0.00025153167980437034,0.0010263021873289258,0.02830388066752122,0.006647831099588486,0.0040514840316678135,0.2747496530716538,0.0009584984321980693,0.00010367382020514269,0.04729921838021217,0.036147131791990986,0.000318597750096809,0.025471385819539127,0.0010592053874102002,0.18070430837017704,0.0010744431032632682,0.0014186129864604724,0.006218859397306936,0.0007832556231322509,0.011287949429472834,0.0022265029261900166,0.03765814368035011,0.00025306442828866365,0.0
bf_Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003887036110133869,0.0,0.0,0.0,0.006662924601174664,5.2800154516262994e-05,0.5359380565000827,0.0,0.030160509385980944,0.00535047604622995,0.11172967371130915,0.001516031292066491,0.19355348405065945,0.058555479588719116,1.0685988850937098e-05,0.00019635103156595175,8.537549358531738e-05,0.00038711129935637756,0.0,0.0,0.0004151177202442757,0.0006260312675824861,0.0002017281888182078,0.03913504438114315,6.276163171912822e-05,2.1721666353715134e-05,0.0
