finch_cluster,samap_top,samap_score,samap_top2,samap_score2
Glut-DACH2-8,Ex_DACH2_ZMAT4,0.8518,Ex_DACH2_TAC1,0.3662
Glut-CACNA1H-RA,Ex_KIAA1217,0.7318,Ex_KIAA1217_BCL6,0.2138
Glut-SATB2-1,Ex_SATB2_SOX6,0.6757,Ex_SATB2_FOXP2,0.6678
Glut-DACH2-1,Ex_DACH2_NR4A3,0.6596,Ex_DACH2_MGAT4C,0.6466
Glut-DACH2-3,Ex_DACH2_SLIT2,0.6403,Ex_DACH2_ZMAT4,0.2926
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,0.6271,Ex_DACH2_LUZP2,0.1254
Glut-CACNA1H-1,Ex_TSHZ2_NR4A2,0.6251,Ex_CACNA1H_CPA6,0.5284
Glut-DACH2-5,Ex_DACH2_ADAMTS5,0.5412,Ex_DACH2_MGAT4C,0.1833
Glut-DACH2-2,Ex_DACH2_MGAT4C,0.5171,Ex_DACH2_ADAMTS5,0.1825
Glut-DACH2-6,Ex_DACH2_CEMIP,0.496,Ex_DACH2_ZMAT4,0.4854
Glut-DACH2-LMANco,Ex_DACH2_ZMAT4,0.4691,Ex_DACH2_RORB,0.1294
Glut-DACH2-HVCra-Int,Ex_DACH2_MGAT4C,0.4338,Ex_DACH2_GRIK4,0.0545
Glut-CACNA1H-2,Ex_CACNA1H_KIT,0.4115,Ex_CACNA1H_PROX1,0.4092
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,0.3961,Ex_DACH2_LHX2,0.1503
Glut-DACH2-HVCx,Ex_SATB2_SOX6,0.3702,Ex_KIAA1217,0.13
Glut-DACH2-7,Ex_DACH2_ADAMTS5,0.3486,Ex_DACH2_MGAT4C,0.2712
Glut-DACH2-HVCra,Ex_SATB2_ZNF385B,0.3432,Ex_SATB2_SOX6,0.3428
Glut-DACH2-4,Ex_DACH2_ITGA9,0.2779,Ex_DACH2_ZMAT4,0.2094
Glut-CACNA1H-3,Ex_CACNA1H_LHX9,0.2704,Ex_CACNA1H_CPA6,0.1592
